SCHNEIDERMAN E,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii,jj,kk,ll,mm,nn
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,0,,,0,,0,,0,,,11,,4.0,,,False,,,False,,False,,,False,,,,False,,,11,,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSCHANG P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAO F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONEYMAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,49,,,18,,,7,,0,,0,,,743.554,,,,,False,,,False,,False,,,False,,,,False,,,74,,,,
,,0.6622,,,0.2432,,,0.0946,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,DENTAL HYGIENE,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,
DDHS-3020-500,,,14,,12,,,2,,0,,0,,,28,,3.428,,0,,,,False,,,False,,,False,,0,,,28,,COTTER J,,,
,,,0.5,,0.4286,,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,14,,12,,,2,,0,,0,,,28,,3.428,,0,,,,False,,,False,,,False,,0,,,28,,,,,
,,,0.5,,0.4286,,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3220-500,,,21,,7,,,0,,0,,0,,,28,,3.75,,0,,,,False,,,False,,,False,,0,,,28,,LIANG H,,,
,,,0.75,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,21,,7,,,0,,0,,0,,,28,,3.75,,0,,,,False,,,False,,,False,,0,,,28,,,,,
,,,0.75,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3310-500,,,25,,2,,,0,,1,,0,,,28,,3.821,,0,,,,False,,,False,,,False,,0,,,28,,WYATT L,,,
,,,0.8929,,0.0714,,,0.0,,0.0357,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,25,,2,,,0,,1,,0,,,28,,3.821,,0,,,,False,,,False,,,False,,0,,,28,,,,,
,,,0.8929,,0.0714,,,0.0,,0.0357,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3325-500,,,1,,19,,,7,,3,,1,,,31,,2.516,,0,,,,False,,,False,,,False,,0,,,31,,HONEYMAN A,,,
,,,0.0323,,0.6129,,,0.2258,,0.0968,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,1,,19,,,7,,3,,1,,,31,,2.516,,0,,,,False,,,False,,,False,,0,,,31,,,,,
,,,0.0323,,0.6129,,,0.2258,,0.0968,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3340-500,,,10,,16,,,4,,1,,0,,,31,,3.129,,0,,,,False,,,False,,,False,,0,,,31,,KRAMER P,,,
,,,0.3226,,0.5161,,,0.129,,0.0323,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,10,,16,,,4,,1,,0,,,31,,3.129,,0,,,,False,,,False,,,False,,0,,,31,,,,,
,,,0.3226,,0.5161,,,0.129,,0.0323,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3410-500,,,12,,12,,,2,,2,,0,,,28,,3.214,,0,,,,False,,,False,,,False,,0,,,28,,WRIGHT J,,,
,,,0.4286,,0.4286,,,0.0714,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,12,,12,,,2,,2,,0,,,28,,3.214,,0,,,,False,,,False,,,False,,0,,,28,,,,,
,,,0.4286,,0.4286,,,0.0714,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
