SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,TOTAL,INSTRUCTOR,ee,ff
COMM-203-100,,18,,4,,0,,0,,0,,,22,,3.818,,1,,,False,,False,,1,,0,,24,ADAMS T,,
,,0.8182,,0.1818,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-101,,11,,10,,1,,0,,0,,,22,,3.454,,0,,,False,,False,,0,,0,,22,YAVARI M,,
,,0.5,,0.4545,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-102,,5,,10,,1,,0,,2,,,18,,2.888,,0,,,False,,False,,1,,0,,19,COLGLAZIER K,,
,,0.2778,,0.5556,,0.0556,,0.0,,0.1111,,,,,,,,,,,,,,,,,,,,,
COMM-203-103,,6,,16,,2,,0,,0,,,24,,3.166,,0,,,False,,False,,1,,0,,25,EVERETT B,,
,,0.25,,0.6667,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-104,,16,,6,,2,,0,,0,,,24,,3.583,,0,,,False,,False,,0,,0,,24,SHELDON Z,,
,,0.6667,,0.25,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-105,,7,,14,,0,,0,,0,,,21,,3.333,,0,,,False,,False,,1,,0,,22,YORK F,,
,,0.3333,,0.6667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-106,,21,,3,,0,,1,,0,,,25,,3.76,,0,,,False,,False,,0,,0,,25,BRADLEY N,,
,,0.84,,0.12,,0.0,,0.04,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-107,,10,,11,,1,,0,,0,,,22,,3.409,,0,,,False,,False,,0,,0,,22,CHABOKI DARZABI,,R
,,0.4545,,0.5,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-108,,10,,8,,0,,0,,0,,,18,,3.555,,0,,,False,,False,,0,,0,,18,RAMIREZ A,,
,,0.5556,,0.4444,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-109,,10,,9,,2,,1,,0,,,22,,3.272,,0,,,False,,False,,1,,0,,23,WILLIAMS C,,
,,0.4545,,0.4091,,0.0909,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-110,,20,,1,,0,,0,,0,,,21,,3.952,,0,,,False,,False,,0,,0,,21,ADAMS T,,
,,0.9524,,0.0476,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-201,,9,,8,,2,,0,,0,,,19,,3.368,,0,,,False,,False,,0,,0,,19,ANDERSON C,,
,,0.4737,,0.4211,,0.1053,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COMM-203-202,,3,,13,,0,,0,,0,,,16,,3.187,,0,,,False,,False,,2,,0,,18,ROWE S,,
,,0.1875,,0.8125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
