SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,F      A - F,m,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,dd,ee,X    TOTAL,gg,hh,ii,jj,INSTRUCTOR,ll,mm,nn
DDHS-3310-500,,,27,,1,,,0,,0,,,0,,,28,,,3.964,,0,,,,False,,,False,,,False,,0,,28,,WYATT L,,
,,,0.9643,,0.0357,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,27,,1,,,0,,0,,,0,,,28,,,3.964,,0,,,,False,,,False,,,False,,0,,28,,,,
,,,0.9643,,0.0357,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3325-500,,,3,,13,,,4,,7,,,1,,,28,,,2.357,,0,,,,False,,,False,,,False,,0,,28,,OPPERMAN L,,
,,,0.1071,,0.4643,,,0.1429,,0.25,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,3,,13,,,4,,7,,,1,,,28,,,2.357,,0,,,,False,,,False,,,False,,0,,28,,,,
,,,0.1071,,0.4643,,,0.1429,,0.25,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3340-500,,,5,,15,,,5,,3,,,0,,,28,,,2.785,,0,,,,False,,,False,,,False,,0,,28,,OPPERMAN L,,
,,,0.1786,,0.5357,,,0.1786,,0.1071,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,5,,15,,,5,,3,,,0,,,28,,,2.785,,0,,,,False,,,False,,,False,,0,,28,,,,
,,,0.1786,,0.5357,,,0.1786,,0.1071,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3410-500,,,10,,14,,,3,,1,,,0,,,28,,,3.178,,0,,,,False,,,False,,,False,,0,,28,,WRIGHT J,,
,,,0.3571,,0.5,,,0.1071,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,10,,14,,,3,,1,,,0,,,28,,,3.178,,0,,,,False,,,False,,,False,,0,,28,,,,
,,,0.3571,,0.5,,,0.1071,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
