,15.15%,84.85%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,27,147,0,2,176,3.119,2,0,0,0,178,
,15.34%,83.52%,0.00%,1.14%,,,,,,,,
MEID-617-300,21,123,0,0,144,3.145,0,0,0,0,144,BLACK R
,14.58%,85.42%,0.00%,0.00%,,,,,,,,
MEID-617-30H,5,29,0,0,34,3.147,0,0,0,0,34,ZAWIEJA D
,14.71%,85.29%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,26,152,0,0,178,3.146,0,0,0,0,178,
,14.61%,85.39%,0.00%,0.00%,,,,,,,,
MEID-618-31B,21,121,0,0,142,3.147,0,0,0,0,142,MAXWELL S
,14.79%,85.21%,0.00%,0.00%,,,,,,,,
MEID-618-31H,7,26,0,0,33,3.212,0,0,0,0,33,CRISCIONE J
,21.21%,78.79%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,28,147,0,0,175,3.16,0,0,0,0,175,
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
MEID-620-30B,23,118,0,0,141,3.163,1,0,0,0,142,FLOREZ ARANGO J
,16.31%,83.69%,0.00%,0.00%,,,,,,,,
MEID-620-30H,4,30,0,0,34,3.117,0,0,0,0,34,FLOREZ ARANGO J
,11.76%,88.24%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
COURSE TOTAL:,27,148,0,0,175,3.154,1,0,0,0,176,
,15.43%,84.57%,0.00%,0.00%,,,,,,,,
MFCM-800-30B,6,16,0,0,22,3.272,18,0,0,0,40,NEAL G
,27.27%,72.73%,0.00%,0.00%,,,,,,,,
MFCM-800-31H,0,7,0,0,7,3,2,0,0,0,9,NEAL G
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-32H,0,5,0,0,5,3,2,0,0,1,8,NEAL G
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-32T,0,6,0,0,6,3,0,0,0,0,6,NEAL G
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-33D,2,4,0,0,6,3.333,1,0,0,0,7,NEAL G
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
MFCM-800-33H,3,4,0,0,7,3.428,0,0,0,0,7,NEAL G
,42.86%,57.14%,0.00%,0.00%,,,,,,,,
MFCM-800-34D,2,4,0,0,6,3.333,0,0,0,0,6,NEAL G
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,13,46,0,0,59,3.203,23,0,0,1,83,
,22.03%,77.97%,0.00%,0.00%,,,,,,,,
MPED-800-30B,7,14,0,1,22,3.181,18,0,0,0,40,FREEMAN R
,31.82%,63.64%,0.00%,4.55%,,,,,,,,
MPED-800-31H,1,4,0,0,5,3.2,0,0,0,0,5,FREEMAN R
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
MPED-800-32T,1,5,0,0,6,3.166,0,0,0,0,6,FREEMAN R
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MPED-800-33D,3,2,0,1,6,3,0,0,0,1,7,FREEMAN R
,50.00%,33.33%,0.00%,16.67%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MPED-800-33T,1,4,0,0,5,3.2,0,0,0,0,5,FREEMAN R
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,13,29,0,2,44,3.147,18,0,0,1,63,
,29.55%,65.91%,0.00%,4.55%,,,,,,,,
MPSY-800-30B,4,18,0,0,22,3.181,18,0,0,0,40,KELT S
,18.18%,81.82%,0.00%,0.00%,,,,,,,,
MPSY-800-31H,0,6,0,0,6,3,0,0,0,0,6,KELT S
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-31T,0,6,0,0,6,3,1,0,0,0,7,KELT S
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-32H,1,5,0,0,6,3.166,0,0,0,0,6,KELT S
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MPSY-800-33D,1,5,0,0,6,3.166,0,0,0,0,6,KELT S
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MPSY-800-34D,2,4,0,0,6,3.333,1,0,0,0,7,KELT S
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
MPSY-800-34H,1,4,0,0,5,3.2,0,0,0,0,5,KELT S
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,9,48,0,0,57,3.149,20,0,0,0,77,
,15.79%,84.21%,0.00%,0.00%,,,,,,,,
MRAD-800-31D,18,30,0,0,48,3.375,0,0,0,10,58,SULTENFUSS M
,37.50%,62.50%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,18,30,0,0,48,3.375,0,0,0,10,58,
,37.50%,62.50%,0.00%,0.00%,,,,,,,,
OBGY-800-30B,3,19,0,0,22,3.136,18,0,0,0,40,HARMS K
,13.64%,86.36%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
OBGY-800-31H,2,5,0,0,7,3.285,1,0,0,0,8,HARMS K
,28.57%,71.43%,0.00%,0.00%,,,,,,,,
OBGY-800-32H,1,4,0,0,5,3.2,0,0,0,0,5,HARMS K
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
OBGY-800-33D,2,3,0,0,5,3.4,0,0,0,0,5,HARMS K
,40.00%,60.00%,0.00%,0.00%,,,,,,,,
OBGY-800-33T,2,3,0,0,5,3.4,0,0,0,0,5,HARMS K
,40.00%,60.00%,0.00%,0.00%,,,,,,,,
OBGY-800-34D,3,3,0,0,6,3.5,0,0,0,0,6,HARMS K
,50.00%,50.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,13,37,0,0,50,3.311,19,0,0,0,69,
,26.00%,74.00%,0.00%,0.00%,,,,,,,,
SURG-800-30B,6,16,0,0,22,3.272,18,0,0,0,40,LITTLE D
,27.27%,72.73%,0.00%,0.00%,,,,,,,,
SURG-800-31D,1,5,0,0,6,3.166,0,0,0,0,6,LITTLE D
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
SURG-800-31H,3,6,0,0,9,3.333,0,0,0,0,9,LITTLE D
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
SURG-800-32D,3,6,0,0,9,3.333,0,0,0,0,9,LITTLE D
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
SURG-800-32H,1,8,0,0,9,3.111,0,0,0,0,9,LITTLE D
,11.11%,88.89%,0.00%,0.00%,,,,,,,,
SURG-800-32T,3,3,0,0,6,3.5,0,0,0,0,6,LITTLE D
,50.00%,50.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,17,44,0,0,61,3.28,18,0,0,0,79,
,27.87%,72.13%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,253,1196,0,6,1455,3.155,125,0,0,12,1592,
,17.39%,82.20%,0.00%,0.41%,,,,,,,,
COLLEGE TOTAL:,253,1196,0,6,1455,3.155,125,0,0,12,1592,
,17.39%,82.20%,0.00%,0.41%,,,,,,,,
