,37.21%,58.14%,4.65%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,39,60,8,0,0,107,3.289,0,0,0,0,107,
,36.45%,56.07%,7.48%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-702-300,71,0,0,0,0,71,0,0,0,0,0,71,ABU BAKER A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,71,0,0,0,0,71,Error,0,0,0,0,71,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-712-300,16,23,27,5,0,71,2.704,0,0,0,0,71,IVY D
,22.54%,32.39%,38.03%,7.04%,0.00%,,,,,,,,
PHAR-712-301,14,14,10,3,0,41,2.951,0,0,0,0,41,IVY D
,34.15%,34.15%,24.39%,7.32%,0.00%,,,,,,,,
COURSE TOTAL:,30,37,37,8,0,112,2.794,0,0,0,0,112,
,26.79%,33.04%,33.04%,7.14%,0.00%,,,,,,,,
PHAR-713-300,11,33,22,4,1,71,2.69,0,0,0,0,71,CHOUDHURY M
,15.49%,46.48%,30.99%,5.63%,1.41%,,,,,,,,
PHAR-713-301,10,21,8,2,0,41,2.951,0,0,0,0,41,CHOUDHURY M
,24.39%,51.22%,19.51%,4.88%,0.00%,,,,,,,,
COURSE TOTAL:,21,54,30,6,1,112,2.785,0,0,0,0,112,
,18.75%,48.21%,26.79%,5.36%,0.89%,,,,,,,,
PHAR-715-300,68,3,0,0,0,71,3.957,0,0,0,0,71,PATEL P
,95.77%,4.23%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-715-301,39,1,0,1,0,41,3.902,0,0,0,0,41,PATEL P
,95.12%,2.44%,0.00%,2.44%,0.00%,,,,,,,,
COURSE TOTAL:,107,4,0,1,0,112,3.937,0,0,0,0,112,
,95.54%,3.57%,0.00%,0.89%,0.00%,,,,,,,,
PHAR-726-300,37,26,8,0,0,71,3.408,0,0,0,0,71,THANGAVEL S
,52.11%,36.62%,11.27%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-726-301,29,10,2,0,0,41,3.658,0,0,0,0,41,THANGAVEL S
,70.73%,24.39%,4.88%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,66,36,10,0,0,112,3.5,0,0,0,0,112,
,58.93%,32.14%,8.93%,0.00%,0.00%,,,,,,,,
PHAR-757-300,17,44,10,0,0,71,3.098,0,0,0,0,71,HERNANDEZ J
,23.94%,61.97%,14.08%,0.00%,0.00%,,,,,,,,
PHAR-757-301,20,19,2,0,0,41,3.439,0,0,0,0,41,HERNANDEZ J
,48.78%,46.34%,4.88%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,37,63,12,0,0,112,3.223,0,0,0,0,112,
,33.04%,56.25%,10.71%,0.00%,0.00%,,,,,,,,
PHAR-765-600,23,0,0,0,0,23,4,0,0,0,0,23,ALONZO J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-765-601,14,0,0,0,0,14,4,0,0,0,0,14,ALONZO J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,37,0,0,0,0,37,4,0,0,0,0,37,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-771-300,41,0,0,0,0,41,4,0,0,0,0,41,EVERETT-HOUSER J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-771-301,7,0,0,0,0,7,4,0,0,0,0,7,EVERETT-HOUSER J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,48,0,0,0,0,48,4,0,0,0,0,48,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-778-300,53,15,3,0,0,71,3.704,0,0,0,0,71,MINGLE A
,74.65%,21.13%,4.23%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-778-301,35,5,1,0,0,41,3.829,0,0,0,0,41,MINGLE A
,85.37%,12.20%,2.44%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,88,20,4,0,0,112,3.75,0,0,0,0,112,
,78.57%,17.86%,3.57%,0.00%,0.00%,,,,,,,,
PHAR-779-300,24,3,0,0,0,27,3.888,0,0,0,0,27,HAY H
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-779-301,9,0,0,0,0,9,4,0,0,0,0,9,HAY H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,33,3,0,0,0,36,3.916,0,0,0,0,36,
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-789-304,5,0,0,0,0,5,4,0,0,0,0,5,FARRIS C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4,0,0,0,0,5,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-805-300,14,55,2,0,1,72,3.125,0,0,0,0,72,ABU BAKER A
,19.44%,76.39%,2.78%,0.00%,1.39%,,,,,,,,
PHAR-805-301,11,30,0,0,0,41,3.268,0,0,0,0,41,ABU BAKER A
,26.83%,73.17%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,25,85,2,0,1,113,3.176,0,0,0,0,113,
,22.12%,75.22%,1.77%,0.00%,0.88%,,,,,,,,
PHAR-812-300,14,30,18,0,0,62,2.935,0,0,0,0,62,LUCE A
,22.58%,48.39%,29.03%,0.00%,0.00%,,,,,,,,
PHAR-812-301,16,18,6,0,0,40,3.25,0,0,0,0,40,LUCE A
,40.00%,45.00%,15.00%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
COURSE TOTAL:,30,48,24,0,0,102,3.058,0,0,0,0,102,
,29.41%,47.06%,23.53%,0.00%,0.00%,,,,,,,,
PHAR-813-300,12,32,17,1,0,62,2.887,0,0,0,0,62,MISHRA J
,19.35%,51.61%,27.42%,1.61%,0.00%,,,,,,,,
PHAR-813-301,16,16,8,0,0,40,3.2,0,0,0,0,40,MISHRA J
,40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,28,48,25,1,0,102,3.009,0,0,0,0,102,
,27.45%,47.06%,24.51%,0.98%,0.00%,,,,,,,,
PHAR-815-300,50,11,1,0,0,62,3.79,0,0,0,0,62,HORSEMAN M
,80.65%,17.74%,1.61%,0.00%,0.00%,,,,,,,,
PHAR-815-301,38,1,1,0,0,40,3.925,0,0,0,0,40,HORSEMAN M
,95.00%,2.50%,2.50%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,88,12,2,0,0,102,3.843,0,0,0,0,102,
,86.27%,11.76%,1.96%,0.00%,0.00%,,,,,,,,
PHAR-871-300,56,4,2,0,0,62,3.87,0,0,0,0,62,ALONZO J
,90.32%,6.45%,3.23%,0.00%,0.00%,,,,,,,,
PHAR-871-301,37,3,0,0,0,40,3.925,0,0,0,0,40,ALONZO J
,92.50%,7.50%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,93,7,2,0,0,102,3.892,0,0,0,0,102,
,91.18%,6.86%,1.96%,0.00%,0.00%,,,,,,,,
PHAR-873-300,20,42,0,0,0,62,3.322,0,0,0,0,62,ABU BAKER A
,32.26%,67.74%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-873-301,16,23,1,0,0,40,3.375,0,0,0,0,40,ABU BAKER A
,40.00%,57.50%,2.50%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
COURSE TOTAL:,36,65,1,0,0,102,3.343,0,0,0,0,102,
,35.29%,63.73%,0.98%,0.00%,0.00%,,,,,,,,
PHAR-875-300,21,24,7,10,0,62,2.903,0,0,0,0,62,BREMICK M
,33.87%,38.71%,11.29%,16.13%,0.00%,,,,,,,,
PHAR-875-301,17,16,5,2,0,40,3.2,0,0,0,0,40,BREMICK M
,42.50%,40.00%,12.50%,5.00%,0.00%,,,,,,,,
COURSE TOTAL:,38,40,12,12,0,102,3.019,0,0,0,0,102,
,37.25%,39.22%,11.76%,11.76%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,1360,805,244,38,3,2450,3.297,0,0,0,0,2450,
,55.51%,32.86%,9.96%,1.55%,0.12%,,,,,,,,
COLLEGE TOTAL:,1360,805,244,38,3,2450,3.297,0,0,0,0,2450,
,55.51%,32.86%,9.96%,1.55%,0.12%,,,,,,,,
