SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn,oo,pp
,,0.3529,,,0.4118,,,0.2353,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-903,,9,,,9,,,2,,0,,,0,,,20,,3.35,,,0,,,False,,False,,0,,,False,,,20,,,,,,,
,,0.45,,,0.45,,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,,26,,,7,,0,,,2,,,59,,3.186,,,0,,,False,,False,,3,,,False,,,62,,,,,,,
,,0.4068,,,0.4407,,,0.1186,,0.0,,,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-901,,11,,,10,,,3,,0,,,0,,,24,,3.333,,,0,,,False,,False,,0,,,False,,,24,,,,,,,
,,0.4583,,,0.4167,,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-902,,13,,,7,,,2,,0,,,0,,,22,,3.5,,,2,,,False,,False,,0,,,False,,,24,,,,,,,
,,0.5909,,,0.3182,,,0.0909,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,,17,,,5,,0,,,0,,,46,,3.413,,,2,,,False,,False,,0,,,False,,,48,,,,,,,
,,0.5217,,,0.3696,,,0.1087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-366-501,,6,,,7,,,0,,2,,,1,,,16,,2.937,,,0,,,False,,False,,0,,,False,,,16,,,,,,,
,,0.375,,,0.4375,,,0.0,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-366-502,,3,,,2,,,1,,0,,,0,,,6,,3.333,,,0,,,False,,False,,0,,,False,,,6,,,,,,,
,,0.5,,,0.3333,,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCGRATH P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGGETTE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGGETTE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGGETTE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDWINE T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDWINE T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIM B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIM B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,,9,,,1,,2,,,1,,,22,,3.045,,,0,,,False,,False,,0,,,False,,,22,,,,,,,
,,0.4091,,,0.4091,,,0.0455,,0.0909,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-501,,6,,,3,,,1,,0,,,0,,,10,,3.5,,,0,,,False,,False,,0,,,False,,,10,,RUTHERFORD,,True,,,
,,0.6,,,0.3,,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-502,,6,,,2,,,1,,0,,,0,,,9,,3.555,,,0,,,False,,False,,0,,,False,,,9,,RUTHERFORD,,True,,,
,,0.6667,,,0.2222,,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,,5,,,2,,0,,,0,,,19,,3.526,,,0,,,False,,False,,0,,,False,,,19,,,,,,,
,,0.6316,,,0.2632,,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-406-500,,26,,,8,,,0,,0,,,0,,,34,,3.764,,,0,,,False,,False,,0,,,False,,,34,,DUNSFORD D,,,,,
,,0.7647,,,0.2353,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,,8,,,0,,0,,,0,,,34,,3.764,,,0,,,False,,False,,0,,,False,,,34,,,,,,,
,,0.7647,,,0.2353,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-408-700,,4,,,14,,,2,,0,,,0,,,20,,3.1,,,1,,,False,,False,,1,,,False,,,22,,WEGENER R,,,,,
,,0.2,,,0.7,,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,14,,,2,,0,,,0,,,20,,3.1,,,1,,,False,,False,,1,,,False,,,22,,,,,,,
,,0.2,,,0.7,,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-411-500,,23,,,7,,,1,,1,,,0,,,32,,3.625,,,0,,,False,,False,,2,,,False,,,34,,MCKIM B,,,,,
,,0.7188,,,0.2188,,,0.0313,,0.0313,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,,7,,,1,,1,,,0,,,32,,3.625,,,0,,,False,,False,,2,,,False,,,34,,,,,,,
,,0.7188,,,0.2188,,,0.0313,,0.0313,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-413-500,,11,,,4,,,1,,2,,,0,,,18,,3.333,,,0,,,False,,False,,0,,,False,,,18,,JARVIS H,,,,,
,,0.6111,,,0.2222,,,0.0556,,0.1111,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,4,,,1,,2,,,0,,,18,,3.333,,,0,,,False,,False,,0,,,False,,,18,,,,,,,
,,0.6111,,,0.2222,,,0.0556,,0.1111,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
