BUSH-602-600,b,21,d,11,f,2,h,0,j,k,1,m,n,35,p,0.0,r,s,0_2,u,v,w,0_3,y,z,0_4,bb,cc,1_2,ee,ff,gg,0_5,ii,jj,36,ll,RAISOR C,nn,oo,pp
BUSH-631-700,,18,,4,,0,,0,,,1,,,23,,3.652,,,0,,,,False,,,False,,,0,,,,False,,,23,,BULLOCK J,,,
,,0.7826,,0.1739,,0.0,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,82,,40,,10,,1,,,2,,,135,,3.474,,,2,,,,False,,,False,,,2,,,,False,,,139,,,,,
,,0.6074,,0.2963,,0.0741,,0.0074,,,0.0148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,103,,51,,12,,1,,,3,,,1703.474,,,,,2,,,,False,,,False,,,3,,,,False,,,175,,,,,
,,0.6059,,0.3,,0.0706,,0.0059,,,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,
INTA-603-601,,9,,1,,0,,0,,,0,,10,,,3.9,,0,,,,False,,,False,,,False,,,,False,,,10,,,NAPPER L,,,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-602,,8,,2,,0,,0,,,0,,10,,,3.8,,0,,,,False,,,False,,,False,,,,False,,,10,,,NAPPER L,,,
,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,3,,0,,0,,,0,,20,,,3.85,,0,,,,False,,,False,,,False,,,,False,,,20,,,,,,
,,0.85,,0.15,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-600,,8,,4,,0,,0,,,0,,12,,,3.666,,2,,,,False,,,False,,,True,,,,False,,,15,,,TABAAR M,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,4,,0,,0,,,0,,12,,,3.666,,2,,,,False,,,False,,,True,,,,False,,,15,,,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-600,,22,,3,,0,,0,,,0,,25,,,3.88,,0,,,,False,,,False,,,False,,,,False,,,25,,,LAYNE C,,,
,,0.88,,0.12,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,,18,,5,,0,,0,,,0,,23,,,3.782,,1,,,,False,,,False,,,False,,,,False,,,24,,,BARTEL M,,,
,,0.7826,,0.2174,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,,5,,7,,0,,1,,,1,,14,,,3.0,,0,,,,False,,,False,,,False,,,,False,,,14,,,TALBOT B,,,
,,0.3571,,0.5,,0.0,,0.0714,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,45,,15,,0,,1,,,1,,62,,,3.645,,1,,,,False,,,False,,,False,,,,False,,,63,,,,,,
,,0.7258,,0.2419,,0.0,,0.0161,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-606-601,,7,,16,,0,,1,,,0,,24,,,3.208,,0,,,,False,,,False,,,False,,,,False,,,24,,,SCHUESSLER J,,,
,,0.2917,,0.6667,,0.0,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-606-602,,12,,8,,0,,0,,,0,,20,,,3.6,,0,,,,False,,,False,,,False,,,,False,,,20,,,SCHUESSLER J,,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-606-603,,28,,0,,0,,0,,,0,,28,,,4.0,,0,,,,False,,,False,,,False,,,,False,,,28,,,MARIN THORNTON G,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-606-604,,11,,8,,0,,0,,,0,,19,,,3.578,,0,,,,False,,,False,,,False,,,,False,,,19,,,ROSS A,,,
,,0.5789,,0.4211,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
