DEPARTMENT TOTAL:,11,69,0,0,80,3.137,7,0,0,0,87,
,13.75%,86.25%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,INTERNAL MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
IMED-800-31D,0,9,0,2,11,2.454,2,0,0,0,13,PIERATT W
,0.00%,81.82%,0.00%,18.18%,,,,,,,,
IMED-800-31H,0,8,0,2,10,2.4,0,0,0,0,10,PIERATT W
,0.00%,80.00%,0.00%,20.00%,,,,,,,,
IMED-800-31R,0,7,0,0,7,3,0,0,0,0,7,PIERATT W
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-31T,0,13,0,1,14,2.785,0,0,0,0,14,PIERATT W
,0.00%,92.86%,0.00%,7.14%,,,,,,,,
IMED-800-32D,6,6,0,0,12,3.5,0,0,0,0,12,PIERATT W
,50.00%,50.00%,0.00%,0.00%,,,,,,,,
IMED-800-32H,3,4,0,0,7,3.428,0,0,0,0,7,PIERATT W
,42.86%,57.14%,0.00%,0.00%,,,,,,,,
IMED-800-32R,0,8,0,0,8,3,0,0,0,0,8,PIERATT W
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-32T,2,11,0,0,13,3.153,1,0,0,0,14,PIERATT W
,15.38%,84.62%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,11,66,0,5,82,2.951,3,0,0,0,85,
,13.41%,80.49%,0.00%,6.10%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,INTERNAL MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,11,66,0,5,82,2.951,3,0,0,0,85,
,13.41%,80.49%,0.00%,6.10%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,
,,,,,Professional Medicine,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,,
DEPARTMENT:,OBSTETRICS & GYNECOLOGY,,,,,,,,,,,,
,,,,,TOTAL,,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------,
OBGY-800-30B,4,17,0,0,21,3.19,0,0,0,0,21,BROWNING A
,19.05%,80.95%,0.00%,0.00%,,,,,,,,,
OBGY-800-31D,3,2,0,1,6,3,1,0,0,0,7,BROWNING A
,50.00%,33.33%,0.00%,16.67%,,,,,,,,,
OBGY-800-31T,3,5,0,0,8,3.375,0,0,0,0,8,BROWNING A
,37.50%,62.50%,0.00%,0.00%,,,,,,,,,
OBGY-800-32D,1,5,0,0,6,3.166,0,0,0,0,6,BROWNING A
,16.67%,83.33%,0.00%,0.00%,,,,,,,,,
OBGY-800-32T,3,4,0,0,7,3.428,1,0,0,0,8,BROWNING A
,42.86%,57.14%,0.00%,0.00%,,,,,,,,,
OBGY-800-33D,2,3,0,0,5,3.4,1,0,0,0,6,BROWNING A
,40.00%,60.00%,0.00%,0.00%,,,,,,,,,
OBGY-800-33T,5,2,0,0,7,3.714,0,0,0,0,7,BROWNING A
,71.43%,28.57%,0.00%,0.00%,,,,,,,,,
OBGY-800-34D,3,3,0,0,6,3.5,0,0,0,0,6,BROWNING A
,50.00%,50.00%,0.00%,0.00%,,,,,,,,,
OBGY-800-34R,2,3,0,0,5,3.4,0,0,0,0,5,BROWNING A
,40.00%,60.00%,0.00%,0.00%,,,,,,,,,
OBGY-800-34T,4,4,0,0,8,3.5,0,0,0,0,8,BROWNING A
,50.00%,50.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,30,48,0,1,79,3.341,3,0,0,0,82,,
,37.97%,60.76%,0.00%,1.27%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,OBSTETRICS & GYNECOLOGY,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,30,48,0,1,79,3.341,3,0,0,0,82,
,37.97%,60.76%,0.00%,1.27%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,PEDIATRICS,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MPED-800-30B,4,17,0,0,21,3.19,0,0,0,0,21,PARR J
,19.05%,80.95%,0.00%,0.00%,,,,,,,,
MPED-800-31T,1,5,0,0,6,3.166,2,0,0,0,8,PARR J
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MPED-800-32D,0,7,0,0,7,3,0,0,0,0,7,PARR J
,0.00%,100,0.00%,0.00%,,,,,,,,
MPED-800-32T,2,6,0,0,8,3.25,0,0,0,0,8,PARR J
,25.00%,75.00%,0.00%,0.00%,,,,,,,,
MPED-800-33D,1,5,0,0,6,3.166,0,0,0,0,6,PARR J
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MPED-800-33R,0,5,0,0,5,3,0,0,0,0,5,PARR J
,0.00%,100,0.00%,0.00%,,,,,,,,
MPED-800-33T,2,5,0,0,7,3.285,1,0,0,0,8,PARR J
,28.57%,71.43%,0.00%,0.00%,,,,,,,,
MPED-800-34D,2,4,0,0,6,3.333,0,0,0,0,6,PARR J
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
MPED-800-34T,3,4,0,0,7,3.428,0,0,0,0,7,PARR J
,42.86%,57.14%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,15,58,0,0,73,3.205,3,0,0,0,76,
,20.55%,79.45%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,PEDIATRICS,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,15,58,0,0,73,3.205,3,0,0,0,76,
,20.55%,79.45%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,PSYCHIATRY & BEHAVIORAL SC,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MPSY-800-30B,0,22,0,0,22,3,0,0,0,0,22,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-31D,0,6,0,0,6,3,0,0,0,0,6,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-31H,1,5,0,0,6,3.166,0,0,0,0,6,ANTUNES P
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MPSY-800-31T,0,7,0,0,7,3,1,0,0,0,8,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-32D,0,5,0,0,5,3,1,0,0,0,6,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-32T,1,6,0,0,7,3.142,0,0,0,0,7,ANTUNES P
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
MPSY-800-33D,1,5,0,0,6,3.166,0,0,0,0,6,ANTUNES P
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MPSY-800-33T,0,7,0,0,7,3,1,0,0,0,8,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-34D,2,3,0,0,5,3.4,0,0,0,0,5,ANTUNES P
,40.00%,60.00%,0.00%,0.00%,,,,,,,,
MPSY-800-34R,0,5,0,0,5,3,0,0,0,0,5,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-34T,2,4,0,0,6,3.333,0,0,0,0,6,ANTUNES P
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,7,75,0,0,82,3.085,3,0,0,0,85,
,8.54%,91.46%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,PSYCHIATRY & BEHAVIORAL SC,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,7,75,0,0,82,3.085,3,0,0,0,85,
,8.54%,91.46%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,RADIOLOGY,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MRAD-800-31D,21,6,0,0,27,3.777,0,0,0,0,27,PHILIP J
,77.78%,22.22%,0.00%,0.00%,,,,,,,,
MRAD-800-31R,14,27,0,0,41,3.341,0,0,0,0,41,PHILIP J
,34.15%,65.85%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,35,33,0,0,68,3.514,0,0,0,0,68,
,51.47%,48.53%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,35,33,0,0,68,3.514,0,0,0,0,68,
,51.47%,48.53%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,SURGERY,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
SURG-800-30B,5,29,0,0,34,3.147,0,0,0,0,34,LITTLE D
,14.71%,85.29%,0.00%,0.00%,,,,,,,,
SURG-800-31D,0,8,0,1,9,2.666,3,0,0,0,12,LITTLE D
,0.00%,88.89%,0.00%,11.11%,,,,,,,,
SURG-800-31H,1,10,0,0,11,3.09,0,0,0,0,11,LITTLE D
,9.09%,90.91%,0.00%,0.00%,,,,,,,,
SURG-800-31R,0,7,0,0,7,3,0,0,0,0,7,LITTLE D
,0.00%,100,0.00%,0.00%,,,,,,,,
SURG-800-31T,2,13,0,0,15,3.133,0,0,0,0,15,LITTLE D
,13.33%,86.67%,0.00%,0.00%,,,,,,,,
SURG-800-32D,7,6,0,0,13,3.538,0,0,0,0,13,LITTLE D
,53.85%,46.15%,0.00%,0.00%,,,,,,,,
SURG-800-32H,4,6,0,0,10,3.4,0,0,0,0,10,LITTLE D
,40.00%,60.00%,0.00%,0.00%,,,,,,,,
SURG-800-32R,1,6,0,0,7,3.142,0,0,0,0,7,LITTLE D
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
SURG-800-32T,2,11,0,0,13,3.153,0,0,0,0,13,LITTLE D
,15.38%,84.62%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,22,96,0,1,119,3.159,3,0,0,0,122,
,18.49%,80.67%,0.00%,0.84%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,SURGERY,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,22,96,0,1,119,3.159,3,0,0,0,122,
,18.49%,80.67%,0.00%,0.84%,,,,,,,,
COLLEGE TOTAL:,250,1118,0,11,1379,3.129,23,0,0,0,1402,
,18.13%,81.07%,0.00%,0.80%,,,,,,,,
