SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
,,0.0,,0.65,,0.35,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,52,,13,,0,,,0,,,71,,,2.901,,0,,,,False,,,False,,,False,,1,,72,,,,,
,,0.0845,,0.7324,,0.1831,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-500,,3,,21,,3,,0,,,0,,,27,,,3.0,,0,,,,False,,,False,,,False,,0,,27,,BOSENBARK M,,,
,,0.1111,,0.7778,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,21,,3,,0,,,0,,,27,,,3.0,,0,,,,False,,,False,,,False,,0,,27,,,,,
,,0.1111,,0.7778,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-500,,9,,19,,1,,0,,,1,,,30,,,3.166,,0,,,,False,,,False,,,False,,0,,30,,WHITE-COREY,,S,
,,0.3,,0.6333,,0.0333,,0.0,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-501,,3,,14,,2,,0,,,0,,,19,,,3.052,,0,,,,False,,,False,,,False,,0,,19,,WHITE-COREY,,S,
,,0.1579,,0.7368,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,33,,3,,0,,,1,,,49,,,3.122,,0,,,,False,,,False,,,False,,0,,49,,,,,
,,0.2449,,0.6735,,0.0612,,0.0,,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-900,,41,,7,,0,,0,,,0,,,48,,,3.854,,0,,,,False,,,False,,,False,,0,,48,,DORMIRE S,,,
,,0.8542,,0.1458,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,7,,0,,0,,,0,,,48,,,3.854,,0,,,,False,,,False,,,False,,0,,48,,,,,
,,0.8542,,0.1458,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
NURS-412-500,,18,,30,,6,,1,,,0,,,55,,,3.181,,0,,,,False,,,False,,,False,,0,,55,,DECKER W,,,
,,0.3273,,0.5455,,0.1091,,0.0182,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-501,,7,,6,,1,,0,,,0,,,14,,,3.428,,0,,,,False,,,False,,,False,,0,,14,,DECKER W,,,
,,0.5,,0.4286,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,36,,7,,1,,,0,,,69,,,3.231,,0,,,,False,,,False,,,False,,0,,69,,,,,
,,0.3623,,0.5217,,0.1014,,0.0145,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,19,,6,,0,,0,,,0,,,25,,,3.76,,0,,,,False,,,False,,,False,,2,,27,,PITTMAN A,,,
,,0.76,,0.24,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-501,,6,,13,,0,,0,,,0,,,19,,,3.315,,0,,,,False,,,False,,,False,,0,,19,,PITTMAN A,,,
,,0.3158,,0.6842,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,19,,0,,0,,,0,,,44,,,3.568,,0,,,,False,,,False,,,False,,2,,46,,,,,
,,0.5682,,0.4318,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-500,,15,,25,,5,,0,,,0,,,45,,,3.222,,0,,,,False,,,False,,,False,,0,,45,,MUFICH M,,,
,,0.3333,,0.5556,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-501,,6,,11,,5,,0,,,0,,,22,,,3.045,,0,,,,False,,,False,,,False,,0,,22,,MUFICH M,,,
,,0.2727,,0.5,,0.2273,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,36,,10,,0,,,0,,,67,,,3.164,,0,,,,False,,,False,,,False,,0,,67,,,,,
,,0.3134,,0.5373,,0.1493,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-421-500,,22,,23,,0,,0,,,0,,,45,,,3.488,,0,,,,False,,,False,,,False,,0,,45,,VAN S,,,
,,0.4889,,0.5111,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-421-501,,18,,5,,0,,0,,,0,,,23,,,3.782,,0,,,,False,,,False,,,False,,0,,23,,VAN S,,,
,,0.7826,,0.2174,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,28,,0,,0,,,0,,,68,,,3.588,,0,,,,False,,,False,,,False,,0,,68,,,,,
,,0.5882,,0.4118,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
