a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,"CHARLES L
KOSAREK J
KOSAREK J
BRUCE R
BRUCE R
MULCAHY A
CONTRERAS N
CONTRERAS N"
,,,,,,,,,,,,,,,,,,,,"SEABACK W
SEABACK W
HOFFMAN M
HOFFMAN M
BOSENBARK M
WHITE-COREY S
DOWNING N"
COURSE TOTAL:,,38,29,2,0,,0,69,,3.521,True,,False,False,0,,False,70,,
,,0.5507,0.4203,0.029,0.0,,0.0,,,,,,,,,,,,,
NURS-315-500,,37,11,0,0,,0,48,,3.77,False,,False,False,0,,False,48,,
,,0.7708,0.2292,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-315-501,,10,9,0,0,,0,19,,3.526,False,,False,False,0,,False,19,,
,,0.5263,0.4737,0.0,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,47,20,0,0,,0,67,,3.701,False,,False,False,0,,False,67,,
,,0.7015,0.2985,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-316-500,,8,30,7,1,,0,46,,2.978,True,,False,False,3,,False,50,,
,,0.1739,0.6522,0.1522,0.0217,,0.0,,,,,,,,,,,,,
NURS-316-501,,4,8,4,2,,0,18,,2.777,False,,False,False,3,,False,21,,
,,0.2222,0.4444,0.2222,0.1111,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,12,38,11,3,,0,64,,2.921,True,,False,False,6,,False,71,,
,,0.1875,0.5938,0.1719,0.0469,,0.0,,,,,,,,,,,,,
NURS-320-500,,3,12,6,0,,1,22,,2.727,True,,False,False,0,,False,23,,
,,0.1364,0.5455,0.2727,0.0,,0.0455,,,,,,,,,,,,,
COURSE TOTAL:,,3,12,6,0,,1,22,,2.727,True,,False,False,0,,False,23,,
,,0.1364,0.5455,0.2727,0.0,,0.0455,,,,,,,,,,,,,
NURS-323-500,,18,6,0,0,,0,24,,3.75,False,,False,False,0,,False,24,,
,,0.75,0.25,0.0,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,18,6,0,0,,0,24,,3.75,False,,False,False,0,,False,24,,
,,0.75,0.25,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-411-900,,34,13,0,0,,0,47,,3.723,False,,False,False,0,,False,47,,
,,0.7234,0.2766,0.0,0.0,,0.0,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,F      A - F,,,GPA     I,,,S     U     Q,,,,X    TOTAL,,,INSTRUCTOR,
,,,,,,,,,,,,,,,,,,,,"DECKER W
PITTMAN A
MUFICH M
MUFICH M
VAN S
VAN S
JONES-SCHUBART K"
COURSE TOTAL:,,34,13,0,0,,0,47,,3.723,False,,False,False,0,,False,47,,
,,0.7234,0.2766,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-412-500,,9,33,5,0,,0,47,,3.085,False,,False,False,0,,False,47,,
,,0.1915,0.7021,0.1064,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,9,33,5,0,,0,47,,3.085,False,,False,False,0,,False,47,,
,,0.1915,0.7021,0.1064,0.0,,0.0,,,,,,,,,,,,,
NURS-413-500,,24,0,0,0,,0,24,,4.0,False,,False,False,0,,False,24,,
,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,24,0,0,0,,0,24,,4.0,False,,False,False,0,,False,24,,
,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-420-500,,23,24,1,0,,0,48,,3.458,False,,False,False,0,,False,48,,
,,0.4792,0.5,0.0208,0.0,,0.0,,,,,,,,,,,,,
NURS-420-501,,4,13,2,0,,0,19,,3.105,False,,False,False,0,,False,19,,
,,0.2105,0.6842,0.1053,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,27,37,3,0,,0,67,,3.358,False,,False,False,0,,False,67,,
,,0.403,0.5522,0.0448,0.0,,0.0,,,,,,,,,,,,,
NURS-421-500,,46,1,0,0,,0,47,,3.978,False,,False,False,0,,False,47,,
,,0.9787,0.0213,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-421-501,,19,0,0,0,,0,19,,4.0,False,,False,False,0,,False,19,,
,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,65,1,0,0,,0,66,,3.984,False,,False,False,0,,False,66,,
,,0.9848,0.0152,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-424-700,,24,1,0,0,,0,25,,3.96,False,,False,False,0,,False,25,,
,,0.96,0.04,0.0,0.0,,0.0,,,,,,,,,,,,,
