SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
COURSE TOTAL:,,8,,14,,1,,0,,,0,,,23,,,3.304,,0,,,,False,,,False,,,False,,0,,23,,,,
,,0.3478,,0.6087,,0.0435,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-430-500,,24,,0,,0,,0,,,0,,,24,,,4.0,,0,,,,False,,,False,,,False,,0,,24,,BURNS R,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,0,,0,,0,,,0,,,24,,,4.0,,0,,,,False,,,False,,,False,,0,,24,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-434-300,,50,,1,,0,,0,,,0,,,51,,,3.98,,0,,,,False,,,False,,,False,,0,,51,,VAN S,,
,,0.9804,,0.0196,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,50,,1,,0,,0,,,0,,,51,,,3.98,,0,,,,False,,,False,,,False,,0,,51,,,,
,,0.9804,,0.0196,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-460-700,,24,,7,,2,,0,,,0,,,33,,,3.666,,0,,,,False,,,False,,,False,,0,,33,,AUTHEMENT R,,
,,0.7273,,0.2121,,0.0606,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
