SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,kk,INSTRUCTOR,mm,nn
,,0.6364,,0.1818,,0.0909,,0.0455,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,,13,,5,,3,,0,,,0,,,21,,,3.476,,0,,,,False,,,False,2,,,,,False,,23,,,LOGAN T,,
,,0.619,,0.2381,,0.1429,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,14,,5,,2,,0,,,0,,,21,,,3.571,,0,,,,False,,,False,0,,,,,False,,21,,,LOGAN T,,
,,0.6667,,0.2381,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-505,,11,,8,,1,,1,,,0,,,21,,,3.38,,0,,,,False,,,False,0,,,,,False,,21,,,LOGAN T,,
,,0.5238,,0.381,,0.0476,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-506,,9,,1,,2,,0,,,0,,,12,,,3.583,,0,,,,False,,,False,0,,,,,False,,12,,,LOGAN T,,
,,0.75,,0.0833,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-508,,11,,9,,3,,0,,,0,,,23,,,3.347,,0,,,,False,,,False,0,,,,,False,,23,,,LOGAN T,,
,,0.4783,,0.3913,,0.1304,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,
ATMO-202-509,,9,,4,,3,,0,,,0,,,16,,,3.375,,0,,,,False,,,False,,,0,,0,,,16,,LOGAN T,,,
,,0.5625,,0.25,,0.1875,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,81,,36,,16,,2,,,1,,,136,,,3.426,,0,,,,False,,,False,,,2,,0,,,138,,,,,
,,0.5956,,0.2647,,0.1176,,0.0147,,,0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,,9,,8,,2,,0,,,0,,,19,,,3.368,,0,,,,False,,,False,,,1,,0,,,20,,CONLEE D,,,
,,0.4737,,0.4211,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,8,,2,,0,,,0,,,19,,,3.368,,0,,,,False,,,False,,,1,,0,,,20,,,,,
,,0.4737,,0.4211,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,9,,8,,2,,0,,,0,,,19,,,3.368,,0,,,,False,,,False,,,0,,0,,,19,,XU Y,,,
,,0.4737,,0.4211,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,8,,2,,0,,,0,,,19,,,3.368,,0,,,,False,,,False,,,0,,0,,,19,,,,,
,,0.4737,,0.4211,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-501,,8,,9,,1,,2,,,0,,,20,,,3.15,,0,,,,False,,,False,,,0,,0,,,20,,NIELSEN-GAMMON,,J,
,,0.4,,0.45,,0.05,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-502,,5,,8,,0,,0,,,0,,,13,,,3.384,,0,,,,False,,,False,,,1,,0,,,14,,NIELSEN-GAMMON,,J,
,,0.3846,,0.6154,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,17,,1,,2,,,0,,,33,,,3.242,,0,,,,False,,,False,,,1,,0,,,34,,,,,
,,0.3939,,0.5152,,0.0303,,0.0606,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-501,,7,,7,,2,,1,,,0,,,17,,,3.176,,0,,,,False,,,False,,,1,,0,,,18,,NOWOTARSKI C,,,
,,0.4118,,0.4118,,0.1176,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-502,,7,,5,,1,,0,,,0,,,13,,,3.461,,0,,,,False,,,False,,,0,,0,,,13,,NOWOTARSKI C,,,
,,0.5385,,0.3846,,0.0769,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,12,,3,,1,,,0,,,30,,,3.3,,0,,,,False,,,False,,,1,,0,,,31,,,,,
,,0.4667,,0.4,,0.1,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,,
ATMO-435-501,,9,,2,,7,,2,,,0,,20,,,,2.9,,1,,,0,,,0,,,False,,,0,,,21,,,KORTY R,,
,,0.45,,0.1,,0.35,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,2,,7,,2,,,0,,20,,,,2.9,,1,,,0,,,0,,,False,,,0,,,21,,,,,
,,0.45,,0.1,,0.35,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-441-501,,7,,10,,4,,0,,,0,,21,,,,3.142,,1,,,0,,,0,,,False,,,0,,,22,,,RAPP A,,
,,0.3333,,0.4762,,0.1905,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,10,,4,,0,,,0,,21,,,,3.142,,1,,,0,,,0,,,False,,,0,,,22,,,,,
,,0.3333,,0.4762,,0.1905,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-456-900,,8,,14,,0,,0,,,0,,22,,,,3.363,,0,,,0,,,0,,,False,,,0,,,22,,,CONLEE D,,
,,0.3636,,0.6364,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,14,,0,,0,,,0,,22,,,,3.363,,0,,,0,,,0,,,False,,,0,,,22,,,,,
,,0.3636,,0.6364,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-461-501,,12,,1,,0,,0,,,0,,13,,,,3.923,,0,,,0,,,0,,,False,,,0,,,13,,,WINKLEY S,,
,,0.9231,,0.0769,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,1,,0,,0,,,0,,13,,,,3.923,,0,,,0,,,0,,,False,,,0,,,13,,,,,
,,0.9231,,0.0769,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-463-500,,3,,2,,0,,0,,,0,,5,,,,3.6,,0,,,0,,,0,,,True,,,0,,,6,,,COLLINS D,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-463-900,,1,,5,,0,,0,,,1,,7,,,,2.714,,1,,,0,,,0,,,False,,,0,,,8,,,COLLINS D,,
,,0.1429,,0.7143,,0.0,,0.0,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,7,,0,,0,,,1,,12,,,,3.083,,1,,,0,,,0,,,True,,,0,,,14,,,,,
,,0.3333,,0.5833,,0.0,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-485-525,,5,,0,,0,,0,,,0,,5,,,,4.0,,0,,,0,,,0,,,False,,,0,,,5,,,CONLEE D,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
