ATMO-201-501,67,c,d,77,f,21,h,1,j,2,l,m,168,o,3.226,q,r,1_2,t,u,0,w,0_2,y,z,3,bb,cc,dd,0_3,ff,gg,172,LOGAN T,jj,kk,ll,mm
,0.2857,,,0.5,,0.1071,,0.0714,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,14,,3,,2,,1,,,28,,2.928,,,0,,,False,,False,,,0,,,,False,,,28,,,,,
,0.2857,,,0.5,,0.1071,,0.0714,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-336-501,2,,,3,,5,,5,,0,,,15,,2.133,,,0,,,False,,False,,,1,,,,False,,,16,,,,,
,0.1333,,,0.2,,0.3333,,0.3333,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-336-502,5,,,7,,5,,0,,0,,,17,,3.0,,,0,,,False,,False,,,0,,,,False,,,17,,,,,
,0.2941,,,0.4118,,0.2941,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONLEE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONLEE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONLEE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAVANAN R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZUNYOGH I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANETTA R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANETTA R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,,
COURSE TOTAL:,,7,,10,,10,,5,,0,,,32,,2.593,,0,,,,False,,,False,,,1,,0,,,33,,,,,,
,,0.2188,,0.3125,,0.3125,,0.1563,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-363-500,,10,,13,,12,,0,,3,,,38,,2.71,,1,,,,False,,,False,,,5,,0,,,44,,SCHADE G,,,,
,,0.2632,,0.3421,,0.3158,,0.0,,0.0789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,13,,12,,0,,3,,,38,,2.71,,1,,,,False,,,False,,,5,,0,,,44,,,,,,
,,0.2632,,0.3421,,0.3158,,0.0,,0.0789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-443-501,,5,,3,,1,,3,,1,,,13,,2.615,,0,,,,False,,,False,,,0,,0,,,13,,NOWOTARSKI,,C,,
,,0.3846,,0.2308,,0.0769,,0.2308,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,3,,1,,3,,1,,,13,,2.615,,0,,,,False,,,False,,,0,,0,,,13,,,,,,
,,0.3846,,0.2308,,0.0769,,0.2308,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-446-500,,9,,4,,6,,0,,0,,,19,,3.157,,2,,,,False,,,False,,,0,,0,,,21,,BROOKS S,,,,
,,0.4737,,0.2105,,0.3158,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,4,,6,,0,,0,,,19,,3.157,,2,,,,False,,,False,,,0,,0,,,21,,,,,,
,,0.4737,,0.2105,,0.3158,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-459-900,,8,,7,,1,,1,,1,,,18,,3.111,,0,,,,False,,,False,,,0,,0,,,18,,SCHUMACHER,,C,,
,,0.4444,,0.3889,,0.0556,,0.0556,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,7,,1,,1,,1,,,18,,3.111,,0,,,,False,,,False,,,0,,0,,,18,,,,,,
,,0.4444,,0.3889,,0.0556,,0.0556,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-601-600,,3,,4,,0,,0,,0,,,7,,3.428,,0,,,,False,,,False,,,0,,0,,,7,,KORTY R,,,,
,,0.4286,,0.5714,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,4,,0,,0,,0,,,7,,3.428,,0,,,,False,,,False,,,0,,0,,,7,,,,,,
,,0.4286,,0.5714,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-602-600,,4,,2,,0,,0,,0,,,6,,3.666,,0,,,,False,,,False,,,0,,0,,,6,,COLLINS D,,,,
,,0.6667,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
