SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,gg,INSTRUCTOR,ii,jj,kk
ATMO-202-505,,15,,,9,,,0,,0,,0,,,24,,3.625,,False,,,False,,False,,,0,,False,,24,,LOGAN T,,,
,,0.625,,,0.375,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-508,,16,,,2,,,2,,2,,0,,,22,,3.454,,False,,,False,,False,,,2,,False,,24,,LOGAN T,,,
,,0.7273,,,0.0909,,,0.0909,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,80,,,25,,,2,,5,,2,,,114,,3.543,,False,,,False,,False,,,3,,False,,117,,,,,
,,0.7018,,,0.2193,,,0.0175,,0.0439,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,
CONLEE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-501,11,,,5,,,4,,,0,,1,,,21,3.19,,,False,,,False,False,,,False,,,False,,,21,,,,
,0.5238,,,0.2381,,,0.1905,,,0.0,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,10,,,11,,,3,,,0,,0,,,24,3.291,,,False,,,False,False,,,False,,,False,,,24,,,,
,0.4167,,,0.4583,,,0.125,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,,16,,,7,,,0,,1,,,45,3.244,,,False,,,False,False,,,False,,,False,,,45,,,,
,0.4667,,,0.3556,,,0.1556,,,0.0,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,15,,,4,,,2,,,1,,1,,,23,3.347,,,False,,,False,False,,,False,,,False,,,23,,,,
,0.6522,,,0.1739,,,0.087,,,0.0435,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,4,,,2,,,1,,1,,,23,3.347,,,False,,,False,False,,,False,,,False,,,23,,,,
,0.6522,,,0.1739,,,0.087,,,0.0435,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-501,1,,,7,,,0,,,0,,0,,,8,3.125,,,False,,,False,False,,,False,,,False,,,8,,,,
,0.125,,,0.875,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-502,3,,,9,,,1,,,0,,0,,,13,3.153,,,False,,,False,False,,,False,,,False,,,13,,,,
,0.2308,,,0.6923,,,0.0769,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,,16,,,1,,,0,,0,,,21,3.142,,,False,,,False,False,,,False,,,False,,,21,,,,
,0.1905,,,0.7619,,,0.0476,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-501,7,,,6,,,1,,,0,,0,,,14,3.428,,,False,,,False,False,,,True,,,False,,,15,,,,
,0.5,,,0.4286,,,0.0714,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-502,10,,,6,,,2,,,0,,0,,,18,3.444,,,False,,,False,False,,,False,,,False,,,18,,,,
,0.5556,,,0.3333,,,0.1111,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,12,,,3,,,0,,0,,,32,3.437,,,False,,,False,False,,,True,,,False,,,33,,,,
,0.5313,,,0.375,,,0.0938,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-435-501,9,,,7,,,8,,,0,,0,,,24,3.041,,,False,,,False,False,,,False,,,False,,,24,,,,
,0.375,,,0.2917,,,0.3333,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
CONLEE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZUNYOGH I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XU Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XU Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOWOTARSKI C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOWOTARSKI C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORTY R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,7,,,8,,,0,,0,,,24,3.041,,,False,,,False,False,,,False,,,False,,,24,,,,
,0.375,,,0.2917,,,0.3333,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-441-501,8,,,4,,,8,,,0,,0,,,20,3.0,,,False,,,False,False,,,False,,,False,,,20,,,,
,0.4,,,0.2,,,0.4,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,4,,,8,,,0,,0,,,20,3.0,,,False,,,False,False,,,False,,,False,,,20,,,,
,0.4,,,0.2,,,0.4,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-455-500,3,,,11,,,0,,,0,,0,,,14,3.214,,,False,,,False,False,,,False,,,False,,,14,,,,
,0.2143,,,0.7857,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,,,11,,,0,,,0,,0,,,14,3.214,,,False,,,False,False,,,False,,,False,,,14,,,,
,0.2143,,,0.7857,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-456-900,10,,,5,,,1,,,0,,0,,,16,3.562,,,False,,,False,False,,,False,,,False,,,16,,,,
,0.625,,,0.3125,,,0.0625,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,5,,,1,,,0,,0,,,16,3.562,,,False,,,False,False,,,False,,,False,,,16,,,,
,0.625,,,0.3125,,,0.0625,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-461-501,10,,,0,,,0,,,0,,0,,,10,4.0,,,False,,,False,False,,,False,,,False,,,10,,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,0,,,0,,,0,,0,,,10,4.0,,,False,,,False,False,,,False,,,False,,,10,,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-463-900,11,,,4,,,1,,,0,,0,,,16,3.625,,,False,,,False,False,,,False,,,False,,,16,,,,
,0.6875,,,0.25,,,0.0625,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,,4,,,1,,,0,,0,,,16,3.625,,,False,,,False,False,,,False,,,False,,,16,,,,
,0.6875,,,0.25,,,0.0625,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-611-600,8,,,0,,,0,,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
RAPP A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZUNYOGH I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONLEE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINKLEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIFANIO C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
