SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn,oo
,,,0.4326,,,0.4245,,,0.1187,,0.0121,,,0.0121,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,,17,,,0,,,0,,1,,,1,,19,,,3.631,,False,,,False,,False,,1,,,False,,20,,,LOGAN T,,,,
,,,0.8947,,,0.0,,,0.0,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,,,16,,,0,,,1,,0,,,0,,17,,,3.882,,False,,,False,,False,,0,,,False,,17,,,LOGAN T,,,,
,,,0.9412,,,0.0,,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,,19,,,4,,,0,,0,,,0,,23,,,3.826,,True,,,False,,False,,0,,,False,,24,,,LOGAN T,,,,
,,,0.8261,,,0.1739,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-505,,,21,,,1,,,0,,0,,,1,,23,,,3.782,,False,,,False,,False,,0,,,False,,23,,,LOGAN T,,,,
,,,0.913,,,0.0435,,,0.0,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-508,,,16,,,3,,,0,,0,,,1,,20,,,3.65,,False,,,False,,False,,0,,,False,,20,,,LOGAN T,,,,
,,,0.8,,,0.15,,,0.0,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,89,,,8,,,1,,1,,,3,,102,,,3.754,,True,,,False,,False,,1,,,False,,104,,,,,,,
,,,0.8725,,,0.0784,,,0.0098,,0.0098,,,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-501,,10,,,3,,,3,,1,,,,0,,17,,3.294,,,False,,,False,,False,,1,,,False,,,18,,CONLEE D,,,,
,,0.5882,,,0.1765,,,0.1765,,0.0588,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,,8,,,8,,,3,,0,,,,0,,19,,3.263,,,False,,,False,,False,,1,,,False,,,20,,CONLEE D,,,,
,,0.4211,,,0.4211,,,0.1579,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,11,,,6,,1,,,,0,,36,,3.277,,,False,,,False,,False,,2,,,False,,,38,,,,,,
,,0.5,,,0.3056,,,0.1667,,0.0278,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,13,,,6,,,4,,1,,,,0,,24,,3.291,,,False,,,False,,False,,0,,,False,,,24,,DESSLER A,,,,
,,0.5417,,,0.25,,,0.1667,,0.0417,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,,6,,,4,,1,,,,0,,24,,3.291,,,False,,,False,,False,,0,,,False,,,24,,,,,,
,,0.5417,,,0.25,,,0.1667,,0.0417,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-501,,4,,,5,,,0,,0,,,,0,,9,,3.444,,,False,,,False,,False,,0,,,False,,,9,,XU Y,,,,
,,0.4444,,,0.5556,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-502,,3,,,10,,,0,,1,,,,0,,14,,3.071,,,False,,,False,,False,,0,,,False,,,14,,XU Y,,,,
,,0.2143,,,0.7143,,,0.0,,0.0714,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,15,,,0,,1,,,,0,,23,,3.217,,,False,,,False,,False,,0,,,False,,,23,,,,,,
,,0.3043,,,0.6522,,,0.0,,0.0435,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-501,,6,,,5,,,4,,0,,,,0,,15,,3.133,,,False,,,False,,False,,0,,,False,,,15,,NOWOTARSKI,C,,,
,,0.4,,,0.3333,,,0.2667,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-502,,5,,,5,,,6,,0,,,,1,,17,,2.764,,,False,,,False,,False,,1,,,False,,,18,,NOWOTARSKI,C,,,
,,0.2941,,,0.2941,,,0.3529,,0.0,,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,10,,,10,,0,,,,1,,32,,2.937,,,False,,,False,,False,,1,,,False,,,33,,,,,,
,,0.3438,,,0.3125,,,0.3125,,0.0,,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-370-500,,25,,,0,,,0,,0,,,,0,,25,,4.0,,,False,,,False,,False,,0,,,False,,,25,,CONLEE D,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,,0,,,0,,0,,,,0,,25,,4.0,,,False,,,False,,False,,0,,,False,,,25,,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-435-501,,4,,,7,,,5,,3,,,,0,,19,,2.631,,,False,,,False,,False,,0,,,False,,,19,,,,,,
,,0.2105,,,0.3684,,,0.2632,,0.1579,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,7,,,5,,3,,,,0,,19,,2.631,,,False,,,False,,False,,0,,,False,,,19,,,,,,
,,0.2105,,,0.3684,,,0.2632,,0.1579,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-441-501,,6,,,12,,,4,,0,,,,0,,22,,3.09,,,False,,,False,,False,,1,,,False,,,23,,,,,,
,,0.2727,,,0.5455,,,0.1818,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,12,,,4,,0,,,,0,,22,,3.09,,,False,,,False,,False,,1,,,False,,,23,,,,,,
,,0.2727,,,0.5455,,,0.1818,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-455-500,,3,,,5,,,1,,0,,,,0,,9,,3.222,,,False,,,False,,False,,0,,,False,,,9,,,,,,
,,0.3333,,,0.5556,,,0.1111,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,,5,,,1,,0,,,,0,,9,,3.222,,,False,,,False,,False,,0,,,False,,,9,,,,,,
,,0.3333,,,0.5556,,,0.1111,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-456-900,,19,,,5,,,3,,0,,,,1,,28,,3.464,,,False,,,False,,False,,0,,,False,,,28,,,,,,
,,0.6786,,,0.1786,,,0.1071,,0.0,,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,,5,,,3,,0,,,,1,,28,,3.464,,,False,,,False,,False,,0,,,False,,,28,,,,,,
,,0.6786,,,0.1786,,,0.1071,,0.0,,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-461-501,,12,,,0,,,0,,0,,,,0,,12,,4.0,,,False,,,False,,False,,0,,,False,,,12,,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,,0,,,0,,0,,,,0,,12,,4.0,,,False,,,False,,False,,0,,,False,,,12,,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-463-500,,1,,,7,,,3,,1,,,,0,,12,,2.666,,,False,,,False,,False,,0,,,False,,,12,,,,,,
,,0.0833,,,0.5833,,,0.25,,0.0833,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
KORTY R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPP A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZUNYOGH I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONLEE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINKLEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHADE G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
