SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll
COURSE TOTAL:,,8,,11,,5,,2,,,0,,26,,,,2.961,,False,,,False,,,False,,,2,,,False,,,28,,,
,,0.3077,,0.4231,,0.1923,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-336-501,,5,,6,,1,,2,,,0,,14,,,,3.0,,False,,,False,,,False,,,0,,,False,,,14,,PANETTA R,
,,0.3571,,0.4286,,0.0714,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-336-502,,0,,4,,2,,0,,,0,,6,,,,2.666,,False,,,False,,,False,,,1,,,False,,,7,,PANETTA R,
,,0.0,,0.6667,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,10,,3,,2,,,0,,20,,,,2.9,,False,,,False,,,False,,,1,,,False,,,21,,,
,,0.25,,0.5,,0.15,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,
ATMO-363-500,,5,,25,,8,,3,,,1,,42,,,,2.714,,False,,,False,,,False,,,0,,,False,,,42,,SCHADE G,
,,0.119,,0.5952,,0.1905,,0.0714,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,25,,8,,3,,,1,,42,,,,2.714,,False,,,False,,,False,,,0,,,False,,,42,,,
,,0.119,,0.5952,,0.1905,,0.0714,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-443-500,,6,,8,,2,,0,,,0,,16,,,,3.25,,False,,,False,,,False,,,1,,,False,,,17,,SCHUMACHER C,
,,0.375,,0.5,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,8,,2,,0,,,0,,16,,,,3.25,,False,,,False,,,False,,,1,,,False,,,17,,,
,,0.375,,0.5,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-446-500,,9,,6,,9,,1,,,2,,27,,,,2.703,,False,,,False,,,False,,,0,,,False,,,27,,RAPP A,
,,0.3333,,0.2222,,0.3333,,0.037,,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,6,,9,,1,,,2,,27,,,,2.703,,False,,,False,,,False,,,0,,,False,,,27,,,
,,0.3333,,0.2222,,0.3333,,0.037,,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-459-900,,6,,5,,0,,0,,,0,,11,,,,3.545,,False,,,False,,,False,,,0,,,False,,,11,,KORTY R,
,,0.5455,,0.4545,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-459-901,,5,,3,,4,,0,,,0,,12,,,,3.083,,False,,,False,,,False,,,0,,,False,,,12,,KORTY R,
,,0.4167,,0.25,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,8,,4,,0,,,0,,23,,,,3.304,,False,,,False,,,False,,,0,,,False,,,23,,,
,,0.4783,,0.3478,,0.1739,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-601-600,,6,,4,,0,,0,,,0,,10,,,,3.6,,False,,,False,,,False,,,0,,,False,,,10,,EPIFANIO C,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,4,,0,,0,,,0,,10,,,,3.6,,False,,,False,,,False,,,0,,,False,,,10,,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-602-600,,6,,3,,0,,0,,,0,,9,,,,3.666,,False,,,False,,,False,,,0,,,False,,,9,,XU Y,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
