SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
ATMO-335-501,,6,,10,,2,,6,,,0,,24,,2.666,,False,,,False,,False,,0,,,False,,24,,SZUNYOGH I,
,,0.25,,0.4167,,0.0833,,0.25,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,10,,2,,6,,,0,,24,,2.666,,False,,,False,,False,,0,,,False,,24,,,
,,0.25,,0.4167,,0.0833,,0.25,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
ATMO-336-501,,4,,2,,3,,0,,,1,,10,,2.8,,False,,,False,,False,,0,,,False,,10,,PANETTA R,
,,0.4,,0.2,,0.3,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,
ATMO-336-502,,2,,6,,1,,3,,,0,,12,,2.583,,True,,,False,,False,,0,,,False,,13,,PANETTA R,
,,0.1667,,0.5,,0.0833,,0.25,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,8,,4,,3,,,1,,22,,2.681,,True,,,False,,False,,0,,,False,,23,,,
,,0.2727,,0.3636,,0.1818,,0.1364,,,0.0455,,,,,,,,,,,,,,,,,,,,,
ATMO-363-500,,15,,17,,11,,2,,,0,,45,,3.0,,False,,,False,,False,,5,,,False,,50,,COLLINS D,
,,0.3333,,0.3778,,0.2444,,0.0444,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,17,,11,,2,,,0,,45,,3.0,,False,,,False,,False,,5,,,False,,50,,,
,,0.3333,,0.3778,,0.2444,,0.0444,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-443-501,,5,,9,,4,,1,,,0,,19,,2.947,,False,,,False,,False,,1,,,False,,20,,NOWOTARSKI C,
,,0.2632,,0.4737,,0.2105,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,9,,4,,1,,,0,,19,,2.947,,False,,,False,,False,,1,,,False,,20,,,
,,0.2632,,0.4737,,0.2105,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-446-500,,5,,11,,7,,1,,,0,,24,,2.833,,False,,,False,,False,,0,,,False,,24,,RAPP A,
,,0.2083,,0.4583,,0.2917,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,11,,7,,1,,,0,,24,,2.833,,False,,,False,,False,,0,,,False,,24,,,
,,0.2083,,0.4583,,0.2917,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-459-900,,10,,12,,3,,1,,,0,,26,,3.192,,False,,,False,,False,,0,,,False,,26,,SCHUMACHER C,
,,0.3846,,0.4615,,0.1154,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,12,,3,,1,,,0,,26,,3.192,,False,,,False,,False,,0,,,False,,26,,,
,,0.3846,,0.4615,,0.1154,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-485-525,,5,,0,,0,,0,,,0,,5,,4.0,,False,,,False,,False,,0,,,False,,5,,CONLEE D,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
