SECTION,b,A,d,B,f,C,h,D,j,F,l,m,A_2,- F,p,GPA,r,s,I,u,S,w,x,U,z,Q,bb,cc,dd,X,ff,gg,TOTAL,INSTRUCTOR,jj,kk,ll,mm
NURS-312-501,,14,,8,,0,,0,,0,,,,22,,3.636,,,0,,,,False,,False,,,False,,0,,,22,BRUCE R,,,,
,,0.6364,,0.3636,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,47,,22,,1,,0,,0,,,,70,,3.657,,,0,,,,False,,False,,,False,,0,,,70,,,,,
,,0.6714,,0.3143,,0.0143,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-500,,20,,29,,1,,0,,0,,,,50,,3.38,,,0,,,,False,,False,,,False,,0,,,50,MULCAHY A,,,,
,,0.4,,0.58,,0.02,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-501,,10,,28,,2,,0,,0,,,,40,,3.2,,,0,,,,False,,False,,,False,,0,,,40,MULCAHY A,,,,
,,0.25,,0.7,,0.05,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,INSTRUCTOR,,,
COURSE TOTAL:,30,,,57,,3,,0,,0,,,90,,,3.3,,,0,,0,,,0,,,False,,,0,,,90,,,,,
,0.3333,,,0.6333,,0.0333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-314-500,24,,,24,,1,,0,,0,,,49,,,3.469,,,0,,0,,,0,,,False,,,0,,,49,,,,,
,0.4898,,,0.4898,,0.0204,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-314-501,11,,,11,,0,,0,,0,,,22,,,3.5,,,0,,0,,,0,,,False,,,0,,,22,,,,,
,0.5,,,0.5,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,35,,,35,,1,,0,,0,,,71,,,3.478,,,0,,0,,,0,,,False,,,0,,,71,,,,,
,0.493,,,0.493,,0.0141,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-315-500,29,,,20,,0,,0,,0,,,49,,,3.591,,,0,,0,,,0,,,False,,,0,,,49,,,,,
,0.5918,,,0.4082,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-315-501,9,,,5,,0,,0,,0,,,14,,,3.642,,,0,,0,,,0,,,False,,,0,,,14,,,,,
,0.6429,,,0.3571,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,38,,,25,,0,,0,,0,,,63,,,3.603,,,0,,0,,,0,,,False,,,0,,,63,,,,,
,0.6032,,,0.3968,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-500,14,,,33,,6,,0,,0,,,53,,,3.15,,,0,,0,,,0,,,False,,,0,,,53,,,,,
,0.2642,,,0.6226,,0.1132,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-501,7,,,15,,4,,1,,0,,,27,,,3.037,,,0,,0,,,0,,,False,,,0,,,27,,,,,
,0.2593,,,0.5556,,0.1481,,0.037,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,,48,,10,,1,,0,,,80,,,3.112,,,0,,0,,,0,,,False,,,0,,,80,,,,,
,0.2625,,,0.6,,0.125,,0.0125,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-500,5,,,16,,2,,0,,0,,,23,,,3.13,,,0,,0,,,0,,,False,,,0,,,23,,,,,
,0.2174,,,0.6957,,0.087,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,,16,,2,,0,,0,,,23,,,3.13,,,0,,0,,,0,,,False,,,0,,,23,,,,,
,0.2174,,,0.6957,,0.087,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUBEN D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUBEN D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEABACK W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEABACK W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOFFMAN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOFFMAN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSENBARK M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,,A,- F,,GPA,,,I,,S,,,U,,Q,,,,X,,,TOTAL,INSTRUCTOR,,,,
NURS-323-500,,20,,25,,1,,0,,0,,,,46,,3.413,,,0,,,,False,,False,,,False,,0,,,46,WHITE-COREY,,S,,
,,0.4348,,0.5435,,0.0217,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-501,,3,,15,,0,,0,,0,,,,18,,3.166,,,1,,,,False,,False,,,False,,0,,,19,WHITE-COREY,,S,,
,,0.1667,,0.8333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,40,,1,,0,,0,,,,64,,3.343,,,1,,,,False,,False,,,False,,0,,,65,,,,,
,,0.3594,,0.625,,0.0156,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-500,,29,,1,,0,,0,,0,,,,30,,3.966,,,0,,,,False,,False,,,False,,0,,,30,DORMIRE S,,,,
,,0.9667,,0.0333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-501,,20,,0,,0,,0,,0,,,,20,,4.0,,,0,,,,False,,False,,,False,,0,,,20,DORMIRE S,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,49,,1,,0,,0,,0,,,,50,,3.98,,,0,,,,False,,False,,,False,,0,,,50,,,,,
,,0.98,,0.02,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-500,,8,,13,,1,,0,,0,,,,22,,3.318,,,0,,,,False,,False,,,False,,0,,,22,DECKER W,,,,
,,0.3636,,0.5909,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,13,,1,,0,,0,,,,22,,3.318,,,0,,,,False,,False,,,False,,0,,,22,,,,,
,,0.3636,,0.5909,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,27,,18,,0,,0,,0,,,,45,,3.6,,,0,,,,False,,False,,,False,,0,,,45,PITTMAN A,,,,
,,0.6,,0.4,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-501,,16,,3,,0,,0,,0,,,,19,,3.842,,,0,,,,False,,False,,,False,,0,,,19,PITTMAN A,,,,
,,0.8421,,0.1579,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,21,,0,,0,,0,,,,64,,3.671,,,0,,,,False,,False,,,False,,0,,,64,,,,,
,,0.6719,,0.3281,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-500,,16,,8,,0,,0,,0,,,,24,,3.666,,,0,,,,False,,False,,,False,,0,,,24,MUFICH M,,,,
,,0.6667,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
