SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
,,0.9583,,0.0417,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,68,,8,,0,,0,,,0,,76,,,,3.894,,0,,,0,,,0,,,False,,,0,,76,,,,,
,,0.8947,,0.1053,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-424-700,,58,,1,,0,,0,,,0,,59,,,,3.983,,0,,,0,,,0,,,False,,,0,,59,,,PITTMAN A,,
,,0.9831,,0.0169,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,58,,1,,0,,0,,,0,,59,,,,3.983,,0,,,0,,,0,,,False,,,0,,59,,,,,
,,0.9831,,0.0169,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-430-500,,26,,0,,0,,0,,,0,,26,,,,4.0,,0,,,0,,,0,,,False,,,0,,26,,,MULCAHY A,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,0,,0,,0,,,0,,26,,,,4.0,,0,,,0,,,0,,,False,,,0,,26,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-434-502,,51,,1,,0,,0,,,0,,52,,,,3.98,,0,,,0,,,0,,,False,,,0,,52,,,MOFFITT C,,
,,0.9808,,0.0192,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-434-503,,77,,0,,0,,0,,,0,,77,,,,4.0,,0,,,0,,,0,,,False,,,0,,77,,,VAN S,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
