SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
NURS-323-500,,22,,11,,1,,0,,,0,,,34,,,3.617,,0,,,,False,,,False,,,0,,0,,34,,WHITE-COREY,,S,
,,0.6471,,0.3235,,0.0294,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-502,,10,,3,,1,,0,,,0,,,14,,,3.642,,0,,,,False,,,False,,,0,,0,,14,,WHITE-COREY,,S,
,,0.7143,,0.2143,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-503,,10,,9,,0,,0,,,0,,,19,,,3.526,,0,,,,False,,,False,,,0,,0,,19,,WELLS-BEEDE,,E,
,,0.5263,,0.4737,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,42,,23,,2,,0,,,0,,,67,,,3.597,,0,,,,False,,,False,,,0,,0,,67,,,,,
,,0.6269,,0.3433,,0.0299,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
NURS-411-500,,79,,1,,0,,0,,,0,,80,,,,3.987,,0,,,0,,,0,,,False,,,0,,80,,,DORMIRE S,,
,,0.9875,,0.0125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-501,,45,,0,,0,,0,,,0,,45,,,,4.0,,0,,,0,,,0,,,False,,,0,,45,,,DORMIRE S,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,124,,1,,0,,0,,,0,,125,,,,3.992,,0,,,0,,,0,,,False,,,0,,125,,,,,
,,0.992,,0.008,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-500,,8,,22,,7,,0,,,0,,37,,,,3.027,,0,,,0,,,0,,,False,,,0,,37,,,DECKER W,,
,,0.2162,,0.5946,,0.1892,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-501,,1,,13,,2,,0,,,0,,16,,,,2.937,,0,,,0,,,0,,,False,,,0,,16,,,DECKER W,,
,,0.0625,,0.8125,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,35,,9,,0,,,0,,53,,,,3.0,,0,,,0,,,0,,,False,,,0,,53,,,,,
,,0.1698,,0.6604,,0.1698,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,33,,2,,0,,0,,,0,,35,,,,3.942,,0,,,0,,,0,,,False,,,0,,35,,,PITTMAN A,,
,,0.9429,,0.0571,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-501,,15,,7,,0,,0,,,0,,22,,,,3.681,,0,,,0,,,0,,,False,,,0,,22,,,MOFFITT C,,
,,0.6818,,0.3182,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-502,,14,,0,,0,,0,,,0,,14,,,,4.0,,0,,,0,,,0,,,False,,,0,,14,,,PITTMAN A,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-503,,14,,5,,0,,0,,,0,,19,,,,3.736,,0,,,0,,,0,,,False,,,0,,19,,,MOFFITT C,,
,,0.7368,,0.2632,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,76,,14,,0,,0,,,0,,90,,,,3.844,,0,,,0,,,0,,,False,,,0,,90,,,,,
,,0.8444,,0.1556,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-500,,13,,13,,0,,0,,,0,,26,,,,3.5,,0,,,0,,,0,,,False,,,0,,26,,,DORMIRE S,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
