SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
,,0.1594,,0.6667,,0.1739,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-500,,34,,35,,5,,0,,,0,,,74,,,3.391,,0,,,,False,,,False,,,0,,0,,74,,MUFICH M,,,
,,0.4595,,0.473,,0.0676,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-501,,13,,22,,6,,0,,,0,,,41,,,3.17,,0,,,,False,,,False,,,0,,0,,41,,VELA C,,,
,,0.3171,,0.5366,,0.1463,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,47,,57,,11,,0,,,0,,,115,,,3.313,,0,,,,False,,,False,,,0,,0,,115,,,,,
,,0.4087,,0.4957,,0.0957,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-421-500,,35,,12,,0,,0,,,0,,,47,,,3.744,,0,,,,False,,,False,,,0,,0,,47,,VAN S,,,
,,0.7447,,0.2553,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
NURS-421-501,,11,,10,,0,,0,,,0,,21,,,,3.523,,0,,,0,,,0,,,False,,,0,,21,,,DROSTE L,,
,,0.5238,,0.4762,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,46,,22,,0,,0,,,0,,68,,,,3.676,,0,,,0,,,0,,,False,,,0,,68,,,,,
,,0.6765,,0.3235,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-424-700,,97,,0,,0,,0,,,0,,97,,,,4.0,,0,,,0,,,0,,,False,,,0,,97,,,PITTMAN A,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,97,,0,,0,,0,,,0,,97,,,,4.0,,0,,,0,,,0,,,False,,,0,,97,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-430-500,,26,,0,,0,,0,,,0,,26,,,,4.0,,0,,,0,,,0,,,False,,,0,,26,,,MULCAHY A,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,0,,0,,0,,,0,,26,,,,4.0,,0,,,0,,,0,,,False,,,0,,26,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-434-502,,22,,0,,0,,0,,,0,,22,,,,4.0,,0,,,0,,,0,,,False,,,0,,22,,,VAN S,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-434-503,,23,,0,,0,,0,,,0,,23,,,,4.0,,0,,,0,,,0,,,False,,,0,,23,,,VAN S,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,45,,0,,0,,0,,,0,,45,,,,4.0,,0,,,0,,,0,,,False,,,0,,45,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-462-700,,27,,4,,1,,0,,,0,,32,,,,3.812,,0,,,0,,,0,,,False,,,0,,32,,,BURNS R,,
,,0.8438,,0.125,,0.0313,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,4,,1,,0,,,0,,32,,,,3.812,,0,,,0,,,0,,,False,,,0,,32,,,,,
,,0.8438,,0.125,,0.0313,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-464-700,,25,,6,,1,,0,,,0,,32,,,,3.75,,0,,,0,,,0,,,True,,,0,,33,,,AUTHEMENT R,,
,,0.7813,,0.1875,,0.0313,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
