SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
NURS-411-901,,20,,1,,0,,0,,,0,,21,,3.952,,False,,,False,,False,,False,,,False,,21,,DORMIRE S,
,,0.9524,,0.0476,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,68,,2,,0,,0,,,0,,70,,3.971,,False,,,False,,False,,False,,,False,,70,,,
,,0.9714,,0.0286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-412-300,,7,,17,,2,,0,,,0,,26,,3.192,,False,,,False,,False,,False,,,False,,26,,DECKER W,
,,0.2692,,0.6538,,0.0769,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
NURS-412-301,,0,,18,,6,,0,,,0,,24,,2.75,,False,,,False,,False,,False,,,False,,24,,DECKER W,
,,0.0,,0.75,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,35,,8,,0,,,0,,50,,2.98,,False,,,False,,False,,False,,,False,,50,,,
,,0.14,,0.7,,0.16,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-413-300,,25,,2,,0,,0,,,0,,27,,3.925,,False,,,False,,False,,False,,,True,,28,,PITTMAN A,
,,0.9259,,0.0741,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,2,,0,,0,,,0,,27,,3.925,,False,,,False,,False,,False,,,True,,28,,,
,,0.9259,,0.0741,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-420-300,,14,,9,,2,,0,,,0,,25,,3.48,,True,,,False,,False,,False,,,False,,26,,MARKLUND L,
,,0.56,,0.36,,0.08,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,9,,2,,0,,,0,,25,,3.48,,True,,,False,,False,,False,,,False,,26,,,
,,0.56,,0.36,,0.08,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-430-300,,24,,4,,0,,0,,,0,,28,,3.857,,False,,,False,,False,,False,,,False,,28,,FABRY L,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-430-301,,17,,2,,0,,0,,,0,,19,,3.894,,False,,,False,,False,,False,,,False,,19,,FABRY L,
,,0.8947,,0.1053,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,6,,0,,0,,,0,,47,,3.872,,False,,,False,,False,,False,,,False,,47,,,
,,0.8723,,0.1277,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-434-300,,76,,1,,0,,0,,,0,,77,,3.987,,False,,,False,,False,,False,,,False,,77,,VAN S,
,,0.987,,0.013,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-434-301,,34,,0,,0,,0,,,0,,34,,4.0,,False,,,False,,False,,False,,,False,,34,,VAN S,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,110,,1,,0,,0,,,0,,111,,3.99,,False,,,False,,False,,False,,,False,,111,,,
,,0.991,,0.009,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
