SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
NURS-314-900,,38,,10,,0,,0,,,0,,48,,3.791,,False,,,False,,False,,False,,,False,,48,,GRUBEN D,
,,0.7917,,0.2083,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-314-901,,10,,12,,0,,0,,,0,,22,,3.454,,False,,,False,,False,,False,,,False,,22,,GRUBEN D,
,,0.4545,,0.5455,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,48,,22,,0,,0,,,0,,70,,3.685,,False,,,False,,False,,False,,,False,,70,,,
,,0.6857,,0.3143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
NURS-315-500,,51,,24,,1,,0,,,0,,76,,3.657,,False,,,False,,False,,False,,,False,,76,,SEABACK W,
,,0.6711,,0.3158,,0.0132,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-315-501,,8,,14,,0,,0,,,0,,22,,3.363,,False,,,False,,False,,False,,,False,,22,,SEABACK W,
,,0.3636,,0.6364,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,59,,38,,1,,0,,,0,,98,,3.591,,False,,,False,,False,,False,,,False,,98,,,
,,0.602,,0.3878,,0.0102,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-316-500,,14,,27,,8,,0,,,0,,49,,3.122,,False,,,False,,False,,False,,,False,,49,,MAULDIN B,
,,0.2857,,0.551,,0.1633,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-316-501,,3,,13,,5,,1,,,0,,22,,2.818,,False,,,False,,False,,False,,,False,,22,,MAULDIN B,
,,0.1364,,0.5909,,0.2273,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,40,,13,,1,,,0,,71,,3.028,,False,,,False,,False,,False,,,False,,71,,,
,,0.2394,,0.5634,,0.1831,,0.0141,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-320-500,,8,,40,,2,,0,,,0,,50,,3.12,,False,,,False,,False,,False,,,False,,50,,BOSENBARK M,
,,0.16,,0.8,,0.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-320-501,,3,,9,,9,,0,,,0,,21,,2.714,,False,,,False,,False,,False,,,False,,21,,BOSENBARK M,
,,0.1429,,0.4286,,0.4286,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,49,,11,,0,,,0,,71,,3.0,,False,,,False,,False,,False,,,False,,71,,,
,,0.1549,,0.6901,,0.1549,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-323-500,,19,,27,,3,,0,,,0,,49,,3.326,,False,,,False,,False,,False,,,False,,49,,WHITE-COREY S,
,,0.3878,,0.551,,0.0612,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-323-501,,11,,10,,0,,1,,,0,,22,,3.409,,False,,,False,,False,,False,,,False,,22,,WELLS-BEEDE E,
,,0.5,,0.4545,,0.0,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,37,,3,,1,,,0,,71,,3.352,,False,,,False,,False,,False,,,False,,71,,,
,,0.4225,,0.5211,,0.0423,,0.0141,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
NURS-411-500,,24,,2,,0,,0,,,0,,26,,3.923,,False,,,False,,False,,False,,,False,,26,,DORMIRE S,
,,0.9231,,0.0769,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,2,,0,,0,,,0,,26,,3.923,,False,,,False,,False,,False,,,False,,26,,,
,,0.9231,,0.0769,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,28,,21,,0,,0,,,0,,49,,3.571,,False,,,False,,False,,False,,,False,,49,,PITTMAN A,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-413-501,,12,,10,,0,,0,,,0,,22,,3.545,,False,,,False,,False,,False,,,False,,22,,PITTMAN A,
,,0.5455,,0.4545,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,31,,0,,0,,,0,,71,,3.563,,False,,,False,,False,,False,,,False,,71,,,
,,0.5634,,0.4366,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-420-500,,19,,8,,1,,0,,,0,,28,,3.642,,False,,,False,,False,,False,,,False,,28,,MUFICH M,
,,0.6786,,0.2857,,0.0357,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-420-501,,7,,6,,6,,0,,,0,,19,,3.052,,True,,,False,,False,,False,,,False,,20,,MUFICH M,
,,0.3684,,0.3158,,0.3158,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,14,,7,,0,,,0,,47,,3.404,,True,,,False,,False,,False,,,False,,48,,,
,,0.5532,,0.2979,,0.1489,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-421-500,,33,,18,,0,,0,,,0,,51,,3.647,,False,,,False,,False,,False,,,False,,51,,VAN S,
,,0.6471,,0.3529,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-421-501,,5,,13,,1,,0,,,0,,19,,3.21,,False,,,False,,False,,False,,,False,,19,,VAN S,
,,0.2632,,0.6842,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,38,,31,,1,,0,,,0,,70,,3.528,,False,,,False,,False,,False,,,False,,70,,,
,,0.5429,,0.4429,,0.0143,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-424-598,,76,,24,,0,,0,,,0,,100,,3.76,,False,,,False,,False,,False,,,False,,100,,CONTRERAS N,
,,0.76,,0.24,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
