SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee
COURSE TOTAL,:,,21,,0,,0,0,,0,,21,,4.0,,0,,False,,False,,0,,False,,21,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-689-100,,,5,,0,,0,0,,0,,5,,4.0,,0,,False,,False,,0,,False,,5,,ABBOTT L,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,5,,0,,0,0,,0,,5,,4.0,,0,,False,,False,,0,,False,,5,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIBS-985-301
COURSE TOTAL:
DEPARTMENT TOTAL:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,2,,3,0,,0,,52.4,,,,0,,False,,False,,0,,False,,5,,HOFFMAN A,,
,,,0.0,,0.4,,0.6,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
,,,0,,2,,3,0,,0,,52.4,,,,0,,False,,False,,0,,False,,5,,,,
,,,0.0,,0.4,,0.6,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
,,,73,,18,,21,7,,0,,1193.319,,,,3,,False,,False,,10,,False,,132,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.6134,,0.1513,,0.1765,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTPP-401-250,,,8,,0,,0,0,,0,,8,,4.0,,0,,False,,False,,0,,False,,8,,WASSER J,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,8,,0,,0,0,,0,,8,,4.0,,0,,False,,False,,0,,False,,8,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VTPP-423-300,,,6,,12,,10,10,,1,,39,,2.308,,0,,False,,False,,2,,False,,41,,HERMAN J,,
,,,0.1538,,0.3077,,0.2564,0.2564,,0.0256,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,6,,12,,10,10,,1,,39,,2.308,,0,,False,,False,,2,,False,,41,,,,
,,,0.1538,,0.3077,,0.2564,0.2564,,0.0256,,,,,,,,,,,,,,,,,,,,
VTPP-485-308,,,8,,0,,0,0,,0,,8,,4.0,,2,,False,,False,,0,,False,,10,,BLUE MCLENDON,A,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,8,,0,,0,0,,0,,8,,4.0,,2,,False,,False,,0,,False,,10,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VTPP-491-301,,,5,,0,,0,0,,0,,5,,4.0,,0,,False,,False,,0,,False,,5,,DONGAONKAR R,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,5,,0,,0,0,,0,,5,,4.0,,0,,False,,False,,0,,False,,5,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VTPP-623-300,,,1,,4,,1,0,,0,,6,,3.0,,0,,False,,False,,0,,False,,6,,HERMAN J,,
,,,0.1667,,0.6667,,0.1667,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,1,,4,,1,0,,0,,6,,3.0,,0,,False,,False,,0,,False,,6,,,,
,,,0.1667,,0.6667,,0.1667,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VTPP-948-250,,,14,,0,,0,0,,0,,14,,4.0,,0,,False,,False,,0,,False,,14,,BLUE MCLENDON,A,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,14,,0,,0,0,,0,,14,,4.0,,0,,False,,False,,0,,False,,14,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
