,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
NURS-412-301,0,18,6,0,0,24,2.75,0,0,0,0,0,24,DECKER W
,0.00%,75.00%,25.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,35,8,0,0,50,2.98,0,0,0,0,0,50,
,14.00%,70.00%,16.00%,0.00%,0.00%,,,,,,,,,
NURS-413-300,25,2,0,0,0,27,3.925,0,0,0,0,1,28,PITTMAN A
,92.59%,7.41%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,2,0,0,0,27,3.925,0,0,0,0,1,28,
,92.59%,7.41%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-420-300,14,9,2,0,0,25,3.48,1,0,0,0,0,26,MARKLUND L
,56.00%,36.00%,8.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,9,2,0,0,25,3.48,1,0,0,0,0,26,
,56.00%,36.00%,8.00%,0.00%,0.00%,,,,,,,,,
NURS-430-300,24,4,0,0,0,28,3.857,0,0,0,0,0,28,FABRY L
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-430-301,17,2,0,0,0,19,3.894,0,0,0,0,0,19,FABRY L
,89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,41,6,0,0,0,47,3.872,0,0,0,0,0,47,
,87.23%,12.77%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-434-300,76,1,0,0,0,77,3.987,0,0,0,0,0,77,VAN S
,98.70%,1.30%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-434-301,34,0,0,0,0,34,4,0,0,0,0,0,34,VAN S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,110,1,0,0,0,111,3.99,0,0,0,0,0,111,
,99.10%,0.90%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
NURS-460-700,16,1,0,0,0,17,3.941,0,0,0,0,0,17,AUTHEMENT R
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-460-701,11,3,2,0,0,16,3.562,1,0,0,0,0,17,BONNER R
,68.75%,18.75%,12.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,4,2,0,0,33,3.757,1,0,0,0,0,34,
,81.82%,12.12%,6.06%,0.00%,0.00%,,,,,,,,,
NURS-461-700,8,8,1,1,0,18,3.277,0,0,0,1,0,19,GARY J
,44.44%,44.44%,5.56%,5.56%,0.00%,,,,,,,,,
NURS-461-701,13,1,1,0,0,15,3.8,0,0,0,0,0,15,AUTHEMENT R
,86.67%,6.67%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,9,2,1,0,33,3.515,0,0,0,1,0,34,
,63.64%,27.27%,6.06%,3.03%,0.00%,,,,,,,,,
NURS-462-700,30,0,0,0,0,30,4,0,0,0,0,0,30,BRUCE R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,30,0,0,0,0,30,4,0,0,0,0,0,30,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-465-700,21,8,2,0,0,31,3.612,0,0,0,0,0,31,AUTHEMENT R
,67.74%,25.81%,6.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,8,2,0,0,31,3.612,0,0,0,0,0,31,
,67.74%,25.81%,6.45%,0.00%,0.00%,,,,,,,,,
NURS-601-700,8,0,0,0,0,8,4,0,0,0,0,0,8,MITCHELL S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4,0,0,0,0,0,8,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
NURS-617-700,2,4,0,0,0,6,3.333,0,0,0,0,0,6,HOFFMAN M
,33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,4,0,0,0,6,3.333,0,0,0,0,0,6,
,33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-618-700,3,9,1,0,0,13,3.153,0,0,0,0,0,13,HOFFMAN M
,23.08%,69.23%,7.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,9,1,0,0,13,3.153,0,0,0,0,0,13,
,23.08%,69.23%,7.69%,0.00%,0.00%,,,,,,,,,
NURS-624-700,1,4,0,0,0,5,3.2,0,0,0,0,0,5,PULLIUM C
,20.00%,80.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,4,0,0,0,5,3.2,0,0,0,0,0,5,
,20.00%,80.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-625-700,12,4,0,0,0,16,3.75,0,0,0,0,0,16,JOHNSON C
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,4,0,0,0,16,3.75,0,0,0,0,0,16,
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-630-700,7,3,0,0,0,10,3.7,0,0,0,0,0,10,BONNER R
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,3,0,0,0,10,3.7,0,0,0,0,0,10,
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-631-700,14,0,0,0,0,14,4,0,0,0,2,0,16,UTTERBACK V
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,4,0,0,0,2,0,16,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
NURS-651-700,22,1,0,0,0,23,3.956,0,0,0,0,0,23,BONNER R
,95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,1,0,0,0,23,3.956,0,0,0,0,0,23,
,95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-654-700,22,0,0,0,0,22,4,0,0,0,0,0,22,PAGE R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,0,0,0,0,22,4,0,0,0,0,0,22,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,541,147,25,1,0,714,3.655,3,0,0,3,1,721,
,75.77%,20.59%,3.50%,0.14%,0.00%,,,,,,,,,
COLLEGE TOTAL:,541,147,25,1,0,714,3.655,3,0,0,3,1,721,
,75.77%,20.59%,3.50%,0.14%,0.00%,,,,,,,,,
