SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL   INSTRUCTOR,ii,jj,kk,ll,mm
EDAD-606-700,,24,,2,,1,,0,,,0,,,27,,,3.851,,0,,,,False,,,False,,,0,,0,,27,,FAHRENWALD C,,,
,,0.8889,,0.0741,,0.037,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,2,,1,,0,,,0,,,27,,,3.851,,0,,,,False,,,False,,,0,,0,,27,,,,,
,,0.8889,,0.0741,,0.037,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,,27,,0,,0,,0,,,0,,,27,,,4.0,,0,,,,False,,,False,,,0,,0,,27,,POENITZSCH N,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,0,,0,,0,,,0,,,27,,,4.0,,0,,,,False,,,False,,,0,,0,,27,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-609-700,,28,,0,,0,,0,,,0,,,28,,,4.0,,0,,,,False,,,False,,,0,,0,,28,,POENITZSCH N,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,28,,0,,0,,0,,,0,,,28,,,4.0,,0,,,,False,,,False,,,0,,0,,28,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-610-600,,19,,0,,0,,0,,,0,,,19,,,4.0,,0,,,,False,,,False,,,1,,0,,20,,BROWN J,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,0,,0,,0,,,0,,,19,,,4.0,,0,,,,False,,,False,,,1,,0,,20,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
EDAD-611-602,,18,,0,,0,,0,,,0,,18,,,,4.0,,0,,,0,,,0,,,False,,,0,,18,,,NELSON B,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,0,,0,,0,,,0,,18,,,,4.0,,0,,,0,,,0,,,False,,,0,,18,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-616-600,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,SAAVEDRA A,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-618-600,,18,,0,,0,,0,,,0,,18,,,,4.0,,0,,,0,,,0,,,False,,,0,,18,,,LECHUGA V,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,0,,0,,0,,,0,,18,,,,4.0,,0,,,0,,,0,,,False,,,0,,18,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-624-700,,27,,1,,0,,0,,,0,,28,,,,3.964,,0,,,0,,,0,,,False,,,0,,28,,,FAHRENWALD C,,
,,0.9643,,0.0357,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,1,,0,,0,,,0,,28,,,,3.964,,0,,,0,,,0,,,False,,,0,,28,,,,,
,,0.9643,,0.0357,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-625-600,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,DIXON N,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-635-700,,47,,0,,0,,0,,,0,,47,,,,4.0,,0,,,0,,,0,,,False,,,0,,47,,,WEBB-JOHNSON G,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,47,,0,,0,,0,,,0,,47,,,,4.0,,0,,,0,,,0,,,False,,,0,,47,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
