SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,GPA     I,q,r,s,S     U     Q,u,v,w,x,y,z,X    TOTAL,bb,cc,dd,ee,INSTRUCTOR,gg,hh,ii,jj
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
ACCT-328-200,,,34,,19,,7,,1,,,0,,61,,3.409,,0,,,False,,False,,0,,,False,,61,,HARDING M,,,
,,,0.5574,,0.3115,,0.1148,,0.0164,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,34,,19,,7,,1,,,0,,61,,3.409,,0,,,False,,False,,0,,,False,,61,,,,,
,,,0.5574,,0.3115,,0.1148,,0.0164,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-329-199,,,80,,14,,1,,1,,,0,,96,,3.802,,0,,,False,,False,,0,,,False,,96,,FARMER K,,,
,,,0.8333,,0.1458,,0.0104,,0.0104,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-329-299,,,52,,8,,1,,0,,,0,,61,,3.836,,0,,,False,,False,,0,,,False,,61,,FARMER K,,,
,,,0.8525,,0.1311,,0.0164,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,132,,22,,2,,1,,,0,,157,,3.815,,0,,,False,,False,,0,,,False,,157,,,,,
,,,0.8408,,0.1401,,0.0127,,0.0064,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-403-100,,,8,,1,,0,,0,,,0,,9,,3.888,,0,,,False,,False,,0,,,False,,9,,FARMER K,,,
,,,0.8889,,0.1111,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,1,,0,,0,,,0,,9,,3.888,,0,,,False,,False,,0,,,False,,9,,,,,
,,,0.8889,,0.1111,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-405-100,,,21,,28,,0,,0,,,0,,49,,3.428,,0,,,False,,False,,0,,,False,,49,,LARKIN R,,,
,,,0.4286,,0.5714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,21,,28,,0,,0,,,0,,49,,3.428,,0,,,False,,False,,0,,,False,,49,,,,,
,,,0.4286,,0.5714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-407-900,,,7,,21,,9,,0,,,0,,37,,2.945,,0,,,False,,False,,0,,,False,,37,,SHAUB M,,,
,,,0.1892,,0.5676,,0.2432,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,21,,9,,0,,,0,,37,,2.945,,0,,,False,,False,,0,,,False,,37,,,,,
,,,0.1892,,0.5676,,0.2432,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-421-931,,,53,,0,,0,,0,,,0,,53,,4.0,,0,,,False,,False,,0,,,False,,53,,FOSTER C,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,53,,,0,,0,,0,,,0,,53,,4.0,,0,,,False,,False,,0,,,False,,53,,,,,
,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-427-100,,26,,,19,,5,,0,,,1,,51,,3.352,,0,,,False,,False,,1,,,False,,52,,,,,
,,0.5098,,,0.3725,,0.098,,0.0,,,0.0196,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,,19,,5,,0,,,1,,51,,3.352,,0,,,False,,False,,1,,,False,,52,,,,,
,,0.5098,,,0.3725,,0.098,,0.0,,,0.0196,,,,,,,,,,,,,,,,,,,,,,,
ACCT-450-200,,5,,,0,,0,,0,,,0,,5,,4.0,,0,,,False,,False,,0,,,False,,5,,,,,
,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,0,,0,,0,,,0,,5,,4.0,,0,,,False,,False,,0,,,False,,5,,,,,
,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-603-100,,43,,,4,,0,,0,,,0,,47,,3.914,,0,,,False,,False,,0,,,False,,47,,,,,
,,0.9149,,,0.0851,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,,4,,0,,0,,,0,,47,,3.914,,0,,,False,,False,,0,,,False,,47,,,,,
,,0.9149,,,0.0851,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-628-201,,27,,,8,,2,,0,,,1,,38,,3.578,,0,,,False,,False,,1,,,False,,39,,,,,
,,0.7105,,,0.2105,,0.0526,,0.0,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,
ACCT-628-202,,27,,,9,,1,,0,,,1,,38,,3.605,,1,,,False,,False,,1,,,False,,40,,,,,
,,0.7105,,,0.2368,,0.0263,,0.0,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,54,,,17,,3,,0,,,2,,76,,3.592,,1,,,False,,False,,2,,,False,,79,,,,,
,,0.7105,,,0.2237,,0.0395,,0.0,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,
ACCT-629-200,,31,,,2,,0,,0,,,0,,33,,3.939,,0,,,False,,False,,0,,,False,,33,,,,,
,,0.9394,,,0.0606,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,31,,,2,,0,,0,,,0,,33,,3.939,,0,,,False,,False,,0,,,False,,33,,,,,
,,0.9394,,,0.0606,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BLASOR T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMER K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAGG J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
