SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll
,,0.2609,,0.5,,0.1304,,0.1087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-100,,59,,0,,0,,0,,,0,,,59,,,4.0,,False,,,,False,,,False,,,0,,False,,59,,ROACH K,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,59,,0,,0,,0,,,0,,,59,,,4.0,,False,,,,False,,,False,,,0,,False,,59,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-100,,10,,18,,18,,3,,,1,,,50,,,2.66,,False,,,,False,,,False,,,3,,False,,53,,BLASOR T,,
,,0.2,,0.36,,0.36,,0.06,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,18,,18,,3,,,1,,,50,,,2.66,,False,,,,False,,,False,,,3,,False,,53,,,,
,,0.2,,0.36,,0.36,,0.06,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
ACCT-328-200,,24,,25,,14,,0,,,1,,64,,,,3.109,,True,,,False,,,False,,,2,,,False,,67,,,LARKIN R,
,,0.375,,0.3906,,0.2188,,0.0,,,0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,25,,14,,0,,,1,,64,,,,3.109,,True,,,False,,,False,,,2,,,False,,67,,,,
,,0.375,,0.3906,,0.2188,,0.0,,,0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-329-199,,27,,33,,6,,0,,,0,,66,,,,3.318,,False,,,False,,,False,,,2,,,False,,68,,,FARMER K,
,,0.4091,,0.5,,0.0909,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-329-299,,32,,27,,3,,2,,,0,,64,,,,3.39,,False,,,False,,,False,,,0,,,False,,64,,,FARMER K,
,,0.5,,0.4219,,0.0469,,0.0313,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,59,,60,,9,,2,,,0,,130,,,,3.353,,False,,,False,,,False,,,2,,,False,,132,,,,
,,0.4538,,0.4615,,0.0692,,0.0154,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-403-100,,11,,2,,0,,0,,,0,,13,,,,3.846,,False,,,False,,,False,,,1,,,False,,14,,,DEER S,
,,0.8462,,0.1538,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,2,,0,,0,,,0,,13,,,,3.846,,False,,,False,,,False,,,1,,,False,,14,,,,
,,0.8462,,0.1538,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-405-100,,40,,30,,3,,0,,,0,,73,,,,3.506,,False,,,False,,,False,,,0,,,False,,73,,,LARKIN R,
,,0.5479,,0.411,,0.0411,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,30,,3,,0,,,0,,73,,,,3.506,,False,,,False,,,False,,,0,,,False,,73,,,,
,,0.5479,,0.411,,0.0411,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-407-900,,9,,21,,7,,0,,,0,,37,,,,3.054,,False,,,False,,,False,,,0,,,False,,37,,,SHAUB M,
,,0.2432,,0.5676,,0.1892,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,21,,7,,0,,,0,,37,,,,3.054,,False,,,False,,,False,,,0,,,False,,37,,,,
,,0.2432,,0.5676,,0.1892,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-421-931,,49,,3,,0,,0,,,0,,52,,,,3.942,,False,,,False,,,False,,,0,,,False,,52,,,KRAJICEK J,
,,0.9423,,0.0577,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
ACCT-421-932,,39,,5,,0,,0,,,0,,44,,,,3.886,,False,,,False,,,False,,,1,,,False,,45,,,KRAJICEK J,
,,0.8864,,0.1136,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,88,,8,,0,,0,,,0,,96,,,,3.916,,False,,,False,,,False,,,1,,,False,,97,,,,
,,0.9167,,0.0833,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-427-100,,17,,33,,7,,0,,,0,,57,,,,3.175,,False,,,False,,,False,,,2,,,False,,59,,,BLASOR T,
,,0.2982,,0.5789,,0.1228,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,33,,7,,0,,,0,,57,,,,3.175,,False,,,False,,,False,,,2,,,False,,59,,,,
,,0.2982,,0.5789,,0.1228,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-445-100,,13,,0,,0,,0,,,0,,13,,,,4.0,,False,,,False,,,False,,,0,,,False,,13,,,NAFSTAD A,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,0,,0,,0,,,0,,13,,,,4.0,,False,,,False,,,False,,,0,,,False,,13,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-450-200,,45,,0,,0,,0,,,0,,45,,,,4.0,,False,,,False,,,False,,,0,,,False,,45,,,JOHNSON C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,45,,0,,0,,0,,,0,,45,,,,4.0,,False,,,False,,,False,,,0,,,False,,45,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-603-100,,24,,4,,0,,0,,,0,,28,,,,3.857,,False,,,False,,,False,,,1,,,False,,29,,,DEER S,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,4,,0,,0,,,0,,28,,,,3.857,,False,,,False,,,False,,,1,,,False,,29,,,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-610-651,,26,,2,,0,,0,,,0,,28,,,,3.928,,False,,,False,,,False,,,0,,,False,,28,,,KINNEY M,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-610-700,,11,,7,,1,,1,,,0,,20,,,,3.4,,False,,,False,,,False,,,0,,,False,,20,,,KINNEY M,
,,0.55,,0.35,,0.05,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
