SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll
COURSE TOTAL:,,60,,2,,0,,0,,,0,,62,,,,3.967,,0,,,0,,,0,,,0,,,0,,,62,,,
,,0.9677,,0.0323,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,
ACCT-327-500,,12,,11,,7,,0,,,0,,,30,,,3.166,,0,,,,False,,,False,9,,,,,0,,39,,STUBER S,
,,0.4,,0.3667,,0.2333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,,5,,14,,13,,2,,,1,,,35,,,2.571,,0,,,,False,,,False,5,,,,,0,,40,,STUBER S,
,,0.1429,,0.4,,0.3714,,0.0571,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-502,,9,,12,,12,,1,,,1,,,35,,,2.771,,0,,,,False,,,False,5,,,,,0,,40,,STUBER S,
,,0.2571,,0.3429,,0.3429,,0.0286,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,,7,,11,,23,,1,,,1,,,43,,,2.511,,0,,,,False,,,False,3,,,,,6,,52,,LOUDDER M,
,,0.1628,,0.2558,,0.5349,,0.0233,,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,,18,,15,,8,,2,,,0,,,43,,,3.139,,0,,,,False,,,False,4,,,,,2,,49,,LOUDDER M,
,,0.4186,,0.3488,,0.186,,0.0465,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,,7,,7,,11,,2,,,0,,,27,,,2.703,,1,,,,False,,,False,15,,,,,0,,43,,LARKIN R,
,,0.2593,,0.2593,,0.4074,,0.0741,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,,7,,9,,1,,0,,,0,,,17,,,3.352,,0,,,,False,,,False,7,,,,,0,,24,,LARKIN R,
,,0.4118,,0.5294,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-507,,11,,14,,5,,0,,,1,,,31,,,3.096,,0,,,,False,,,False,8,,,,,0,,39,,LARKIN R,
,,0.3548,,0.4516,,0.1613,,0.0,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-508,,21,,11,,6,,0,,,0,,,38,,,3.394,,0,,,,False,,,False,7,,,,,0,,45,,LARKIN R,
,,0.5526,,0.2895,,0.1579,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-509,,9,,12,,16,,1,,,0,,,38,,,2.763,,0,,,,False,,,False,10,,,,,0,,48,,WEAVER A,
,,0.2368,,0.3158,,0.4211,,0.0263,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,106,,116,,102,,9,,,4,,,337,,,2.922,,1,,,,False,,,False,73,,,,,8,,419,,,
,,0.3145,,0.3442,,0.3027,,0.0267,,,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-501,,16,,9,,4,,2,,,0,,,31,,,3.258,,0,,,,False,,,False,2,,,,,0,,33,,WANG D,
,,0.5161,,0.2903,,0.129,,0.0645,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-502,,13,,9,,5,,0,,,0,,,27,,,3.296,,1,,,,False,,,False,3,,,,,0,,31,,WANG D,
,,0.4815,,0.3333,,0.1852,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
