SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll
,,0.3143,,0.3143,,0.3143,,0.0571,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,5,,18,,13,,5,,,0,,41,,,,2.56,,0,,,0,,,0,,,3,,,0,,,44,,BARRETT J,
,,0.122,,0.439,,0.3171,,0.122,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,6,,14,,11,,8,,,0,,39,,,,2.461,,0,,,0,,,0,,,4,,,0,,,43,,BARRETT J,
,,0.1538,,0.359,,0.2821,,0.2051,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,,3,,9,,19,,3,,,0,,34,,,,2.352,,0,,,0,,,0,,,12,,,0,,,46,,CLARKE M,
,,0.0882,,0.2647,,0.5588,,0.0882,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-507,,6,,17,,7,,6,,,5,,41,,,,2.317,,0,,,0,,,0,,,4,,,0,,,45,,CLARKE M,
,,0.1463,,0.4146,,0.1707,,0.1463,,,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,
ACCT-229-508,,3,,4,,11,,4,,,2,,,24,,,2.083,,0,,,,False,,,False,12,,,,,False,,36,,HEAD M,
,,0.125,,0.1667,,0.4583,,0.1667,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-509,,6,,8,,23,,4,,,1,,,42,,,2.333,,0,,,,False,,,False,12,,,,,False,,54,,HEAD M,
,,0.1429,,0.1905,,0.5476,,0.0952,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-510,,4,,14,,14,,2,,,2,,,36,,,2.444,,0,,,,False,,,False,8,,,,,False,,44,,HEAD M,
,,0.1111,,0.3889,,0.3889,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,,4,,17,,19,,13,,,0,,,53,,,2.226,,0,,,,False,,,False,14,,,,,False,,67,,BARBIER E,
,,0.0755,,0.3208,,0.3585,,0.2453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,59,,123,,129,,47,,,10,,,368,,,2.472,,0,,,,False,,,False,78,,,,,False,,446,,,
,,0.1603,,0.3342,,0.3505,,0.1277,,,0.0272,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-200,,9,,8,,2,,0,,,0,,,19,,,3.368,,0,,,,False,,,False,0,,,,,False,,19,,MCGOWAN A,
,,0.4737,,0.4211,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,,16,,5,,1,,0,,,0,,,22,,,3.681,,0,,,,False,,,False,0,,,,,False,,22,,STRAWSER R,
,,0.7273,,0.2273,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-500,,76,,72,,47,,10,,,1,,,206,,,3.029,,1,,,,False,,,False,11,,,,,False,,218,,ALLEN N,
,,0.3689,,0.3495,,0.2282,,0.0485,,,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,,5,,5,,4,,1,,,0,,,15,,,2.933,,0,,,,False,,,False,5,,,,,False,,20,,LI Y,
,,0.3333,,0.3333,,0.2667,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,,65,,74,,42,,14,,,1,,,196,,,2.959,,0,,,,False,,,False,19,,,,,False,,215,,ALLEN N,
,,0.3316,,0.3776,,0.2143,,0.0714,,,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-503,,4,,5,,6,,2,,,0,,,17,,,2.647,,0,,,,False,,,False,2,,,,,False,,19,,KIM Y,
,,0.2353,,0.2941,,0.3529,,0.1176,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,175,,169,,102,,27,,,2,,,475,,,3.027,,1,,,,False,,,False,37,,,,,False,,513,,,
,,0.3684,,0.3558,,0.2147,,0.0568,,,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,,3,,12,,12,,3,,,0,,,30,,,2.5,,0,,,,False,,,False,4,,,,,False,,34,,BLASOR T,
,,0.1,,0.4,,0.4,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,
ACCT-327-502,,8,,10,,6,,1,,,1,,,26,,,2.884,,0,,,,False,,,False,10,,,,,False,,36,,BLASOR T,
,,0.3077,,0.3846,,0.2308,,0.0385,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,,6,,15,,3,,0,,,0,,,24,,,3.125,,0,,,,False,,,False,10,,,,,False,,34,,BLASOR T,
,,0.25,,0.625,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,,8,,15,,7,,1,,,1,,,32,,,2.875,,0,,,,False,,,False,4,,,,,False,,36,,LARKIN R,
,,0.25,,0.4688,,0.2188,,0.0313,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,,8,,9,,8,,4,,,2,,,31,,,2.548,,0,,,,False,,,False,4,,,,,False,,35,,LARKIN R,
,,0.2581,,0.2903,,0.2581,,0.129,,,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,,7,,15,,6,,1,,,0,,,29,,,2.965,,0,,,,False,,,False,5,,,,,False,,34,,LARKIN R,
,,0.2414,,0.5172,,0.2069,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-507,,9,,8,,12,,1,,,0,,,30,,,2.833,,0,,,,False,,,False,4,,,,,False,,34,,LARKIN R,
,,0.3,,0.2667,,0.4,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-508,,6,,13,,9,,2,,,1,,,31,,,2.677,,0,,,,False,,,False,3,,,,,False,,34,,LOUDDER M,
,,0.1935,,0.4194,,0.2903,,0.0645,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-509,,7,,10,,9,,3,,,0,,,29,,,2.724,,0,,,,False,,,False,3,,,,,False,,32,,SHARP N,
,,0.2414,,0.3448,,0.3103,,0.1034,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-510,,11,,10,,11,,1,,,1,,,34,,,2.852,,0,,,,False,,,False,2,,,,,False,,36,,SHARP N,
,,0.3235,,0.2941,,0.3235,,0.0294,,,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-511,,4,,5,,5,,1,,,0,,,15,,,2.8,,0,,,,False,,,False,3,,,,,False,,18,,CLINE K,
,,0.2667,,0.3333,,0.3333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-512,,6,,13,,3,,2,,,3,,,27,,,2.629,,0,,,,False,,,False,6,,,,,False,,33,,CLINE K,
,,0.2222,,0.4815,,0.1111,,0.0741,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-516,,10,,8,,6,,2,,,0,,,26,,,3.0,,0,,,,False,,,False,9,,,,,False,,35,,CLINE K,
,,0.3846,,0.3077,,0.2308,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,93,,143,,97,,22,,,9,,,364,,,2.793,,0,,,,False,,,False,67,,,,,False,,431,,,
,,0.2555,,0.3929,,0.2665,,0.0604,,,0.0247,,,,,,,,,,,,,,,,,,,,,,,,,,
