SECTION,b,c,A,e,B,g,C,i,D,k,l,F,n,A_2,- F,q,r,GPA,t,I,v,w,S,y,z,U,bb,Q,dd,ee,ff,X,hh,ii,TOTAL,kk,ll,INSTRUCTOR,nn,oo,pp
ACCT-230-201,,6,,11,,1,,0,,,0,,18,,,,3.277,,False,,,False,,,False,,,1,,,False,,,19,,,MCGOWAN A,,,,
,,0.3333,,0.6111,,0.0556,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,,,
ACCT-230-202,,,7,,5,,0,,1,,,0,,13,,,,3.384,,0,,,0,,,0,,,1,,,0,,,14,,,MCGOWAN A,,,
,,,0.5385,,0.3846,,0.0,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,,,50,,97,,50,,12,,,1,,210,,,,2.871,,0,,,0,,,0,,,9,,,0,,,219,,,ALLEN N,,,
,,,0.2381,,0.4619,,0.2381,,0.0571,,,0.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,,,79,,149,,96,,32,,,3,,359,,,,2.749,,0,,,0,,,0,,,25,,,0,,,384,,,ALLEN N,,,
,,,0.2201,,0.415,,0.2674,,0.0891,,,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,142,,262,,147,,45,,,4,,600,,,,2.821,,0,,,0,,,0,,,36,,,0,,,636,,,,,,
,,,0.2367,,0.4367,,0.245,,0.075,,,0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-500,,,212,,0,,0,,0,,,0,,212,,,,4.0,,0,,,0,,,0,,,0,,,0,,,212,,,ROACH K,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,212,,0,,0,,0,,,0,,212,,,,4.0,,0,,,0,,,0,,,0,,,0,,,212,,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-322-500,,,48,,0,,0,,0,,,0,,48,,,,4.0,,0,,,0,,,0,,,0,,,0,,,48,,,BLASOR T,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,48,,0,,0,,0,,,0,,48,,,,4.0,,0,,,0,,,0,,,0,,,0,,,48,,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,,,8,,10,,10,,3,,,0,,31,,,,2.741,,0,,,0,,,0,,,3,,,0,,,34,,,LARKIN R,,,
,,,0.2581,,0.3226,,0.3226,,0.0968,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-502,,,11,,12,,11,,3,,,0,,37,,,,2.837,,0,,,0,,,0,,,7,,,0,,,44,,,CLINE K,,,
,,,0.2973,,0.3243,,0.2973,,0.0811,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,,,18,,13,,4,,3,,,2,,40,,,,3.05,,0,,,0,,,0,,,4,,,0,,,44,,,CLINE K,,,
,,,0.45,,0.325,,0.1,,0.075,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,,,5,,15,,9,,5,,,0,,34,,,,2.588,,0,,,0,,,0,,,7,,,0,,,41,,,YUST C,,,
,,,0.1471,,0.4412,,0.2647,,0.1471,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,,,8,,8,,13,,6,,,0,,35,,,,2.514,,0,,,0,,,0,,,3,,,0,,,38,,,YUST C,,,
,,,0.2286,,0.2286,,0.3714,,0.1714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
