SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,jj,INSTRUCTOR,ll,mm,nn,oo
,,,0.2,,0.2571,,0.2857,,0.2286,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,,13,,13,,15,,9,,,0,,50,,,,2.6,,0,,,0,,,0,,,11,,,0,,,61,,,BARRETT J,,
,,,0.26,,0.26,,0.3,,0.18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,,12,,16,,10,,7,,,0,,45,,,,2.733,,0,,,0,,,0,,,8,,,0,,,53,,,BARRETT J,,
,,,0.2667,,0.3556,,0.2222,,0.1556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-504,,,23,,24,,16,,2,,,2,,67,,,,2.955,,0,,,0,,,0,,,9,,,0,,,76,,,KNOOP J,,
,,,0.3433,,0.3582,,0.2388,,0.0299,,,0.0299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,,,16,,17,,11,,4,,,2,,50,,,,2.82,,1,,,0,,,0,,,11,,,0,,,62,,,KNOOP J,,
,,,0.32,,0.34,,0.22,,0.08,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,,
ACCT-229-506,,,2,,14,,12,,4,,,0,,32,,,,2.437,,0,,,0,,,0,,,3,,,0,,,35,,,ARNOSKY C,,
,,,0.0625,,0.4375,,0.375,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-507,,,6,,12,,8,,3,,,0,,29,,,,2.724,,0,,,0,,,0,,,7,,,0,,,36,,,ARNOSKY C,,
,,,0.2069,,0.4138,,0.2759,,0.1034,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-510,,,8,,10,,10,,6,,,1,,35,,,,2.514,,0,,,0,,,0,,,10,,,0,,,45,,,HEAD M,,
,,,0.2286,,0.2857,,0.2857,,0.1714,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,,,3,,8,,10,,1,,,1,,23,,,,2.478,,0,,,0,,,0,,,4,,,0,,,27,,,NOOR S,,
,,,0.1304,,0.3478,,0.4348,,0.0435,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-512,,,4,,7,,8,,4,,,0,,23,,,,2.478,,0,,,0,,,0,,,6,,,0,,,29,,,JUDD H,,
,,,0.1739,,0.3043,,0.3478,,0.1739,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,104,,144,,110,,48,,,7,,413,,,,2.702,,1,,,0,,,0,,,78,,,0,,,492,,,,,
,,,0.2518,,0.3487,,0.2663,,0.1162,,,0.0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-200,,,19,,10,,0,,0,,,0,,29,,,,3.655,,0,,,0,,,0,,,0,,,0,,,29,,,WEAVER A,,
,,,0.6552,,0.3448,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,,,15,,10,,1,,0,,,0,,26,,,,3.538,,0,,,0,,,0,,,0,,,0,,,26,,,WEAVER A,,
,,,0.5769,,0.3846,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-500,,,71,,89,,57,,15,,,2,,234,,,,2.905,,0,,,0,,,0,,,14,,,0,,,248,,,ALLEN N,,
,,,0.3034,,0.3803,,0.2436,,0.0641,,,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,,,77,,93,,43,,13,,,1,,227,,,,3.022,,0,,,0,,,0,,,13,,,0,,,240,,,ALLEN N,,
,,,0.3392,,0.4097,,0.1894,,0.0573,,,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-503,,,18,,17,,7,,1,,,1,,44,,,,3.136,,0,,,0,,,0,,,3,,,0,,,47,,,MARK S,,
,,,0.4091,,0.3864,,0.1591,,0.0227,,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,200,,219,,108,,29,,,4,,560,,,,3.039,,0,,,0,,,0,,,30,,,0,,,590,,,,,
,,,0.3571,,0.3911,,0.1929,,0.0518,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,,,2,,19,,6,,0,,,0,,27,,,,2.851,,0,,,0,,,0,,,2,,,0,,,29,,,BLASOR T,,
,,,0.0741,,0.7037,,0.2222,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,,INSTRUCTOR,,
ACCT-327-502,,,11,,11,,4,,1,,,0,,,27,,,3.185,,,0,,,False,,,False,,,3,,,False,,30,,,BLASOR T,,
,,,0.4074,,0.4074,,0.1481,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,,,9,,6,,4,,1,,,0,,,20,,,3.15,,,8,,,False,,,False,,,1,,,False,,29,,,LARKIN R,,
,,,0.45,,0.3,,0.2,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,,,8,,12,,6,,1,,,0,,,27,,,3.0,,,5,,,False,,,False,,,3,,,False,,35,,,LARKIN R,,
,,,0.2963,,0.4444,,0.2222,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,,,5,,12,,4,,0,,,0,,,21,,,3.047,,,5,,,False,,,False,,,6,,,False,,32,,,LARKIN R,,
,,,0.2381,,0.5714,,0.1905,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,,,3,,8,,8,,0,,,0,,,19,,,2.736,,,3,,,False,,,False,,,2,,,False,,24,,,LARKIN R,,
,,,0.1579,,0.4211,,0.4211,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-508,,,28,,8,,2,,1,,,3,,,42,,,3.357,,,0,,,False,,,False,,,1,,,False,,43,,,LOUDDER M,,
,,,0.6667,,0.1905,,0.0476,,0.0238,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-509,,,2,,6,,9,,1,,,2,,,20,,,2.25,,,0,,,False,,,False,,,5,,,False,,25,,,BLUM E,,
,,,0.1,,0.3,,0.45,,0.05,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-510,,,4,,9,,7,,3,,,0,,,23,,,2.608,,,0,,,False,,,False,,,4,,,False,,27,,,BLUM E,,
,,,0.1739,,0.3913,,0.3043,,0.1304,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-511,,,8,,5,,10,,2,,,0,,,25,,,2.76,,,0,,,False,,,False,,,4,,,False,,29,,,BLUM E,,
,,,0.32,,0.2,,0.4,,0.08,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-512,,,16,24,,17,,3,,,0,,60,,,,2.883,,0,,,False,,,False,,,4,,,False,,,64,,,CLINE K,,,
,,,0.2667,0.4,,0.2833,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,96,120,,77,,13,,,5,,311,,,,2.929,,21,,,False,,,False,,,35,,,False,,,367,,,,,,
,,,0.3087,0.3859,,0.2476,,0.0418,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-501,,,30,9,,3,,0,,,0,,42,,,,3.642,,0,,,False,,,False,,,0,,,False,,,42,,,HARDING,,M,
,,,0.7143,0.2143,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-502,,,29,14,,3,,0,,,0,,46,,,,3.565,,0,,,False,,,False,,,1,,,False,,,47,,,HARDING,,M,
,,,0.6304,0.3043,,0.0652,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
