SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo,pp
HEAD M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XU N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCGOWAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCGOWAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,121,,,169,,,87,,,42,,,3,,422,,2.86,,,False,,,False,,False,,35,,,False,,457,,,,,,,,
,,0.2867,,,0.4005,,,0.2062,,,0.0995,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,,7,,,14,,,10,,,4,,,0,,35,,2.685,,,False,,,False,,False,,8,,,False,,43,,BLASOR,,T,,,,
,,0.2,,,0.4,,,0.2857,,,0.1143,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-502,,8,,,18,,,6,,,3,,,0,,35,,2.885,,,False,,,False,,False,,4,,,False,,39,,BLASOR,,T,,,,
,,0.2286,,,0.5143,,,0.1714,,,0.0857,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,,7,,,17,,,12,,,0,,,1,,37,,2.783,,,False,,,False,,False,,3,,,False,,40,,BLASOR,,T,,,,
,,0.1892,,,0.4595,,,0.3243,,,0.0,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,,9,,,13,,,7,,,3,,,0,,32,,2.875,,,False,,,False,,False,,12,,,False,,44,,LARKIN,,R,,,,
,,0.2813,,,0.4063,,,0.2188,,,0.0938,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,,13,,,11,,,10,,,0,,,0,,34,,3.088,,,False,,,False,,False,,7,,,False,,41,,LARKIN,,R,,,,
,,0.3824,,,0.3235,,,0.2941,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,,6,,,18,,,7,,,2,,,0,,33,,2.848,,,False,,,False,,False,,9,,,False,,42,,LARKIN,,R,,,,
,,0.1818,,,0.5455,,,0.2121,,,0.0606,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-507,,4,,,9,,,16,,,1,,,1,,31,,2.451,,,False,,,False,,False,,12,,,False,,43,,LARKIN,,R,,,,
,,0.129,,,0.2903,,,0.5161,,,0.0323,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-508,,10,,,12,,,7,,,1,,,1,,31,,2.935,,,False,,,False,,False,,4,,,False,,35,,KOLASINSKI,,,A,,,
,,0.3226,,,0.3871,,,0.2258,,,0.0323,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-509,,10,,,14,,,11,,,4,,,0,,39,,2.769,,,False,,,False,,False,,3,,,False,,42,,SHARP N,,,,,,
,,0.2564,,,0.359,,,0.2821,,,0.1026,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-510,,7,,,18,,,10,,,1,,,0,,36,,2.861,,,False,,,False,,False,,4,,,False,,40,,SHARP N,,,,,,
,,0.1944,,,0.5,,,0.2778,,,0.0278,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-511,,8,,,13,,,5,,,2,,,0,,28,,2.964,,,True,,,False,,False,,11,,,False,,40,,CLINE K,,,,,,
,,0.2857,,,0.4643,,,0.1786,,,0.0714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-512,,7,,,19,,,9,,,2,,,2,,39,,2.692,,,False,,,False,,False,,6,,,False,,45,,CLINE K,,,,,,
,,0.1795,,,0.4872,,,0.2308,,,0.0513,,,0.0513,,,,,,,,,,,,,,,,,,,,,,,,,,,
