SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,GPR,p,I,r,s,S,u,v,U,x,y,z,Q,bb,cc,dd,ee,X,gg,hh,ii,jj,TOTAL,ll,INSTRUCTOR,nn,oo,pp,qq,rr
SECTION,,A,,B,,C,,D,,F,,A,- F,GPR,I,,,S,,,U,,,Q,,,,,,X,,,,,TOTAL,,INSTRUCTOR,,,,,,
ACCT-229-508,,18,,11,,14,,11,,0,,,54,2.667,0,,,,,False,,,False,,,,5,,,0,,,,,59,,KNOOP J,,,,,,
,,0.3333,,0.2037,,0.2593,,0.2037,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-509,,4,,6,,5,,4,,0,,,19,2.526,0,,,,,False,,,False,,,,4,,,0,,,,,23,,HARTMAN J,,,,,,
,,0.2105,,0.3158,,0.2632,,0.2105,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,90,,108,,99,,46,,3,,,346,2.682,0,,,,,False,,,False,,,,41,,,0,,,,,387,,,,,,,,
,,0.2601,,0.3121,,0.2861,,0.1329,,0.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,,12,,3,,1,,1,,0,,,17,3.529,0,,,,,False,,,False,,,,1,,,0,,,,,18,,MCGOWAN A,,,,,,
,,0.7059,,0.1765,,0.0588,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-202,,9,,5,,2,,0,,0,,,16,3.438,0,,,,,False,,,False,,,,0,,,0,,,,,16,,MCGOWAN A,,,,,,
,,0.5625,,0.3125,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,,56,,83,,40,,10,,0,,,189,2.979,0,,,,,False,,,False,,,,11,,,0,,,,,200,,ALLEN N,,,,,,
,,0.2963,,0.4392,,0.2116,,0.0529,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,,105,,147,,72,,22,,4,,,350,2.934,0,,,,,False,,,False,,,,16,,,0,,,,,366,,ALLEN N,,,,,,
,,0.3,,0.42,,0.2057,,0.0629,,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,182,,238,,115,,33,,4,,,572,2.981,0,,,,,False,,,False,,,,28,,,0,,,,,600,,,,,,,,
,,0.3182,,0.4161,,0.201,,0.0577,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-315-501,,1,,7,,6,,3,,0,,,17,2.353,0,,,,,False,,,False,,,,0,,,0,,,,,17,,STRAWSER R,,,,,,
,,0.0588,,0.4118,,0.3529,,0.1765,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-315-502,,4,,4,,5,,1,,1,,,15,2.6,0,,,,,False,,,False,,,,2,,,0,,,,,17,,STRAWSER R,,,,,,
,,0.2667,,0.2667,,0.3333,,0.0667,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,11,,11,,4,,1,,,32,2.469,0,,,,,False,,,False,,,,2,,,0,,,,,34,,,,,,,,
,,0.1563,,0.3438,,0.3438,,0.125,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-316-501,,10,,24,,11,,0,,0,,,45,2.978,0,,,,,False,,,False,,,,1,,,0,,,,,46,,GROSSMAN S,,,,,,
,,0.2222,,0.5333,,0.2444,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-316-502,,21,,36,,34,,1,,0,,,92,2.837,0,,,,,False,,,False,,,,3,,,0,,,,,95,,GROSSMAN S,,,,,,
,,0.2283,,0.3913,,0.3696,,0.0109,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,,- F,GPR,I,,,S,,,U,,,,Q,,,,X,,,,,TOTAL,,,INSTRUCTOR,,,,,,
ACCT-316-503,,4,,18,,31,,12,,0,,65,,2.215,,False,,,False,,,False,,,,2,,,,,False,,,,,67,,GROSSMAN,,,S,,
,,0.0615,,0.2769,,0.4769,,0.1846,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      35,,,78,,76,,13,,0,,202,,,2.668,0,,,0,,,0,,,,6,,,,0,,,,,208,,,,,,,,,
0.1733,,,0.3861,,0.3762,,0.0644,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-500          215,,,0,,0,,0,,0,,215,,,4.0,0,,,0,,,0,,,,0,,,,0,,,,,215,,,ROACH K,,,,,,
1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:     215,,,0,,0,,0,,0,,215,,,4.0,0,,,0,,,0,,,,0,,,,0,,,,,215,,,,,,,,,
1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-322-500           31,,,1,,1,,0,,0,,33,,,3.909,0,,,0,,,0,,,,0,,,,0,,,,,33,,,BLASOR T,,,,,,
0.9394,,,0.0303,,0.0303,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      31,,,1,,1,,0,,0,,33,,,3.909,0,,,0,,,0,,,,0,,,,0,,,,,33,,,,,,,,,
0.9394,,,0.0303,,0.0303,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501            6,,,15,,6,,3,,0,,30,,,2.8,0,,,0,,,0,,,,9,,,,0,,,,,39,,,NAFSTAD A,,,,,,
0.2,,,0.5,,0.2,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-502            7,,,22,,10,,0,,2,,41,,,2.78,0,,,0,,,0,,,,5,,,,0,,,,,46,,,CLINE K,,,,,,
0.1707,,,0.5366,,0.2439,,0.0,,0.0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503           10,,,16,,8,,4,,0,,38,,,2.842,0,,,0,,,0,,,,7,,,,0,,,,,45,,,CLINE K,,,,,,
0.2632,,,0.4211,,0.2105,,0.1053,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,6,,9,,8,,1,,0,,24,,,2.833,0,,,0,,,0,,,,6,,,,0,,,,,30,,,YUST,,C,,,,
,0.25,,0.375,,0.3333,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,4,,14,,8,,0,,1,,27,,,2.741,0,,,0,,,0,,,,3,,,,0,,,,,30,,,YUST,,C,,,,
,0.1481,,0.5185,,0.2963,,0.0,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,9,,23,,16,,1,,0,,49,,,2.816,0,,,0,,,0,,,,8,,,,0,,,,,57,,,YUST,,C,,,,
,0.1837,,0.4694,,0.3265,,0.0204,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
