SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,gg,INSTRUCTOR,ii,jj,kk
,,0.3158,,,0.3158,,,0.3684,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-599,,4,,,1,,,1,,1,,1,,,8,,2.75,,False,,,False,,False,,,0,,False,,8,,MCGRATH P,,,
,,0.5,,,0.125,,,0.125,,0.125,,0.125,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-700,8,,,3,,,1,,0,,,0,,,12,3.583,,,False,,,False,False,,,2,,,False,,,14,MCGRATH P,,,
,0.6667,,,0.25,,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,10,,,9,,1,,,1,,,39,3.102,,,True,,,False,False,,,4,,,False,,,44,,,,
,0.4615,,,0.2564,,,0.2308,,0.0256,,,0.0256,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-901,5,,,10,,,4,,0,,,0,,,19,3.052,,,False,,,False,False,,,1,,,False,,,20,LEGGETTE H,,,
,0.2632,,,0.5263,,,0.2105,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-902,6,,,13,,,1,,0,,,0,,,20,3.25,,,False,,,False,False,,,0,,,False,,,20,LEGGETTE H,,,
,0.3,,,0.65,,,0.05,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,,23,,,5,,0,,,0,,,39,3.153,,,False,,,False,False,,,1,,,False,,,40,,,,
,0.2821,,,0.5897,,,0.1282,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-901,12,,,9,,,1,,0,,,0,,,22,3.5,,,True,,,False,False,,,0,,,False,,,23,REDWINE T,,,
,0.5455,,,0.4091,,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-902,8,,,15,,,2,,0,,,0,,,25,3.24,,,False,,,False,False,,,0,,,False,,,25,REDWINE T,,,
,0.32,,,0.6,,,0.08,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,,24,,,3,,0,,,0,,,47,3.361,,,True,,,False,False,,,0,,,False,,,48,,,,
,0.4255,,,0.5106,,,0.0638,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-404-599,8,,,1,,,0,,0,,,1,,,10,3.5,,,False,,,False,False,,,0,,,False,,,10,JARVIS H,,,
,0.8,,,0.1,,,0.0,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-404-700,18,,,6,,,1,,3,,,0,,,28,3.392,,,False,,,False,False,,,1,,,False,,,29,JARVIS H,,,
,0.6429,,,0.2143,,,0.0357,,0.1071,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,26,,,7,,,1,,3,,,1,,,38,3.421,,,False,,,False,False,,,1,,,False,,,39,,,,
,0.6842,,,0.1842,,,0.0263,,0.0789,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-501,21,,,3,,,0,,0,,,0,,,24,3.875,,,False,,,False,False,,,1,,,False,,,25,RUTHERFORD,,True,
,0.875,,,0.125,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,,3,,,0,,0,,,0,,,24,3.875,,,False,,,False,False,,,1,,,False,,,25,,,,
,0.875,,,0.125,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-407-700,16,,,4,,,0,,0,,,0,,,20,3.8,,,False,,,False,False,,,1,,,False,,,21,MISZTAL,M,,
,0.8,,,0.2,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,16,,,4,,,0,,0,,,0,,,20,3.8,,,False,,,False,False,,,1,,,False,,,21,,,,
,0.8,,,0.2,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-408-700,15,,,15,,,2,,0,,,0,,,32,3.406,,,False,,,False,False,,,1,,,False,,,33,WEGENER,R,,
,0.4688,,,0.4688,,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,15,,,2,,0,,,0,,,32,3.406,,,False,,,False,False,,,1,,,False,,,33,,,,
,0.4688,,,0.4688,,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-411-500,19,,,6,,,1,,0,,,0,,,26,3.692,,,False,,,False,False,,,0,,,False,,,26,MCKIM B,,,
,0.7308,,,0.2308,,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,19,,,6,,,1,,0,,,0,,,26,3.692,,,False,,,False,False,,,0,,,False,,,26,,,,
,0.7308,,,0.2308,,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-466-500,7,,,2,,,3,,0,,,0,,,12,3.333,,,False,,,False,False,,,0,,,False,,,12,MCKIM B,,,
,0.5833,,,0.1667,,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,2,,,3,,0,,,0,,,12,3.333,,,False,,,False,False,,,0,,,False,,,12,,,,
,0.5833,,,0.1667,,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-500,37,,,3,,,0,,0,,,0,,,40,3.925,,,False,,,False,False,,,0,,,False,,,40,WALTHER,D,,
,0.925,,,0.075,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-566,13,,,0,,,0,,0,,,0,,,13,4.0,,,False,,,False,False,,,0,,,False,,,13,MCKIM B,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,50,,,3,,,0,,0,,,0,,,53,3.943,,,False,,,False,False,,,0,,,False,,,53,,,,
,0.9434,,,0.0566,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
