SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii,jj
WALTHER D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIM B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIM B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,,7,,,2,,,1,,1,,,15,2.8,,,False,,,False,False,,,5,,,False,,20,,,,
,0.2667,,,0.4667,,,0.1333,,,0.0667,,0.0667,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-404-599,10,,,6,,,1,,,0,,0,,,17,3.529,,,True,,,False,False,,,1,,,False,,19,JARVIS H,,,
,0.5882,,,0.3529,,,0.0588,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-404-700,14,,,4,,,1,,,0,,0,,,19,3.684,,,False,,,False,False,,,1,,,False,,20,JARVIS H,,,
,0.7368,,,0.2105,,,0.0526,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,24,,,10,,,2,,,0,,0,,,36,3.611,,,True,,,False,False,,,2,,,False,,39,,,,
,0.6667,,,0.2778,,,0.0556,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-501,10,,,2,,,0,,,0,,0,,,12,3.833,,,False,,,False,False,,,1,,,False,,13,RUTHERFORD,True,,
,0.8333,,,0.1667,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-502,10,,,1,,,2,,,0,,0,,,13,3.615,,,False,,,False,False,,,0,,,False,,13,RUTHERFORD,True,,
,0.7692,,,0.0769,,,0.1538,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,,3,,,2,,,0,,0,,,25,3.72,,,False,,,False,False,,,1,,,False,,26,,,,
,0.8,,,0.12,,,0.08,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-407-599,18,,,1,,,1,,,0,,0,,,20,3.85,,,False,,,False,False,,,0,,,False,,20,MISZTAL M,,,
,0.9,,,0.05,,,0.05,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-407-700,16,,,1,,,2,,,0,,0,,,19,3.736,,,False,,,False,False,,,0,,,False,,19,MISZTAL M,,,
,0.8421,,,0.0526,,,0.1053,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,34,,,2,,,3,,,0,,0,,,39,3.794,,,False,,,False,False,,,0,,,False,,39,,,,
,0.8718,,,0.0513,,,0.0769,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-409-500,11,,,0,,,0,,,0,,0,,,11,4.0,,,False,,,False,False,,,0,,,False,,11,ZENT R,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,,0,,,0,,,0,,0,,,11,4.0,,,False,,,False,False,,,0,,,False,,11,,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
