SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn
ALEC-617-701,,,19,,,3,,,0,,0,,,0,,22,,,3.863,,False,,,False,,False,,0,,,False,,22,,,STRONG J,,,
,,,0.8636,,,0.1364,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,19,,,3,,,0,,0,,,0,,22,,,3.863,,False,,,False,,False,,0,,,False,,22,,,,,,
,,,0.8636,,,0.1364,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DIXON S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-202-199,,31,,,2,,,1,,,0,,,0,,34,,3.882,,,False,,,False,,False,,1,,,False,,,35,,,,,
,,0.9118,,,0.0588,,,0.0294,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,31,,,2,,,1,,,0,,,0,,34,,3.882,,,False,,,False,,False,,1,,,False,,,35,,,,,
,,0.9118,,,0.0588,,,0.0294,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-301-700,,19,,,4,,,4,,,1,,,1,,29,,3.344,,,False,,,False,,False,,0,,,False,,,29,,,,,
,,0.6552,,,0.1379,,,0.1379,,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,,4,,,4,,,1,,,1,,29,,3.344,,,False,,,False,,False,,0,,,False,,,29,,,,,
,,0.6552,,,0.1379,,,0.1379,,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-340-700,,4,,,13,,,3,,,0,,,0,,20,,3.05,,,False,,,False,,False,,0,,,False,,,20,,,,,
,,0.2,,,0.65,,,0.15,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-340-931,,5,,,13,,,6,,,0,,,0,,24,,2.958,,,False,,,False,,False,,1,,,False,,,25,,,,,
,,0.2083,,,0.5417,,,0.25,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,,26,,,9,,,0,,,0,,44,,3.0,,,False,,,False,,False,,1,,,False,,,45,,,,,
,,0.2045,,,0.5909,,,0.2045,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-344-700,,16,,,4,,,1,,,0,,,1,,22,,3.545,,,False,,,False,,False,,1,,,False,,,23,,,,,
,,0.7273,,,0.1818,,,0.0455,,,0.0,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,,4,,,1,,,0,,,1,,22,,3.545,,,False,,,False,,False,,1,,,False,,,23,,,,,
,,0.7273,,,0.1818,,,0.0455,,,0.0,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-422-700,,21,,,6,,,0,,,1,,,1,,29,,3.551,,,False,,,False,,False,,0,,,False,,,29,,,,,
,,0.7241,,,0.2069,,,0.0,,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,,6,,,0,,,1,,,1,,29,,3.551,,,False,,,False,,False,,0,,,False,,,29,,,,,
,,0.7241,,,0.2069,,,0.0,,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-424-700,,17,,,10,,,7,,,0,,,0,,34,,3.294,,,False,,,False,,False,,1,,,False,,,35,,,,,
,,0.5,,,0.2941,,,0.2059,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ODOM S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOORE L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKETT L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELBERT C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOYD B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,,10,,,7,,,0,,,0,,34,,3.294,,,False,,,False,,False,,1,,,False,,,35,,,,,
,,0.5,,,0.2941,,,0.2059,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-440-701,,3,,,7,,,4,,,0,,,2,,16,,2.562,,,False,,,False,,False,,2,,,False,,,18,,PRESTON T,,,
,,0.1875,,,0.4375,,,0.25,,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,,7,,,4,,,0,,,2,,16,,2.562,,,False,,,False,,False,,2,,,False,,,18,,,,,
,,0.1875,,,0.4375,,,0.25,,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-481-299,,11,,,9,,,12,,,0,,,2,,34,,2.794,,,False,,,False,,False,,0,,,False,,,34,,STRONG J,,,
,,0.3235,,,0.2647,,,0.3529,,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,9,,,12,,,0,,,2,,34,,2.794,,,False,,,False,,False,,0,,,False,,,34,,,,,
,,0.3235,,,0.2647,,,0.3529,,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-494-350,,16,,,0,,,0,,,0,,,0,,16,,4.0,,,False,,,False,,False,,0,,,False,,,16,,CUMMINGS S,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,,0,,,0,,,0,,,0,,16,,4.0,,,False,,,False,,False,,0,,,False,,,16,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
