SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
AGCJ-314-900,,7,,,1,,,1,,1,,0,,,10,,3.4,,False,,,False,,False,,,False,,False,,10,WALTHER D,,
,,0.7,,,0.1,,,0.1,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,1,,,1,,1,,0,,,10,,3.4,,False,,,False,,False,,,False,,False,,10,,,
,,0.7,,,0.1,,,0.1,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,
AGCJ-409-100,,11,,,0,,,0,,0,,0,,,11,,4.0,,False,,,False,,False,,,False,,False,,11,ZENT R,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,0,,,0,,0,,0,,,11,,4.0,,False,,,False,,False,,,False,,False,,11,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
AGCJ-489-100,9,,,0,,,0,,,0,,0,,,9,4.0,,,False,,,False,False,,,False,,,False,,9,RUTHERFORD,T,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,0,,,0,,,0,,0,,,9,4.0,,,False,,,False,False,,,False,,,False,,9,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
AGCJ-491-320,7,,,0,,,0,,,0,,0,,,7,4.0,,,False,,,False,False,,,False,,,False,,7,MCKIM B,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,0,,,0,,,0,,0,,,7,4.0,,,False,,,False,False,,,False,,,False,,7,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
AGCJ-494-356,15,,,1,,,1,,,0,,0,,,17,3.853,,,False,,,False,False,,,False,,,False,,17,DUNSFORD D,,
,0.8824,,,0.0588,,,0.0588,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,1,,,1,,,0,,0,,,17,3.853,,,False,,,False,False,,,False,,,False,,17,,,
,0.8824,,,0.0588,,,0.0588,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
AGSC-489-500,6,,,2,,,0,,,0,,0,,,8,3.75,,,False,,,False,False,,,False,,,False,,8,HANCOCK J,,
,0.75,,,0.25,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,2,,,0,,,0,,0,,,8,3.75,,,False,,,False,False,,,False,,,False,,8,,,
,0.75,,,0.25,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ALEC-494-151,5,,,0,,,0,,,0,,0,,,5,4.0,,,False,,,False,False,,,False,,,False,,5,RUTHERFORD,T,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ALEC-494-350,8,,,0,,,0,,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,8,DROMGOOLE D,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,0,,,0,,,0,,0,,,13,4.0,,,False,,,False,False,,,False,,,False,,13,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ALEC-617-700,12,,,5,,,2,,,0,,0,,,19,3.526,,,False,,,False,False,,,True,,,False,,20,STRONG J,,
,0.6316,,,0.2632,,,0.1053,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,5,,,2,,,0,,0,,,19,3.526,,,False,,,False,False,,,True,,,False,,20,,,
,0.6316,,,0.2632,,,0.1053,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ALED-202-199,18,,,9,,,6,,,1,,2,,,36,3.111,,,False,,,False,False,,,True,,,False,,37,MOORE L,,
,0.5,,,0.25,,,0.1667,,,0.0278,,0.0556,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,9,,,6,,,1,,2,,,36,3.111,,,False,,,False,False,,,True,,,False,,37,,,
,0.5,,,0.25,,,0.1667,,,0.0278,,0.0556,,,,,,,,,,,,,,,,,,,,,,
ALED-301-200,6,,,4,,,1,,,0,,1,,,12,3.166,,,False,,,False,False,,,False,,,False,,12,WALTER G,,
,0.5,,,0.3333,,,0.0833,,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,
ALED-301-299,12,,,11,,,3,,,1,,0,,,27,3.259,,,False,,,False,False,,,False,,,False,,27,ODOM S,,
,0.4444,,,0.4074,,,0.1111,,,0.037,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,15,,,4,,,1,,1,,,39,3.23,,,False,,,False,False,,,False,,,False,,39,,,
,0.4615,,,0.3846,,,0.1026,,,0.0256,,0.0256,,,,,,,,,,,,,,,,,,,,,,
ALED-340-950,11,,,0,,,0,,,0,,0,,,11,4.0,,,False,,,False,False,,,False,,,False,,11,PRESTON T,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ALED-340-999,12,,,20,,,5,,,1,,1,,,39,3.051,,,False,,,False,False,,,False,,,False,,39,STRONG J,,
,0.3077,,,0.5128,,,0.1282,,,0.0256,,0.0256,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,23,,,20,,,5,,,1,,1,,,50,3.26,,,False,,,False,False,,,False,,,False,,50,,,
,0.46,,,0.4,,,0.1,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,
ALED-344-700,16,,,3,,,0,,,0,,1,,,20,3.65,,,False,,,False,False,,,False,,,False,,20,LOCKETT L,,
,0.8,,,0.15,,,0.0,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,16,,,3,,,0,,,0,,1,,,20,3.65,,,False,,,False,False,,,False,,,False,,20,,,
,0.8,,,0.15,,,0.0,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,
ALED-422-250,20,,,0,,,0,,,0,,0,,,20,4.0,,,False,,,False,False,,,False,,,False,,20,WINGENBACH,G,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
