SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
,,0.5,,0.4,,0.0,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-903,,11,,2,,0,,0,,,0,,,13,,,3.846,,0,,,,False,,,False,,,0,,0,,13,,WALTHER D,,
,,0.8462,,0.1538,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,22,,1,,1,,,1,,,57,,,3.456,,0,,,,False,,,False,,,0,,0,,57,,,,
,,0.5614,,0.386,,0.0175,,0.0175,,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-901,,13,,8,,2,,0,,,0,,,23,,,3.478,,0,,,,False,,,False,,,0,,0,,23,,REDWINE T,,
,,0.5652,,0.3478,,0.087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-902,,11,,7,,4,,0,,,1,,,23,,,3.173,,0,,,,False,,,False,,,0,,0,,23,,REDWINE T,,
,,0.4783,,0.3043,,0.1739,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,15,,6,,0,,,1,,,46,,,3.326,,0,,,,False,,,False,,,0,,0,,46,,,,
,,0.5217,,0.3261,,0.1304,,0.0,,,0.0217,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-366-501,,9,,2,,0,,0,,,1,,,12,,,3.5,,0,,,,False,,,False,,,1,,0,,13,,MCKIM B,,
,,0.75,,0.1667,,0.0,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-366-502,,5,,1,,0,,1,,,0,,,7,,,3.428,,0,,,,False,,,False,,,1,,0,,8,,MCKIM B,,
,,0.7143,,0.1429,,0.0,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,3,,0,,1,,,1,,,19,,,3.473,,0,,,,False,,,False,,,2,,0,,21,,,,
,,0.7368,,0.1579,,0.0,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
AGCJ-405-501,,9,,1,,1,,0,,,0,,11,,,,3.727,,0,,,0,,,0,,,1,,,0,,12,,,ROUSE L,
,,0.8182,,0.0909,,0.0909,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-502,,8,,3,,0,,0,,,0,,11,,,,3.727,,0,,,0,,,0,,,0,,,0,,11,,,ROUSE L,
,,0.7273,,0.2727,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,4,,1,,0,,,0,,22,,,,3.727,,0,,,0,,,0,,,1,,,0,,23,,,,
,,0.7727,,0.1818,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-409-500,,6,,0,,0,,0,,,0,,6,,,,4.0,,0,,,0,,,0,,,0,,,1,,7,,,ZENT R,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,0,,,0,,6,,,,4.0,,0,,,0,,,0,,,0,,,1,,7,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-411-500,,17,,4,,3,,0,,,0,,24,,,,3.583,,0,,,0,,,0,,,0,,,0,,24,,,MCKIM B,
,,0.7083,,0.1667,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,4,,3,,0,,,0,,24,,,,3.583,,0,,,0,,,0,,,0,,,0,,24,,,,
,,0.7083,,0.1667,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-500,,21,,7,,4,,4,,,0,,36,,,,3.25,,0,,,0,,,0,,,0,,,0,,36,,,DUNSFORD D,
,,0.5833,,0.1944,,0.1111,,0.1111,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-520,,2,,4,,0,,0,,,0,,6,,,,3.333,,0,,,0,,,0,,,0,,,0,,6,,,MCKIM B,
,,0.3333,,0.6667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,11,,4,,4,,,0,,42,,,,3.261,,0,,,0,,,0,,,0,,,0,,42,,,,
,,0.5476,,0.2619,,0.0952,,0.0952,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-489-501,,15,,3,,0,,0,,,0,,18,,,,3.833,,0,,,0,,,0,,,0,,,0,,18,,,WALTHER D,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-489-502,,19,,5,,1,,0,,,0,,25,,,,3.72,,1,,,0,,,0,,,0,,,0,,26,,,COSTELLO L,
,,0.76,,0.2,,0.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
