SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
COURSE TOTAL:,,7,,,7,,,0,,0,,0,,,14,,3.5,,False,,,False,,False,,,0,,False,,14,,,
,,0.5,,,0.5,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-457-500,7,,,10,,,4,,,3,,0,,,24,2.875,,,False,,,False,False,,,1,,,False,,25,ABDEL-WAHAB,A,
,0.2917,,,0.4167,,,0.1667,,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,10,,,4,,,3,,0,,,24,2.875,,,False,,,False,False,,,1,,,False,,25,,,
,0.2917,,,0.4167,,,0.1667,,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-461-500,9,,,4,,,5,,,1,,0,,,19,3.105,,,False,,,False,False,,,1,,,False,,20,NOUNOU M,,
,0.4737,,,0.2105,,,0.2632,,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,4,,,5,,,1,,0,,,19,3.105,,,False,,,False,False,,,1,,,False,,20,,,
,0.4737,,,0.2105,,,0.2632,,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-476-500,4,,,3,,,1,,,0,,0,,,8,3.375,,,False,,,False,False,,,0,,,False,,8,BUKUR D,,
,0.5,,,0.375,,,0.125,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,,3,,,1,,,0,,0,,,8,3.375,,,False,,,False,False,,,0,,,False,,8,,,
,0.5,,,0.375,,,0.125,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-624-600,14,,,3,,,4,,,0,,0,,,21,3.476,,,False,,,False,False,,,0,,,False,,21,ELBASHIR N,,
,0.6667,,,0.1429,,,0.1905,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,3,,,4,,,0,,0,,,21,3.476,,,False,,,False,False,,,0,,,False,,21,,,
,0.6667,,,0.1429,,,0.1905,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-629-600,7,,,5,,,6,,,0,,0,,,18,3.055,,,False,,,False,False,,,1,,,False,,19,ECONOMOU I,,
,0.3889,,,0.2778,,,0.3333,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,5,,,6,,,0,,0,,,18,3.055,,,False,,,False,False,,,1,,,False,,19,,,
,0.3889,,,0.2778,,,0.3333,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-655-600,11,,,5,,,0,,,0,,0,,,16,3.687,,,False,,,False,False,,,1,,,False,,17,VECHOT L,,
,0.6875,,,0.3125,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,,5,,,0,,,0,,0,,,16,3.687,,,False,,,False,False,,,1,,,False,,17,,,
,0.6875,,,0.3125,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,89,,,65,,,29,,,4,,1,,,1883.248,,,,False,,,False,False,,,6,,,False,,194,,,
,0.4734,,,0.3457,,,0.1543,,,0.0213,,0.0053,,,,,,,,,,,,,,,,,,,,,,
