SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
CHEN-354-500,,5,,13,,4,,0,,,0,,22,,,,3.045,,0,,,0,,,0,,,False,,,0,,22,,,ABDEL-WAHAB A,
,,0.2273,,0.5909,,0.1818,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,13,,4,,0,,,0,,22,,,,3.045,,0,,,0,,,0,,,False,,,0,,22,,,,
,,0.2273,,0.5909,,0.1818,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-364-500,,5,,7,,3,,1,,,0,,16,,,,3.0,,0,,,0,,,0,,,False,,,0,,16,,,AL-RAWASHDEH M,
,,0.3125,,0.4375,,0.1875,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,7,,3,,1,,,0,,16,,,,3.0,,0,,,0,,,0,,,False,,,0,,16,,,,
,,0.3125,,0.4375,,0.1875,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
CHEN-425-500,,1,,10,,1,,2,,,0,,,14,,,2.714,,2,,,,False,,,False,,,False,,0,,16,,LINKE P,,
,,0.0714,,0.7143,,0.0714,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,10,,1,,2,,,0,,,14,,,2.714,,2,,,,False,,,False,,,False,,0,,16,,,,
,,0.0714,,0.7143,,0.0714,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-432-500,,9,,6,,1,,0,,,0,,,16,,,3.5,,0,,,,False,,,False,,,False,,0,,16,,SALAMA G,,
,,0.5625,,0.375,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,6,,1,,0,,,0,,,16,,,3.5,,0,,,,False,,,False,,,False,,0,,16,,,,
,,0.5625,,0.375,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-455-500,,9,,13,,3,,0,,,0,,,25,,,3.24,,0,,,,False,,,False,,,False,,0,,25,,VECHOT L,,
,,0.36,,0.52,,0.12,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,13,,3,,0,,,0,,,25,,,3.24,,0,,,,False,,,False,,,False,,0,,25,,,,
,,0.36,,0.52,,0.12,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-481-500,,13,,2,,1,,0,,,0,,,16,,,3.75,,0,,,,False,,,False,,,False,,0,,16,,VECHOT L,,
,,0.8125,,0.125,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,2,,1,,0,,,0,,,16,,,3.75,,0,,,,False,,,False,,,False,,0,,16,,,,
,,0.8125,,0.125,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-601-600,,15,,1,,0,,0,,,0,,,16,,,3.937,,0,,,,False,,,False,,,False,,0,,16,,VECHOT L,,
,,0.9375,,0.0625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,1,,0,,0,,,0,,,16,,,3.937,,0,,,,False,,,False,,,False,,0,,16,,,,
,,0.9375,,0.0625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-604-600,,9,,4,,2,,0,,,0,,,15,,,3.466,,0,,,,False,,,False,,,False,,0,,15,,NOUNOU M,,
,,0.6,,0.2667,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,4,,2,,0,,,0,,,15,,,3.466,,0,,,,False,,,False,,,False,,0,,15,,,,
,,0.6,,0.2667,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
CHEN-641-600,,3,,3,,0,,0,,,0,,,6,,,3.5,,0,,,,False,,,False,,,False,,0,,6,,ABDALLA A,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,3,,0,,0,,,0,,,6,,,3.5,,0,,,,False,,,False,,,False,,0,,6,,,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-689-600,,8,,0,,0,,0,,,0,,,8,,,4.0,,0,,,,False,,,False,,,False,,0,,8,,MARKATOS N,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,0,,0,,,0,,,8,,,4.0,,0,,,,False,,,False,,,False,,0,,8,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,99,,98,,32,,8,,,2,,,239,,,3.114,,2,,,,False,,,False,,,False,,0,,241,,,,
,,0.4142,,0.41,,0.1339,,0.0335,,,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,
