SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii,jj
GEOG-676-775,13,,,0,,,0,,0,,,0,,,13,4.0,,,False,,,False,False,,,0,,,0,,13,,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,0,,,0,,0,,,0,,,13,4.0,,,False,,,False,False,,,0,,,0,,13,,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-678-775,13,,,1,,,0,,0,,,0,,,14,3.928,,,False,,,False,False,,,0,,,2,,16,,,,
,0.9286,,,0.0714,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,1,,,0,,0,,,0,,,14,3.928,,,False,,,False,False,,,0,,,2,,16,,,,
,0.9286,,,0.0714,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GOLDBERG D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
