ATMO-201-501,b,31,d,e,26,g,22,i,3,k,l,0,n,o,82,q,3.036,s,t,1,v,w,x,0_2,z,aa,0_3,cc,dd,6,ff,gg,hh,0_4,jj,kk,89,mm,CONLEE D,oo,pp,qq
ATMO-202-502,,21,,,2,,0,,0,,,0,,,23,,3.913,,,0,,,,False,,,False,,,0,,,,False,,,23,,LOGAN T,,,
,,0.913,,,0.087,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,16,,,3,,1,,0,,,0,,,20,,3.75,,,0,,,,False,,,False,,,2,,,,False,,,22,,LOGAN T,,,
,,0.8,,,0.15,,0.05,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-505,,18,,,5,,0,,0,,,1,,,24,,3.625,,,0,,,,False,,,False,,,0,,,,False,,,24,,LOGAN T,,,
,,0.75,,,0.2083,,0.0,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-508,,14,,,7,,0,,0,,,0,,,21,,3.666,,,0,,,,False,,,False,,,1,,,,False,,,22,,LOGAN T,,,
,,0.6667,,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,84,,,22,,4,,0,,,1,,,111,,3.693,,,0,,,,False,,,False,,,3,,,,False,,,114,,,,,
,,0.7568,,,0.1982,,0.036,,0.0,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-501,,8,,,7,,3,,0,,,0,,,18,,3.277,,,0,,,,False,,,False,,,0,,,,False,,,18,,CONLEE D,,,
,,0.4444,,,0.3889,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,,10,,,7,,2,,0,,,0,,,19,,3.421,,,0,,,,False,,,False,,,0,,,,False,,,19,,CONLEE D,,,
,,0.5263,,,0.3684,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,14,,5,,0,,,0,,,37,,3.351,,,0,,,,False,,,False,,,0,,,,False,,,37,,,,,
,,0.4865,,,0.3784,,0.1351,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,11,,,6,,3,,0,,,0,,,20,,3.4,,,0,,,,False,,,False,,,1,,,,False,,,21,,XU Y,,,
,,0.55,,,0.3,,0.15,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,6,,3,,0,,,0,,,20,,3.4,,,0,,,,False,,,False,,,1,,,,False,,,21,,,,,
,,0.55,,,0.3,,0.15,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-501,,9,,,2,,2,,1,,,2,,,16,,2.937,,,0,,,,False,,,False,,,0,,,,False,,,16,,NIELSEN-GAMMON,J,,
,,0.5625,,,0.125,,0.125,,0.0625,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-502,,7,,,3,,0,,0,,,0,,,10,,3.7,,,0,,,,False,,,False,,,0,,,,False,,,10,,NIELSEN-GAMMON,J,,
,,0.7,,,0.3,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,,5,,2,,1,,,2,,,26,,3.23,,,0,,,,False,,,False,,,0,,,,False,,,26,,,,,
,,0.6154,,,0.1923,,0.0769,,0.0385,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-501,,14,,,3,,2,,0,,,0,,,19,,3.631,,,0,,,,False,,,False,,,0,,,,False,,,19,,EPIFANIO C,,,
,,0.7368,,,0.1579,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-502,,2,,,9,,0,,0,,,0,,,11,,3.181,,,0,,,,False,,,False,,,0,,,,False,,,11,,EPIFANIO C,,,
,,0.1818,,,0.8182,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,,12,,2,,0,,,0,,,30,,3.466,,,0,,,,False,,,False,,,0,,,,False,,,30,,,,,
,,0.5333,,,0.4,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,
ATMO-435-501,,,11,,11,,5,,2,,,0,,29,,,3.068,,False,,,,False,,,False,,,False,,,,False,,,29,,,KORTY R,,,
,,,0.3793,,0.3793,,0.1724,,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,11,,11,,5,,2,,,0,,29,,,3.068,,False,,,,False,,,False,,,False,,,,False,,,29,,,,,,
,,,0.3793,,0.3793,,0.1724,,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-441-501,,,3,,5,,2,,0,,,1,,11,,,2.818,,False,,,,False,,,False,,,True,,,,False,,,12,,,BOWMAN K,,,
,,,0.2727,,0.4545,,0.1818,,0.0,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,3,,5,,2,,0,,,1,,11,,,2.818,,False,,,,False,,,False,,,True,,,,False,,,12,,,,,,
,,,0.2727,,0.4545,,0.1818,,0.0,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-455-500,,,9,,3,,0,,0,,,0,,12,,,3.75,,True,,,,False,,,False,,,False,,,,False,,,13,,,SZUNYOGH I,,,
,,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,9,,3,,0,,0,,,0,,12,,,3.75,,True,,,,False,,,False,,,False,,,,False,,,13,,,,,,
,,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-456-900,,,13,,6,,0,,1,,,0,,20,,,3.55,,False,,,,False,,,False,,,False,,,,False,,,20,,,CONLEE D,,,
,,,0.65,,0.3,,0.0,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,13,,6,,0,,1,,,0,,20,,,3.55,,False,,,,False,,,False,,,False,,,,False,,,20,,,,,,
,,,0.65,,0.3,,0.0,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-461-501,,,12,,0,,0,,0,,,0,,12,,,4.0,,False,,,,False,,,False,,,False,,,,False,,,12,,,WINKLEY S,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,12,,0,,0,,0,,,0,,12,,,4.0,,False,,,,False,,,False,,,False,,,,False,,,12,,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-463-500,,,2,,3,,1,,0,,,0,,6,,,3.166,,False,,,,False,,,False,,,False,,,,False,,,6,,,COLLINS D,,,
,,,0.3333,,0.5,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-463-900,,,3,,3,,1,,1,,,0,,8,,,3.0,,False,,,,False,,,False,,,False,,,,False,,,8,,,COLLINS D,,,
,,,0.375,,0.375,,0.125,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
