SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,p,GPR,r,I,t,u,S,w,x,U,z,aa,Q,cc,dd,X,ff,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm,nn
ATMO-324-501            8,,,6,,2,,0,,1,,17,,,,3.176,,1,,,0,,,0,,,0,,,0,,,18,,NIELSEN-GAMMON,,,,,J
0.4706,,,0.3529,,0.1176,,0.0,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-324-502           12,,,7,,0,,0,,1,,20,,,,3.45,,0,,,0,,,0,,,0,,,0,,,20,,NIELSEN-GAMMON,,,,,J
0.6,,,0.35,,0.0,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      20,,,13,,2,,0,,2,,37,,,,3.324,,1,,,0,,,0,,,0,,,0,,,38,,,,,,,
0.5405,,,0.3514,,0.0541,,0.0,,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-352-501            6,,,6,,1,,1,,1,,15,,,,3.0,,0,,,0,,,0,,,0,,,0,,,15,,NOWOTARSKI C,,,,,
0.4,,,0.4,,0.0667,,0.0667,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,,-,False,GPR,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,INSTRUCTOR,,,,,
ATMO-352-502,,3,,6,,4,,1,,0,,14,,,,2.786,,0,,,0,,,0,,,0,,,0,,,14,,NOWOTARSKI,,,C,
,,0.2143,,0.4286,,0.2857,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       9,,,12,,5,,2,,1,,29,,,,2.897,,0,,,0,,,0,,,0,,,0,,,29,,,,,,,
0.3103,,,0.4138,,0.1724,,0.069,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-435-501            7,,,11,,4,,0,,0,,22,,,,3.136,,1,,,0,,,0,,,0,,,0,,,23,,EPIFANIO,,,C,,
0.3182,,,0.5,,0.1818,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       7,,,11,,4,,0,,0,,22,,,,3.136,,1,,,0,,,0,,,0,,,0,,,23,,,,,,,
0.3182,,,0.5,,0.1818,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-441-501            3,,,6,,3,,0,,0,,12,,,,3.0,,0,,,0,,,0,,,0,,,0,,,12,,RAPP A,,,,,
0.25,,,0.5,,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       3,,,6,,3,,0,,0,,12,,,,3.0,,0,,,0,,,0,,,0,,,0,,,12,,,,,,,
0.25,,,0.5,,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-455-500            5,,,5,,1,,0,,0,,11,,,,3.364,,0,,,0,,,0,,,1,,,0,,,12,,SZUNYOGH,,,I,,
0.4545,,,0.4545,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       5,,,5,,1,,0,,0,,11,,,,3.364,,0,,,0,,,0,,,1,,,0,,,12,,,,,,,
0.4545,,,0.4545,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-456-900            8,,,10,,1,,0,,0,,19,,,,3.368,,0,,,0,,,0,,,0,,,0,,,19,,CONLEE D,,,,,
0.4211,,,0.5263,,0.0526,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       8,,,10,,1,,0,,0,,19,,,,3.368,,0,,,0,,,0,,,0,,,0,,,19,,,,,,,
0.4211,,,0.5263,,0.0526,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-461-501,,10,0,,0,,0,,0,,10,,,,4.0,,0,,,0,,,0,,,1,,,0,,,11,,WINKLEY S,,,,,
,,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,0,,0,,0,,0,,10,,,,4.0,,0,,,0,,,0,,,1,,,0,,,11,,,,,,,
,,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
