SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,kk,INSTRUCTOR,mm
CHEM-117-407,,1,,7,,4,,3,,,3,,,18,,,2.0,,0,,,,False,,,False,1,,,,,False,,19,,,TOWNSEND G,
,,0.0556,,0.3889,,0.2222,,0.1667,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-408,,3,,5,,3,,3,,,1,,,15,,,2.4,,0,,,,False,,,False,0,,,,,False,,15,,,TOWNSEND G,
,,0.2,,0.3333,,0.2,,0.2,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-409,,4,,13,,2,,0,,,0,,,19,,,3.105,,0,,,,False,,,False,1,,,,,False,,20,,,TOWNSEND G,
,,0.2105,,0.6842,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-410,,1,,10,,4,,0,,,1,,,16,,,2.625,,0,,,,False,,,False,0,,,,,False,,16,,,TOWNSEND G,
,,0.0625,,0.625,,0.25,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
CHEM-117-412,,9,,4,,3,,0,,,0,,,16,,,3.375,,0,,,,False,,,False,,,0,,0,,,16,,TOWNSEND G,,
,,0.5625,,0.25,,0.1875,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-421,,3,,11,,4,,1,,,0,,,19,,,2.842,,0,,,,False,,,False,,,0,,0,,,19,,TOWNSEND G,,
,,0.1579,,0.5789,,0.2105,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-428,,14,,5,,0,,0,,,0,,,19,,,3.736,,0,,,,False,,,False,,,0,,0,,,19,,TOWNSEND G,,
,,0.7368,,0.2632,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,50,,99,,28,,11,,,8,,,196,,,2.877,,0,,,,False,,,False,,,3,,0,,,199,,,,
,,0.2551,,0.5051,,0.1429,,0.0561,,,0.0408,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-200,,2,,4,,1,,1,,,0,,,8,,,2.875,,0,,,,False,,,False,,,0,,0,,,8,,GALAN J,,
,,0.25,,0.5,,0.125,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-401,,4,,4,,5,,2,,,1,,,16,,,2.5,,0,,,,False,,,False,,,3,,0,,,19,,ARONSON C,,
,,0.25,,0.25,,0.3125,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-402,,4,,5,,6,,4,,,1,,,20,,,2.35,,0,,,,False,,,False,,,0,,0,,,20,,ARONSON C,,
,,0.2,,0.25,,0.3,,0.2,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-403,,2,,5,,5,,4,,,3,,,19,,,1.947,,0,,,,False,,,False,,,2,,0,,,21,,ARONSON C,,
,,0.1053,,0.2632,,0.2632,,0.2105,,,0.1579,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-404,,3,,2,,9,,6,,,0,,,20,,,2.1,,0,,,,False,,,False,,,1,,0,,,21,,ARONSON C,,
,,0.15,,0.1,,0.45,,0.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-405,,4,,3,,6,,5,,,1,,,19,,,2.21,,0,,,,False,,,False,,,2,,0,,,21,,TOWNSEND G,,
,,0.2105,,0.1579,,0.3158,,0.2632,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-406,,2,,6,,4,,9,,,1,,,22,,,1.954,,0,,,,False,,,False,,,0,,0,,,22,,TOWNSEND G,,
,,0.0909,,0.2727,,0.1818,,0.4091,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-407,,2,,4,,8,,3,,,2,,,19,,,2.052,,0,,,,False,,,False,,,2,,0,,,21,,TOWNSEND G,,
,,0.1053,,0.2105,,0.4211,,0.1579,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-408,,3,,5,,6,,4,,,1,,,19,,,2.263,,0,,,,False,,,False,,,1,,0,,,20,,TOWNSEND G,,
,,0.1579,,0.2632,,0.3158,,0.2105,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,
CHEM-119-410,,1,,3,,6,,4,,,3,,17,,,,1.705,,0,,,0,,,0,,,1,,,0,,,18,,,ARONSON C,
,,0.0588,,0.1765,,0.3529,,0.2353,,,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-411,,3,,3,,8,,1,,,4,,19,,,,2.0,,0,,,0,,,0,,,1,,,0,,,20,,,ARONSON C,
,,0.1579,,0.1579,,0.4211,,0.0526,,,0.2105,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,44,,64,,43,,,17,,198,,,,2.136,,0,,,0,,,0,,,13,,,0,,,211,,,,
,,0.1515,,0.2222,,0.3232,,0.2172,,,0.0859,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-120-401,,0,,5,,4,,3,,,1,,13,,,,2.0,,0,,,0,,,0,,,0,,,0,,,13,,,GALAN J,
,,0.0,,0.3846,,0.3077,,0.2308,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-120-402,,2,,2,,5,,2,,,1,,12,,,,2.166,,0,,,0,,,0,,,1,,,0,,,13,,,GALAN J,
,,0.1667,,0.1667,,0.4167,,0.1667,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-120-403,,3,,2,,7,,1,,,1,,14,,,,2.357,,0,,,0,,,0,,,1,,,0,,,15,,,GALAN J,
,,0.2143,,0.1429,,0.5,,0.0714,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,9,,16,,6,,,3,,39,,,,2.179,,0,,,0,,,0,,,2,,,0,,,41,,,,
,,0.1282,,0.2308,,0.4103,,0.1538,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-227-401,,7,,17,,18,,5,,,1,,48,,,,2.5,,0,,,0,,,0,,,1,,,0,,,49,,,MOSER M,
,,0.1458,,0.3542,,0.375,,0.1042,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-227-402,,8,,9,,9,,7,,,5,,38,,,,2.21,,0,,,0,,,0,,,2,,,0,,,40,,,ULLOA O,
,,0.2105,,0.2368,,0.2368,,0.1842,,,0.1316,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,26,,27,,12,,,6,,86,,,,2.372,,0,,,0,,,0,,,3,,,0,,,89,,,,
,,0.1744,,0.3023,,0.314,,0.1395,,,0.0698,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-228-401,,2,,4,,8,,1,,,1,,16,,,,2.312,,0,,,0,,,0,,,0,,,0,,,16,,,ULLOA O,
,,0.125,,0.25,,0.5,,0.0625,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,4,,8,,1,,,1,,16,,,,2.312,,0,,,0,,,0,,,0,,,0,,,16,,,,
,,0.125,,0.25,,0.5,,0.0625,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
