SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn
,,0.2857,,0.1786,,0.3214,,0.2143,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,5,,9,,6,,,0,,,28,,,2.535,,0,,,,False,,,False,,,4,,0,,32,,,,,,
,,0.2857,,0.1786,,0.3214,,0.2143,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS-202-200,,18,,9,,2,,0,,,2,,,31,,,3.322,,0,,,,False,,,False,,,0,,0,,31,,RANTSCHLER J,,,,
,,0.5806,,0.2903,,0.0645,,0.0,,,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,9,,2,,0,,,2,,,31,,,3.322,,0,,,,False,,,False,,,0,,0,,31,,,,,,
,,0.5806,,0.2903,,0.0645,,0.0,,,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS-206-301,,4,,6,,3,,1,,,1,,,15,,,2.733,,0,,,,False,,,False,,,0,,0,,15,,BOULAHOUACHE,,,C,
,,0.2667,,0.4,,0.2,,0.0667,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,6,,3,,1,,,1,,,15,,,2.733,,0,,,,False,,,False,,,0,,0,,15,,,,,,
,,0.2667,,0.4,,0.2,,0.0667,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,48,,43,,44,,27,,,12,,,174,,,2.519,,0,,,,False,,,False,,,6,,0,,180,,,,,,
,,0.2759,,0.2471,,0.2529,,0.1552,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,,
ANTH-210-700,,7,,6,,1,,0,,,0,,,14,,,3.428,,0,,,,False,,,False,,,0,,0,,14,,FURTH B,,,,
,,0.5,,0.4286,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,6,,1,,0,,,0,,,14,,,3.428,,0,,,,False,,,False,,,0,,0,,14,,,,,,
,,0.5,,0.4286,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-301,,7,,2,,0,,0,,,2,,,11,,,3.09,,0,,,,False,,,False,,,1,,0,,12,,VISER V,,,,
,,0.6364,,0.1818,,0.0,,0.0,,,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,2,,0,,0,,,2,,,11,,,3.09,,0,,,,False,,,False,,,1,,0,,12,,,,,,
,,0.6364,,0.1818,,0.0,,0.0,,,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-100,,12,,1,,0,,0,,,0,,,13,,,3.923,,0,,,,False,,,False,,,0,,0,,13,,PRESSWOOD P,,,,
,,0.9231,,0.0769,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-202,,5,,0,,2,,0,,,0,,,7,,,3.428,,0,,,,False,,,False,,,0,,0,,7,,PRESSWOOD P,,,,
,,0.7143,,0.0,,0.2857,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,1,,2,,0,,,0,,,20,,,3.75,,0,,,,False,,,False,,,0,,0,,20,,,,,,
,,0.85,,0.05,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-397,,20,,0,,0,,0,,,0,,,20,,,4.0,,0,,,,False,,,False,,,2,,0,,22,,PRESSWOOD P,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-398,,13,,1,,3,,0,,,0,,,17,,,3.588,,0,,,,False,,,False,,,0,,0,,17,,GARZA-HORNE,,J,,
,,0.7647,,0.0588,,0.1765,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-498,,10,,6,,1,,2,,,0,,,19,,,3.263,,0,,,,False,,,False,,,0,,0,,19,,GARZA-HORNE,,J,,
,,0.5263,,0.3158,,0.0526,,0.1053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,7,,4,,2,,,0,,,56,,,3.625,,0,,,,False,,,False,,,2,,0,,58,,,,,,
,,0.7679,,0.125,,0.0714,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-251-100,,4,,9,,3,,0,,,1,,,17,,,2.882,,0,,,,False,,,False,,,0,,0,,17,,TRABER D,,,,
,,0.2353,,0.5294,,0.1765,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
