SECTION,b,c,A,e,B,g,C,i,D,k,l,F,n,A_2,- F,q,r,GPA,t,I,v,w,S,y,z,U,bb,Q,dd,ee,ff,X,hh,TOTAL,jj,INSTRUCTOR,ll,mm
COMM-203-108,,,5,,13,,3,,2,,,1,,24,,,,2.791,,0,,,0,,,0,,,1,,,0,,25,,,SPIERS A,
,,,0.2083,,0.5417,,0.125,,0.0833,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-109,,,8,,10,,5,,1,,,0,,24,,,,3.041,,0,,,0,,,0,,,1,,,0,,25,,,YAVARI M,
,,,0.3333,,0.4167,,0.2083,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-110,,,13,,9,,1,,0,,,1,,24,,,,3.375,,0,,,0,,,0,,,0,,,0,,24,,,YORK F,
,,,0.5417,,0.375,,0.0417,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-170,,,15,,4,,1,,1,,,1,,22,,,,3.409,,0,,,0,,,0,,,2,,,0,,24,,,ASCHENBECK S,
,,,0.6818,,0.1818,,0.0455,,0.0455,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-171,,,13,,11,,0,,0,,,1,,25,,,,3.4,,0,,,0,,,0,,,0,,,0,,25,,,BRADLEY N,
,,,0.52,,0.44,,0.0,,0.0,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
