SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,kk,INSTRUCTOR,mm
,,0.5,,0.4,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-401,,4,,8,,0,,2,,,1,,,15,,,2.8,,0,,,,False,,,False,,,2,,0,,,17,,TOWNSEND G,,
,,0.2667,,0.5333,,0.0,,0.1333,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-402,,2,,4,,3,,3,,,2,,,14,,,2.071,,0,,,,False,,,False,,,0,,0,,,14,,TOWNSEND G,,
,,0.1429,,0.2857,,0.2143,,0.2143,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-403,,0,,8,,8,,0,,,0,,,16,,,2.5,,0,,,,False,,,False,,,0,,0,,,16,,TOWNSEND G,,
,,0.0,,0.5,,0.5,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-404,,7,,6,,1,,1,,,1,,,16,,,3.062,,0,,,,False,,,False,,,0,,0,,,16,,TOWNSEND G,,
,,0.4375,,0.375,,0.0625,,0.0625,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-407,,8,,3,,2,,1,,,0,,,14,,,3.285,,0,,,,False,,,False,,,0,,0,,,14,,TOWNSEND G,,
,,0.5714,,0.2143,,0.1429,,0.0714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-408,,4,,8,,0,,2,,,1,,,15,,,2.8,,0,,,,False,,,False,,,0,,0,,,15,,TOWNSEND G,,
,,0.2667,,0.5333,,0.0,,0.1333,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-409,,6,,8,,1,,0,,,0,,,15,,,3.333,,0,,,,False,,,False,,,0,,0,,,15,,TOWNSEND G,,
,,0.4,,0.5333,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-410,,1,,1,,5,,3,,,1,,,11,,,1.818,,0,,,,False,,,False,,,0,,0,,,11,,TOWNSEND G,,
,,0.0909,,0.0909,,0.4545,,0.2727,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-112-411,,4,,4,,4,,0,,,0,,,12,,,3.0,,0,,,,False,,,False,,,0,,0,,,12,,TOWNSEND G,,
,,0.3333,,0.3333,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,54,,25,,12,,,6,,,138,,,2.811,,0,,,,False,,,False,,,2,,0,,,140,,,,
,,0.2971,,0.3913,,0.1812,,0.087,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-116-401,,4,,3,,2,,0,,,0,,,9,,,3.222,,0,,,,False,,,False,,,0,,0,,,9,,TOWNSEND G,,
,,0.4444,,0.3333,,0.2222,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,3,,2,,0,,,0,,,9,,,3.222,,0,,,,False,,,False,,,0,,0,,,9,,,,
,,0.4444,,0.3333,,0.2222,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,
CHEM-117-401,,0,,3,,10,,4,,,3,,20,,,,1.65,,0,,,0,,,0,,,0,,,0,,,20,,,TOWNSEND G,
,,0.0,,0.15,,0.5,,0.2,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-402,,1,,2,,2,,3,,,1,,9,,,,1.888,,0,,,0,,,0,,,0,,,0,,,9,,,TOWNSEND G,
,,0.1111,,0.2222,,0.2222,,0.3333,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-403,,0,,7,,4,,2,,,3,,16,,,,1.937,,0,,,0,,,0,,,1,,,0,,,17,,,TOWNSEND G,
,,0.0,,0.4375,,0.25,,0.125,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,12,,16,,9,,,7,,45,,,,1.8,,0,,,0,,,0,,,1,,,0,,,46,,,,
,,0.0222,,0.2667,,0.3556,,0.2,,,0.1556,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-227-401,,2,,4,,9,,6,,,0,,21,,,,2.095,,0,,,0,,,0,,,3,,,0,,,24,,,ARONSON C,
,,0.0952,,0.1905,,0.4286,,0.2857,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,4,,9,,6,,,0,,21,,,,2.095,,0,,,0,,,0,,,3,,,0,,,24,,,,
,,0.0952,,0.1905,,0.4286,,0.2857,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-228-401,,6,,20,,13,,10,,,5,,54,,,,2.222,,0,,,0,,,0,,,2,,,0,,,56,,,MOSER M,
,,0.1111,,0.3704,,0.2407,,0.1852,,,0.0926,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,20,,13,,10,,,5,,54,,,,2.222,,0,,,0,,,0,,,2,,,0,,,56,,,,
,,0.1111,,0.3704,,0.2407,,0.1852,,,0.0926,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-237-401,,7,,2,,0,,0,,,0,,9,,,,3.777,,0,,,0,,,0,,,0,,,0,,,9,,,PERRIGO J,
,,0.7778,,0.2222,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-237-402,,3,,3,,2,,1,,,0,,9,,,,2.888,,0,,,0,,,0,,,0,,,0,,,9,,,PERRIGO J,
,,0.3333,,0.3333,,0.2222,,0.1111,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,5,,2,,1,,,0,,18,,,,3.333,,0,,,0,,,0,,,0,,,0,,,18,,,,
,,0.5556,,0.2778,,0.1111,,0.0556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-238-402,,8,,3,,3,,1,,,0,,15,,,,3.2,,0,,,0,,,0,,,0,,,0,,,15,,,PERRIGO J,
,,0.5333,,0.2,,0.2,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
