SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,TOTAL,INSTRUCTOR
,,0.4545,,0.3636,,0.1818,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-204,,7,,2,,1,,0,,0,,,10,,3.6,,0,,,False,,False,,1,,0,,11,RYAN K
,,0.7,,0.2,,0.1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-205,,7,,3,,0,,0,,0,,,10,,3.7,,0,,,False,,False,,1,,0,,11,RYAN K
,,0.7,,0.3,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-206,,5,,2,,1,,0,,0,,,8,,3.5,,0,,,False,,False,,1,,0,,9,RYAN K
,,0.625,,0.25,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,7,,9,,5,,2,,0,,,23,,2.913,,0,,,False,,False,,1,,0,,24,RAO A
,,0.3043,,0.3913,,0.2174,,0.087,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,8,,7,,4,,1,,1,,,21,,2.952,,0,,,False,,False,,0,,0,,21,RAO A
,,0.381,,0.3333,,0.1905,,0.0476,,0.0476,,,,,,,,,,,,,,,,,,,
BIOL-111-503,,6,,5,,8,,1,,2,,,22,,2.545,,0,,,False,,False,,0,,0,,22,RAO A
,,0.2727,,0.2273,,0.3636,,0.0455,,0.0909,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,7,,4,,3,,3,,1,,,18,,2.722,,0,,,False,,False,,3,,0,,21,RAO A
,,0.3889,,0.2222,,0.1667,,0.1667,,0.0556,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,6,,5,,6,,0,,2,,,19,,2.684,,0,,,False,,False,,1,,0,,20,RAO A
,,0.3158,,0.2632,,0.3158,,0.0,,0.1053,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,7,,3,,1,,1,,2,,,14,,2.857,,0,,,False,,False,,1,,0,,15,RAO A
,,0.5,,0.2143,,0.0714,,0.0714,,0.1429,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,7,,4,,9,,0,,0,,,20,,2.9,,0,,,False,,False,,1,,0,,21,RAO A
,,0.35,,0.2,,0.45,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR
BIOL-111-508,,9,,4,,9,,1,,0,,,23,,2.913,,0,,,False,,False,,1,,0,,24,RAO A
,,0.3913,,0.1739,,0.3913,,0.0435,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,4,,0,,2,,0,,0,,,6,,3.333,,0,,,False,,False,,0,,0,,6,RAO A
,,0.6667,,0.0,,0.3333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,11,,6,,2,,2,,0,,,21,,3.238,,0,,,False,,False,,2,,0,,23,RAO A
,,0.5238,,0.2857,,0.0952,,0.0952,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,6,,2,,3,,1,,0,,,12,,3.083,,0,,,False,,False,,1,,0,,13,RAO A
,,0.5,,0.1667,,0.25,,0.0833,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,10,,6,,6,,0,,0,,,22,,3.181,,0,,,False,,False,,2,,0,,24,RAO A
,,0.4545,,0.2727,,0.2727,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,12,,5,,7,,0,,1,,,25,,3.08,,0,,,False,,False,,0,,0,,25,HAWKINS A
,,0.48,,0.2,,0.28,,0.0,,0.04,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,9,,10,,4,,1,,0,,,24,,3.125,,0,,,False,,False,,1,,0,,25,HAWKINS A
,,0.375,,0.4167,,0.1667,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,10,,8,,5,,1,,1,,,25,,3.0,,0,,,False,,False,,1,,0,,26,HAWKINS A
,,0.4,,0.32,,0.2,,0.04,,0.04,,,,,,,,,,,,,,,,,,,
BIOL-111-516,,11,,5,,9,,0,,1,,,26,,2.961,,0,,,False,,False,,1,,0,,27,HAWKINS A
,,0.4231,,0.1923,,0.3462,,0.0,,0.0385,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,15,,6,,2,,0,,1,,,24,,3.416,,0,,,False,,False,,1,,0,,25,HAWKINS A
,,0.625,,0.25,,0.0833,,0.0,,0.0417,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,8,,9,,4,,0,,1,,,22,,3.045,,0,,,False,,False,,2,,0,,24,HAWKINS A
,,0.3636,,0.4091,,0.1818,,0.0,,0.0455,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,16,,5,,4,,0,,0,,,25,,3.48,,0,,,False,,False,,1,,0,,26,HAWKINS A
,,0.64,,0.2,,0.16,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,14,,6,,4,,0,,0,,,24,,3.416,,0,,,False,,False,,0,,0,,24,HAWKINS A
,,0.5833,,0.25,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
