SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,INSTRUCTOR,ff,gg
BIOL-111-503,,3,,5,,8,,0,,3,,,19,,2.263,,0,,,False,,False,4,,,,False,,23,,LEBOEUF B,
,,0.1579,,0.2632,,0.4211,,0.0,,0.1579,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,2,,9,,8,,1,,1,,,21,,2.476,,0,,,False,,False,2,,,,False,,23,,LEBOEUF B,
,,0.0952,,0.4286,,0.381,,0.0476,,0.0476,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,4,,3,,6,,2,,2,,,17,,2.294,,0,,,False,,False,6,,,,False,,23,,LEBOEUF B,
,,0.2353,,0.1765,,0.3529,,0.1176,,0.1176,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,6,,6,,6,,2,,0,,,20,,2.8,,0,,,False,,False,3,,,,False,,23,,LEBOEUF B,
,,0.3,,0.3,,0.3,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,6,,7,,6,,0,,1,,,20,,2.85,,0,,,False,,False,4,,,,False,,24,,LEBOEUF B,
,,0.3,,0.35,,0.3,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-508,,7,,6,,6,,0,,2,,,21,,2.761,,0,,,False,,False,,3,,0,,,24,LEBOEUF B,,
,,0.3333,,0.2857,,0.2857,,0.0,,0.0952,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,2,,10,,5,,2,,1,,,20,,2.5,,0,,,False,,False,,3,,0,,,23,LEBOEUF B,,
,,0.1,,0.5,,0.25,,0.1,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,7,,3,,6,,1,,0,,,17,,2.941,,0,,,False,,False,,6,,0,,,23,LEBOEUF B,,
,,0.4118,,0.1765,,0.3529,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,6,,4,,9,,3,,0,,,22,,2.59,,0,,,False,,False,,2,,0,,,24,LEBOEUF B,,
,,0.2727,,0.1818,,0.4091,,0.1364,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,8,,8,,4,,0,,0,,,20,,3.2,,0,,,False,,False,,4,,0,,,24,LEBOEUF B,,
,,0.4,,0.4,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,9,,6,,4,,2,,1,,,22,,2.909,,0,,,False,,False,,2,,0,,,24,KEMP W,,
,,0.4091,,0.2727,,0.1818,,0.0909,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,9,,3,,6,,2,,0,,,20,,2.95,,0,,,False,,False,,3,,0,,,23,KEMP W,,
,,0.45,,0.15,,0.3,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,6,,9,,3,,3,,1,,,22,,2.727,,0,,,False,,False,,2,,0,,,24,KEMP W,,
,,0.2727,,0.4091,,0.1364,,0.1364,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-516,,5,,8,,3,,1,,0,,,17,,3.0,,0,,,False,,False,,6,,0,,,23,KEMP W,,
,,0.2941,,0.4706,,0.1765,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,8,,9,,4,,1,,1,,,23,,2.956,,0,,,False,,False,,1,,0,,,24,KEMP W,,
,,0.3478,,0.3913,,0.1739,,0.0435,,0.0435,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,10,,6,,4,,2,,0,,,22,,3.09,,0,,,False,,False,,1,,0,,,23,KEMP W,,
,,0.4545,,0.2727,,0.1818,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,9,,6,,4,,3,,1,,,23,,2.826,,0,,,False,,False,,1,,0,,,24,KEMP W,,
,,0.3913,,0.2609,,0.1739,,0.1304,,0.0435,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,3,,6,,5,,4,,0,,,18,,2.444,,0,,,False,,False,,4,,0,,,22,KEMP W,,
,,0.1667,,0.3333,,0.2778,,0.2222,,0.0,,,,,,,,,,,,,,,,,,,,,,
