SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
COURSE TOTAL:,,16,,10,,6,,3,,,2,,,37,,,2.945,,0,,,,False,,,False,,,0,,0,,37,,,,
,,0.4324,,0.2703,,0.1622,,0.0811,,,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-301,,7,,6,,9,,0,,,0,,,22,,,2.909,,0,,,,False,,,False,,,2,,0,,24,,COHN W,,
,,0.3182,,0.2727,,0.4091,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-302,,5,,12,,6,,0,,,0,,,23,,,2.956,,0,,,,False,,,False,,,2,,0,,25,,COHN W,,
,,0.2174,,0.5217,,0.2609,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-303,,0,,3,,5,,0,,,1,,,9,,,2.111,,0,,,,False,,,False,,,2,,0,,11,,COHN W,,
,,0.0,,0.3333,,0.5556,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-304,,8,,4,,15,,0,,,0,,,27,,,2.74,,0,,,,False,,,False,,,0,,0,,27,,COHN W,,
,,0.2963,,0.1481,,0.5556,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-305,,3,,12,,10,,1,,,0,,,26,,,2.653,,0,,,,False,,,False,,,0,,0,,26,,COHN W,,
,,0.1154,,0.4615,,0.3846,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-306,,2,,3,,6,,0,,,0,,,11,,,2.636,,0,,,,False,,,False,,,1,,0,,12,,COHN W,,
,,0.1818,,0.2727,,0.5455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
BIOL-319-307,,1,,3,,10,,0,,,1,,15,,,,2.2,,0,,,0,,,0,,,0,,,0,,15,,,COHN W,
,,0.0667,,0.2,,0.6667,,0.0,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,43,,61,,1,,,2,,133,,,,2.676,,0,,,0,,,0,,,7,,,0,,140,,,,
,,0.1955,,0.3233,,0.4586,,0.0075,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-301,,4,,8,,8,,2,,,0,,22,,,,2.636,,1,,,0,,,0,,,2,,,1,,26,,,TAYLOR L,
,,0.1818,,0.3636,,0.3636,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-302,,1,,2,,15,,0,,,2,,20,,,,2.0,,0,,,0,,,0,,,0,,,2,,22,,,TAYLOR L,
,,0.05,,0.1,,0.75,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-303,,1,,2,,3,,0,,,3,,9,,,,1.777,,0,,,0,,,0,,,0,,,0,,9,,,TAYLOR L,
,,0.1111,,0.2222,,0.3333,,0.0,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-304,,1,,7,,10,,3,,,2,,23,,,,2.086,,0,,,0,,,0,,,0,,,5,,28,,,TAYLOR L,
,,0.0435,,0.3043,,0.4348,,0.1304,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-305,,4,,6,,7,,1,,,1,,19,,,,2.578,,0,,,0,,,0,,,0,,,5,,24,,,TAYLOR L,
,,0.2105,,0.3158,,0.3684,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-306,,0,,4,,6,,2,,,1,,13,,,,2.0,,0,,,0,,,0,,,0,,,0,,13,,,TAYLOR L,
,,0.0,,0.3077,,0.4615,,0.1538,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,29,,49,,8,,,9,,106,,,,2.235,,1,,,0,,,0,,,2,,,13,,122,,,,
,,0.1038,,0.2736,,0.4623,,0.0755,,,0.0849,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-351-200,,6,,14,,4,,4,,,1,,29,,,,2.689,,0,,,0,,,0,,,1,,,0,,30,,,SACHS M,
,,0.2069,,0.4828,,0.1379,,0.1379,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,14,,4,,4,,,1,,29,,,,2.689,,0,,,0,,,0,,,1,,,0,,30,,,,
,,0.2069,,0.4828,,0.1379,,0.1379,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-357-200,,5,,5,,0,,0,,,0,,10,,,,3.5,,0,,,0,,,0,,,0,,,0,,10,,,BERNARDO J,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
