SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPR,q,I,s,t,S,v,w,U,y,z,Q,bb,cc,X,ee,ff,TOTAL,hh,INSTRUCTOR,jj,kk
BIOL-111-522,,6,,5,,6,,1,,4,,,22,,2.364,,0,,,,False,,,False,,,1,,0,,,23,RAO A,,,
,,0.2727,,0.2273,,0.2727,,0.0455,,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-523,,1,,7,,8,,4,,1,,,21,,2.143,,0,,,,False,,,False,,,3,,0,,,24,RAO A,,,
,,0.0476,,0.3333,,0.381,,0.1905,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-524,,3,,3,,5,,3,,0,,,14,,2.429,,0,,,,False,,,False,,,6,,0,,,20,RAO A,,,
,,0.2143,,0.2143,,0.3571,,0.2143,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-525,,3,,3,,5,,2,,1,,,14,,2.357,,0,,,,False,,,False,,,7,,0,,,21,RAO A,,,
,,0.2143,,0.2143,,0.3571,,0.1429,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-526,,2,,5,,8,,2,,3,,,20,,2.05,,0,,,,False,,,False,,,2,,0,,,22,RAO A,,,
,,0.1,,0.25,,0.4,,0.1,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-527,,3,,4,,7,,3,,2,,,19,,2.158,,0,,,,False,,,False,,,5,,0,,,24,RAO A,,,
,,0.1579,,0.2105,,0.3684,,0.1579,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-528,,4,,4,,1,,9,,1,,,19,,2.053,,0,,,,False,,,False,,,3,,0,,,22,RAO A,,,
,,0.2105,,0.2105,,0.0526,,0.4737,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-529,,4,,7,,5,,5,,0,,,21,,2.476,,0,,,,False,,,False,,,2,,0,,,23,RAO A,,,
,,0.1905,,0.3333,,0.2381,,0.2381,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-530,,4,,4,,6,,4,,0,,,18,,2.444,,0,,,,False,,,False,,,5,,0,,,23,RAO A,,,
,,0.2222,,0.2222,,0.3333,,0.2222,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
