SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg,hh
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-489-501,,1,,4,,0,,0,,,0,,5,,3.2,,0,,,False,,False,,0,,,False,,5,,AL-MOHANNADI D,,
,,0.2,,0.8,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-489-502,,9,,0,,0,,0,,,0,,9,,4.0,,0,,,False,,False,,0,,,False,,9,,LINKE P,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,4,,0,,0,,,0,,14,,3.714,,0,,,False,,False,,0,,,False,,14,,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-491-510,,6,,0,,0,,0,,,0,,6,,4.0,,0,,,False,,False,,0,,,False,,6,,ABDEL-WAHAB A,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,0,,,0,,6,,4.0,,0,,,False,,False,,0,,,False,,6,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-624-600,,12,,1,,0,,0,,,0,,13,,3.923,,0,,,False,,False,,0,,,False,,13,,ELBASHIR N,,
,,0.9231,,0.0769,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,1,,0,,0,,,0,,13,,3.923,,0,,,False,,False,,0,,,False,,13,,,,
,,0.9231,,0.0769,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-629-600,,4,,5,,2,,0,,,0,,11,,3.181,,0,,,False,,False,,0,,,False,,11,,KAKOSIMOS K,,
,,0.3636,,0.4545,,0.1818,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,5,,2,,0,,,0,,11,,3.181,,0,,,False,,False,,0,,,False,,11,,,,
,,0.3636,,0.4545,,0.1818,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-689-600,,4,,2,,0,,0,,,0,,6,,3.666,,0,,,False,,False,,0,,,False,,6,,LINKE P,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,2,,0,,0,,,0,,6,,3.666,,0,,,False,,False,,0,,,False,,6,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,122,,71,,26,,3,,,2,,224,,3.37,,2,,,False,,False,,5,,,False,,231,,,,
,,0.5446,,0.317,,0.1161,,0.0134,,,0.0089,,,,,,,,,,,,,,,,,,,,,,
