SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm,nn
COURSE TOTAL:,,9,,9,,0,,0,,,0,,,18,,,3.5,,0,,,,False,,,False,,,0,,0,,18,,,,,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-655-600,,6,,1,,2,,0,,,0,,,9,,,3.444,,0,,,,False,,,False,,,0,,0,,9,,VECHOT L,,,,
,,0.6667,,0.1111,,0.2222,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,1,,2,,0,,,0,,,9,,,3.444,,0,,,,False,,,False,,,0,,0,,9,,,,,,
,,0.6667,,0.1111,,0.2222,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,,
CHEN-665-600,,3,,1,,1,,0,,,0,,5,,,,3.4,,0,,,0,,,0,,,False,,,0,,5,,,AL-MOHANNADI D,,,
,,0.6,,0.2,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,1,,1,,0,,,0,,5,,,,3.4,,0,,,0,,,0,,,False,,,0,,5,,,,,,
,,0.6,,0.2,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,103,,85,,23,,0,,,1,,212,,,,3.37,,0,,,0,,,0,,,False,,,0,,212,,,,,,
,,0.4858,,0.4009,,0.1085,,0.0,,,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
