SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL   INSTRUCTOR,ii,jj,kk,ll,mm
ENGL-219-300,,8,,0,,1,,0,,,0,,,9,,,3.777,,0,,,,False,,,False,,,0,,0,,9,,RUDD L,,,
,,0.8889,,0.0,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-219-302,,16,,0,,0,,0,,,1,,,17,,,3.764,,0,,,,False,,,False,,,0,,0,,17,,SCHMALSTIG,,A,
,,0.9412,,0.0,,0.0,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,0,,1,,0,,,1,,,26,,,3.769,,0,,,,False,,,False,,,0,,0,,26,,,,,
,,0.9231,,0.0,,0.0385,,0.0,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
HIST-230-302,,6,,2,,0,,0,,,0,,8,,,,3.75,,0,,,0,,,0,,,True,,,0,,9,,,MAKOWICKI S,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,2,,0,,0,,,0,,8,,,,3.75,,0,,,0,,,0,,,True,,,0,,9,,,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-258-300,,10,,7,,2,,0,,,0,,19,,,,3.421,,0,,,0,,,0,,,False,,,0,,19,,,VAN DE LOGT M,,
,,0.5263,,0.3684,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,7,,2,,0,,,0,,19,,,,3.421,,0,,,0,,,0,,,False,,,0,,19,,,,,
,,0.5263,,0.3684,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLS-206-300,,6,,2,,0,,0,,,0,,8,,,,3.75,,0,,,0,,,0,,,False,,,0,,8,,,BASHIR H,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,2,,0,,0,,,0,,8,,,,3.75,,0,,,0,,,0,,,False,,,0,,8,,,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLS-207-300,,13,,1,,0,,0,,,0,,14,,,,3.928,,0,,,0,,,0,,,False,,,0,,14,,,GRAY P,,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,1,,0,,0,,,0,,14,,,,3.928,,0,,,0,,,0,,,False,,,0,,14,,,,,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
