SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,INSTRUCTOR,ff,gg
,,0.15,,0.45,,0.25,,0.1,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,5,,7,,8,,2,,0,,,22,,2.681,,0,,,False,,False,,0,,0,,,22,WINEMILLER,,L
,,0.2273,,0.3182,,0.3636,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-511,,8,,9,,0,,3,,1,,,21,,2.952,,0,,,False,,False,,3,,0,,,24,WINEMILLER,,L
,,0.381,,0.4286,,0.0,,0.1429,,0.0476,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,,INSTRUCTOR,
BIOL-107-512,,8,,6,,3,,1,,0,,,18,,3.166,,0,,,False,,False,6,,,,False,,24,,WINEMILLER,L
,,0.4444,,0.3333,,0.1667,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,72,,85,,65,,20,,4,,,246,,2.817,,0,,,False,,False,39,,,,False,,285,,,
,,0.2927,,0.3455,,0.2642,,0.0813,,0.0163,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-201,,8,,5,,5,,0,,0,,,18,,3.166,,0,,,False,,False,0,,,,False,,18,,RYAN K,
,,0.4444,,0.2778,,0.2778,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-202,,8,,8,,1,,0,,0,,,17,,3.411,,0,,,False,,False,2,,,,False,,19,,RYAN K,
,,0.4706,,0.4706,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-203,,9,,4,,2,,0,,0,,,15,,3.466,,0,,,False,,False,5,,,,False,,20,,RYAN K,
,,0.6,,0.2667,,0.1333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-204,,8,,8,,2,,1,,0,,,19,,3.21,,0,,,False,,False,1,,,,False,,20,,RYAN K,
,,0.4211,,0.4211,,0.1053,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,8,,8,,5,,0,,1,,,22,,3.0,,0,,,False,,False,2,,,,False,,24,,RAO A,
,,0.3636,,0.3636,,0.2273,,0.0,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,5,,8,,3,,2,,2,,,20,,2.6,,0,,,False,,False,3,,,,False,,23,,RAO A,
,,0.25,,0.4,,0.15,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-503,,3,,5,,8,,0,,1,,,17,,2.529,,0,,,False,,False,5,,,,False,,22,,RAO A,
,,0.1765,,0.2941,,0.4706,,0.0,,0.0588,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,6,,7,,4,,3,,0,,,20,,2.8,,0,,,False,,False,4,,,,False,,24,,RAO A,
,,0.3,,0.35,,0.2,,0.15,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,11,,4,,6,,0,,1,,,22,,3.09,,0,,,False,,False,1,,,,False,,23,,RAO A,
,,0.5,,0.1818,,0.2727,,0.0,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,7,,2,,8,,2,,1,,,20,,2.6,,0,,,False,,False,1,,,,False,,21,,RAO A,
,,0.35,,0.1,,0.4,,0.1,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,11,,5,,1,,2,,0,,,19,,3.315,,0,,,False,,False,1,,,,False,,20,,RAO A,
,,0.5789,,0.2632,,0.0526,,0.1053,,0.0,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-508,,8,,5,,6,,0,,0,,,19,,3.105,,0,,,False,,False,,2,,0,,,21,RAO A,,
,,0.4211,,0.2632,,0.3158,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,8,,7,,1,,3,,0,,,19,,3.052,,0,,,False,,False,,2,,0,,,21,RAO A,,
,,0.4211,,0.3684,,0.0526,,0.1579,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,8,,6,,2,,2,,1,,,19,,2.947,,0,,,False,,False,,3,,0,,,22,RAO A,,
,,0.4211,,0.3158,,0.1053,,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,7,,7,,5,,3,,1,,,23,,2.695,,0,,,False,,False,,0,,0,,,23,RAO A,,
,,0.3043,,0.3043,,0.2174,,0.1304,,0.0435,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,10,,7,,3,,3,,0,,,23,,3.043,,0,,,False,,False,,0,,0,,,23,RAO A,,
,,0.4348,,0.3043,,0.1304,,0.1304,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,5,,9,,4,,2,,0,,,20,,2.85,,0,,,False,,False,,2,,0,,,22,KEMP W,,
,,0.25,,0.45,,0.2,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,0,,8,,12,,1,,2,,,23,,2.13,,0,,,False,,False,,0,,0,,,23,KEMP W,,
,,0.0,,0.3478,,0.5217,,0.0435,,0.087,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,7,,10,,3,,2,,1,,,23,,2.869,,0,,,False,,False,,1,,0,,,24,KEMP W,,
,,0.3043,,0.4348,,0.1304,,0.087,,0.0435,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-516,,7,,6,,7,,1,,0,,,21,,2.904,,0,,,False,,False,,3,,0,,,24,KEMP W,,
,,0.3333,,0.2857,,0.3333,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,5,,13,,3,,1,,0,,,22,,3.0,,0,,,False,,False,,1,,0,,,23,KEMP W,,
,,0.2273,,0.5909,,0.1364,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,6,,7,,8,,2,,1,,,24,,2.625,,0,,,False,,False,,0,,0,,,24,KEMP W,,
,,0.25,,0.2917,,0.3333,,0.0833,,0.0417,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,3,,13,,3,,1,,0,,,20,,2.9,,2,,,False,,False,,1,,0,,,23,KEMP W,,
,,0.15,,0.65,,0.15,,0.05,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,3,,9,,6,,1,,1,,,20,,2.6,,0,,,False,,False,,1,,0,,,21,KEMP W,,
,,0.15,,0.45,,0.3,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,
