SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,ee,INSTRUCTOR,gg
BIOL-111-203,,7,,6,,1,,0,,0,,,14,,3.428,,0,,,False,,False,,4,,0,,,18,RYAN K,,
,,0.5,,0.4286,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,6,,6,,6,,2,,1,,,21,,2.666,,0,,,False,,False,,2,,0,,,23,RAO A,,
,,0.2857,,0.2857,,0.2857,,0.0952,,0.0476,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,5,,3,,7,,2,,0,,,17,,2.647,,0,,,False,,False,,6,,0,,,23,RAO A,,
,,0.2941,,0.1765,,0.4118,,0.1176,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-503,,3,,8,,9,,1,,1,,,22,,2.5,,0,,,False,,False,,1,,0,,,23,RAO A,,
,,0.1364,,0.3636,,0.4091,,0.0455,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,4,,5,,8,,2,,1,,,20,,2.45,,0,,,False,,False,,4,,0,,,24,RAO A,,
,,0.2,,0.25,,0.4,,0.1,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,7,,4,,6,,1,,1,,,19,,2.789,,0,,,False,,False,,4,,0,,,23,RAO A,,
,,0.3684,,0.2105,,0.3158,,0.0526,,0.0526,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,4,,8,,6,,1,,1,,,20,,2.65,,0,,,False,,False,,4,,0,,,24,RAO A,,
,,0.2,,0.4,,0.3,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,4,,8,,8,,2,,0,,,22,,2.636,,0,,,False,,False,,2,,0,,,24,RAO A,,
,,0.1818,,0.3636,,0.3636,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-508,,12,,3,,3,,1,,2,,,21,,3.047,,0,,,False,,False,,2,,0,,,23,RAO A,,
,,0.5714,,0.1429,,0.1429,,0.0476,,0.0952,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,3,,5,,5,,2,,2,,,17,,2.294,,0,,,False,,False,,3,,0,,,20,RAO A,,
,,0.1765,,0.2941,,0.2941,,0.1176,,0.1176,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,3,,7,,7,,1,,0,,,18,,2.666,,0,,,False,,False,,4,,0,,,22,RAO A,,
,,0.1667,,0.3889,,0.3889,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-511,,3,,8,,4,,4,,2,,,21,,2.285,,0,,,False,,False,,2,,0,,,23,RAO A,,
,,0.1429,,0.381,,0.1905,,0.1905,,0.0952,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,4,,7,,5,,2,,0,,,18,,2.722,,0,,,False,,False,,3,,0,,,21,RAO A,,
,,0.2222,,0.3889,,0.2778,,0.1111,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,2,,10,,2,,3,,0,,,17,,2.647,,0,,,False,,False,,6,,0,,,23,KEMP W,,
,,0.1176,,0.5882,,0.1176,,0.1765,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,2,,4,,6,,3,,2,,,17,,2.058,,0,,,False,,False,,7,,0,,,24,KEMP W,,
,,0.1176,,0.2353,,0.3529,,0.1765,,0.1176,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,2,,2,,8,,6,,1,,,19,,1.894,,1,,,False,,False,,4,,0,,,24,KEMP W,,
,,0.1053,,0.1053,,0.4211,,0.3158,,0.0526,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-516,,3,,9,,6,,1,,1,,,20,,2.6,,0,,,False,,False,,4,,0,,,24,KEMP W,,
,,0.15,,0.45,,0.3,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,3,,2,,8,,2,,3,,,18,,2.0,,0,,,False,,False,,6,,0,,,24,KEMP W,,
,,0.1667,,0.1111,,0.4444,,0.1111,,0.1667,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,8,,8,,3,,3,,0,,,22,,2.954,,0,,,False,,False,,0,,0,,,22,KEMP W,,
,,0.3636,,0.3636,,0.1364,,0.1364,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,4,,8,,6,,1,,0,,,19,,2.789,,0,,,False,,False,,5,,0,,,24,KEMP W,,
,,0.2105,,0.4211,,0.3158,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,6,,7,,6,,2,,0,,,21,,2.809,,0,,,False,,False,,3,,0,,,24,KEMP W,,
,,0.2857,,0.3333,,0.2857,,0.0952,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-521,,5,,2,,5,,5,,4,,,21,,1.952,,0,,,False,,False,,3,,0,,,24,KEMP W,,
,,0.2381,,0.0952,,0.2381,,0.2381,,0.1905,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-522,,3,,6,,5,,3,,5,,,22,,1.954,,0,,,False,,False,,1,,0,,,23,KEMP W,,
,,0.1364,,0.2727,,0.2273,,0.1364,,0.2273,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-523,,1,,6,,4,,3,,2,,,16,,2.062,,0,,,False,,False,,8,,0,,,24,KEMP W,,
,,0.0625,,0.375,,0.25,,0.1875,,0.125,,,,,,,,,,,,,,,,,,,,,,
