SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm
BIOL-111-503,,,9,,6,,8,,1,,,0,,24,,,,2.958,,0,,,0,,,0,,,0,,,0,,24,,,LEBOEUF B,
,,,0.375,,0.25,,0.3333,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
BIOL-111-504,,,7,,8,,8,,0,,,0,,,23,,,2.956,,0,,,,False,,,False,,,0,,0,,23,,LEBOEUF B,,
,,,0.3043,,0.3478,,0.3478,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,,10,,5,,5,,0,,,0,,,20,,,3.25,,0,,,,False,,,False,,,3,,0,,23,,LEBOEUF B,,
,,,0.5,,0.25,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,,9,,6,,6,,1,,,0,,,22,,,3.045,,0,,,,False,,,False,,,2,,0,,24,,LEBOEUF B,,
,,,0.4091,,0.2727,,0.2727,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,,3,,4,,3,,2,,,1,,,13,,,2.461,,0,,,,False,,,False,,,0,,0,,13,,LEBOEUF B,,
,,,0.2308,,0.3077,,0.2308,,0.1538,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-508,,,10,,6,,2,,0,,,2,,,20,,,3.1,,0,,,,False,,,False,,,3,,0,,23,,LEBOEUF B,,
,,,0.5,,0.3,,0.1,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,,11,,9,,2,,2,,,0,,,24,,,3.208,,0,,,,False,,,False,,,0,,0,,24,,LEBOEUF B,,
,,,0.4583,,0.375,,0.0833,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,,8,,10,,3,,1,,,1,,,23,,,3.0,,0,,,,False,,,False,,,1,,0,,24,,LEBOEUF B,,
,,,0.3478,,0.4348,,0.1304,,0.0435,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,,4,,9,,4,,1,,,2,,,20,,,2.6,,0,,,,False,,,False,,,1,,0,,21,,KEMP W,,
,,,0.2,,0.45,,0.2,,0.05,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,,2,,10,,6,,2,,,0,,,20,,,2.6,,0,,,,False,,,False,,,4,,0,,24,,KEMP W,,
,,,0.1,,0.5,,0.3,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,,7,,9,,8,,0,,,0,,,24,,,2.958,,0,,,,False,,,False,,,0,,0,,24,,KEMP W,,
,,,0.2917,,0.375,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,,5,,10,,6,,0,,,0,,,21,,,2.952,,0,,,,False,,,False,,,2,,0,,23,,KEMP W,,
,,,0.2381,,0.4762,,0.2857,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,,3,,9,,4,,4,,,3,,,23,,,2.217,,0,,,,False,,,False,,,1,,0,,24,,KEMP W,,
,,,0.1304,,0.3913,,0.1739,,0.1739,,,0.1304,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-516,,,2,,7,,4,,2,,,1,,,16,,,2.437,,0,,,,False,,,False,,,0,,0,,16,,KEMP W,,
,,,0.125,,0.4375,,0.25,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
BIOL-111-517,,,6,,7,,8,,2,,,1,,,24,,,2.625,,0,,,,False,,,False,,,0,,0,,24,,KEMP W,,
,,,0.25,,0.2917,,0.3333,,0.0833,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,,6,,6,,5,,3,,,2,,,22,,,2.5,,0,,,,False,,,False,,,0,,0,,22,,KEMP W,,
,,,0.2727,,0.2727,,0.2273,,0.1364,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,,5,,5,,5,,3,,,1,,,19,,,2.526,,0,,,,False,,,False,,,3,,0,,22,,KEMP W,,
,,,0.2632,,0.2632,,0.2632,,0.1579,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,,4,,4,,6,,2,,,3,,,19,,,2.21,,0,,,,False,,,False,,,3,,0,,22,,KEMP W,,
,,,0.2105,,0.2105,,0.3158,,0.1053,,,0.1579,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-521,,,3,,3,,7,,1,,,0,,,14,,,2.571,,0,,,,False,,,False,,,1,,0,,15,,LEBOEUF B,,
,,,0.2143,,0.2143,,0.5,,0.0714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-522,,,5,,8,,3,,0,,,1,,,17,,,2.941,,0,,,,False,,,False,,,2,,0,,19,,LEBOEUF B,,
,,,0.2941,,0.4706,,0.1765,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-523,,,4,,2,,2,,0,,,1,,,9,,,2.888,,0,,,,False,,,False,,,0,,0,,9,,LEBOEUF B,,
,,,0.4444,,0.2222,,0.2222,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-524,,,4,,4,,4,,0,,,0,,,12,,,3.0,,0,,,,False,,,False,,,1,,0,,13,,LEBOEUF B,,
,,,0.3333,,0.3333,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-526,,,5,,6,,6,,2,,,1,,,20,,,2.6,,0,,,,False,,,False,,,3,,0,,23,,LEBOEUF B,,
,,,0.25,,0.3,,0.3,,0.1,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-530,,,6,,7,,3,,0,,,2,,,18,,,2.833,,0,,,,False,,,False,,,0,,0,,18,,LEBOEUF B,,
,,,0.3333,,0.3889,,0.1667,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-531,,,8,,2,,8,,2,,,1,,,21,,,2.666,,0,,,,False,,,False,,,2,,0,,23,,KEMP W,,
,,,0.381,,0.0952,,0.381,,0.0952,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-533,,,3,,7,,6,,1,,,1,,,18,,,2.555,,0,,,,False,,,False,,,0,,0,,18,,KEMP W,,
,,,0.1667,,0.3889,,0.3333,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-534,,,8,,6,,5,,0,,,0,,,19,,,3.157,,0,,,,False,,,False,,,1,,0,,20,,KEMP W,,
,,,0.4211,,0.3158,,0.2632,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
