SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,ee,INSTRUCTOR,gg
BIOL-111-502,,8,,10,,5,,0,,1,,,24,,3.0,,0,,,False,,False,0,,,,False,,24,,WAN W,
,,0.3333,,0.4167,,0.2083,,0.0,,0.0417,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-503,,12,,3,,5,,0,,2,,,22,,3.045,,0,,,False,,False,,1,,0,,,23,WAN W,,
,,0.5455,,0.1364,,0.2273,,0.0,,0.0909,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,4,,12,,3,,2,,0,,,21,,2.857,,0,,,False,,False,,2,,0,,,23,WAN W,,
,,0.1905,,0.5714,,0.1429,,0.0952,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,6,,9,,6,,1,,0,,,22,,2.909,,0,,,False,,False,,0,,0,,,22,WAN W,,
,,0.2727,,0.4091,,0.2727,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,7,,10,,3,,1,,1,,,22,,2.954,,1,,,False,,False,,1,,0,,,24,WAN W,,
,,0.3182,,0.4545,,0.1364,,0.0455,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,7,,9,,4,,1,,0,,,21,,3.047,,0,,,False,,False,,3,,0,,,24,WAN W,,
,,0.3333,,0.4286,,0.1905,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-508,,11,,10,,2,,1,,0,,,24,,3.291,,0,,,False,,False,,0,,0,,,24,WAN W,,
,,0.4583,,0.4167,,0.0833,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,11,,10,,2,,0,,1,,,24,,3.25,,0,,,False,,False,,0,,0,,,24,WAN W,,
,,0.4583,,0.4167,,0.0833,,0.0,,0.0417,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,13,,7,,2,,0,,1,,,23,,3.347,,0,,,False,,False,,1,,0,,,24,WAN W,,
,,0.5652,,0.3043,,0.087,,0.0,,0.0435,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,4,,5,,8,,2,,2,,,21,,2.333,,0,,,False,,False,,3,,0,,,24,KEMP W,,
,,0.1905,,0.2381,,0.381,,0.0952,,0.0952,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,5,,6,,4,,1,,3,,,19,,2.473,,0,,,False,,False,,3,,0,,,22,KEMP W,,
,,0.2632,,0.3158,,0.2105,,0.0526,,0.1579,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,4,,9,,5,,1,,0,,,19,,2.842,,0,,,False,,False,,5,,0,,,24,KEMP W,,
,,0.2105,,0.4737,,0.2632,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,2,,9,,9,,1,,0,,,21,,2.571,,0,,,False,,False,,3,,0,,,24,KEMP W,,
,,0.0952,,0.4286,,0.4286,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,2,,4,,5,,2,,0,,,13,,2.461,,0,,,False,,False,,9,,0,,,22,KEMP W,,
,,0.1538,,0.3077,,0.3846,,0.1538,,0.0,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-516,,2,,8,,5,,0,,2,,,17,,2.47,,1,,,False,,False,,3,,0,,,21,KEMP W,,
,,0.1176,,0.4706,,0.2941,,0.0,,0.1176,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,8,,6,,8,,1,,1,,,24,,2.791,,0,,,False,,False,,0,,0,,,24,KEMP W,,
,,0.3333,,0.25,,0.3333,,0.0417,,0.0417,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,3,,7,,7,,1,,2,,,20,,2.4,,0,,,False,,False,,2,,0,,,22,KEMP W,,
,,0.15,,0.35,,0.35,,0.05,,0.1,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,5,,3,,5,,3,,1,,,17,,2.47,,0,,,False,,False,,6,,0,,,23,KEMP W,,
,,0.2941,,0.1765,,0.2941,,0.1765,,0.0588,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,4,,6,,11,,2,,0,,,23,,2.521,,0,,,False,,False,,0,,0,,,23,KEMP W,,
,,0.1739,,0.2609,,0.4783,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-521,,6,,9,,6,,1,,0,,,22,,2.909,,0,,,False,,False,,2,,0,,,24,WAN W,,
,,0.2727,,0.4091,,0.2727,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-522,,8,,11,,2,,2,,0,,,23,,3.086,,0,,,False,,False,,1,,0,,,24,WAN W,,
,,0.3478,,0.4783,,0.087,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-523,,10,,7,,4,,1,,0,,,22,,3.181,,0,,,False,,False,,1,,0,,,23,WAN W,,
,,0.4545,,0.3182,,0.1818,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-524,,8,,5,,8,,2,,0,,,23,,2.826,,0,,,False,,False,,1,,0,,,24,WAN W,,
,,0.3478,,0.2174,,0.3478,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-525,,1,,2,,5,,5,,0,,,13,,1.923,,0,,,False,,False,,4,,0,,,17,WAN W,,
,,0.0769,,0.1538,,0.3846,,0.3846,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-526,,8,,5,,3,,2,,1,,,19,,2.894,,0,,,False,,False,,2,,0,,,21,WAN W,,
,,0.4211,,0.2632,,0.1579,,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-527,,4,,8,,6,,3,,0,,,21,,2.619,,0,,,False,,False,,2,,0,,,23,WAN W,,
,,0.1905,,0.381,,0.2857,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-529,,5,,3,,4,,4,,2,,,18,,2.277,,0,,,False,,False,,3,,0,,,21,WAN W,,
,,0.2778,,0.1667,,0.2222,,0.2222,,0.1111,,,,,,,,,,,,,,,,,,,,,,
