SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,TOTAL,INSTRUCTOR,ee
,,0.2,,0.5,,0.25,,0.05,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,4,,3,,0,,1,,1,,,9,,2.888,,0,,,False,,False,,0,,0,,9,FLETCHER S,
,,0.4444,,0.3333,,0.0,,0.1111,,0.1111,,,,,,,,,,,,,,,,,,,,
BIOL-111-508,,4,,6,,3,,0,,1,,,14,,2.857,,0,,,False,,False,,0,,0,,14,FLETCHER S,
,,0.2857,,0.4286,,0.2143,,0.0,,0.0714,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,2,,8,,7,,0,,0,,,17,,2.705,,0,,,False,,False,,2,,0,,19,FLETCHER S,
,,0.1176,,0.4706,,0.4118,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,4,,2,,1,,2,,2,,,11,,2.363,,0,,,False,,False,,0,,0,,11,FLETCHER S,
,,0.3636,,0.1818,,0.0909,,0.1818,,0.1818,,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,4,,1,,0,,0,,0,,,5,,3.8,,1,,,False,,False,,0,,0,,6,FLETCHER S,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,3,,1,,1,,0,,0,,,5,,3.4,,0,,,False,,False,,0,,0,,5,FLETCHER S,
,,0.6,,0.2,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,3,,4,,0,,0,,0,,,7,,3.428,,0,,,False,,False,,0,,0,,7,FLETCHER S,
,,0.4286,,0.5714,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,
BIOL-111-514,,11,,3,,3,,0,,1,,,18,,3.277,,0,,,False,,False,,0,,0,,18,FLETCHER S,
,,0.6111,,0.1667,,0.1667,,0.0,,0.0556,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,7,,6,,5,,1,,0,,,19,,3.0,,0,,,False,,False,,0,,0,,19,FLETCHER S,
,,0.3684,,0.3158,,0.2632,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,4,,7,,5,,2,,2,,,20,,2.45,,0,,,False,,False,,1,,0,,21,FLETCHER S,
,,0.2,,0.35,,0.25,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,1,,5,,2,,1,,0,,,9,,2.666,,0,,,False,,False,,0,,0,,9,FLETCHER S,
,,0.1111,,0.5556,,0.2222,,0.1111,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,8,,5,,2,,0,,0,,,15,,3.4,,0,,,False,,False,,0,,0,,15,FLETCHER S,
,,0.5333,,0.3333,,0.1333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-521,,6,,8,,6,,1,,0,,,21,,2.904,,0,,,False,,False,,0,,0,,21,FLETCHER S,
,,0.2857,,0.381,,0.2857,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-522,,4,,3,,4,,1,,0,,,12,,2.833,,0,,,False,,False,,0,,0,,12,FLETCHER S,
,,0.3333,,0.25,,0.3333,,0.0833,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-523,,13,,4,,5,,0,,0,,,22,,3.363,,0,,,False,,False,,0,,0,,22,HAWKINS A,
,,0.5909,,0.1818,,0.2273,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-524,,11,,8,,2,,2,,0,,,23,,3.217,,0,,,False,,False,,0,,0,,23,HAWKINS A,
,,0.4783,,0.3478,,0.087,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-525,,8,,10,,4,,2,,0,,,24,,3.0,,0,,,False,,False,,0,,0,,24,HAWKINS A,
,,0.3333,,0.4167,,0.1667,,0.0833,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-526,,11,,10,,2,,0,,0,,,23,,3.391,,0,,,False,,False,,0,,0,,23,HAWKINS A,
,,0.4783,,0.4348,,0.087,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-527,,12,,8,,2,,1,,0,,,23,,3.347,,0,,,False,,False,,0,,0,,23,HAWKINS A,
,,0.5217,,0.3478,,0.087,,0.0435,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-528,,11,,11,,2,,0,,0,,,24,,3.375,,0,,,False,,False,,0,,0,,24,HAWKINS A,
,,0.4583,,0.4583,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
