SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm
,,,0.35,,0.25,,0.35,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,,6,,9,,4,,4,,,0,,23,,,,2.739,,0,,,0,,,0,,,1,,,0,,24,,,WAN W,
,,,0.2609,,0.3913,,0.1739,,0.1739,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-503,,,8,,10,,6,,0,,,0,,24,,,,3.083,,0,,,0,,,0,,,0,,,0,,24,,,WAN W,
,,,0.3333,,0.4167,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,,8,,8,,3,,5,,,0,,24,,,,2.791,,0,,,0,,,0,,,0,,,0,,24,,,WAN W,
,,,0.3333,,0.3333,,0.125,,0.2083,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
BIOL-111-505,,,10,,3,,5,,5,,,0,,,23,,,2.782,,0,,,,False,,,False,,,1,,0,,24,,WAN W,,
,,,0.4348,,0.1304,,0.2174,,0.2174,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,,10,,5,,4,,2,,,2,,,23,,,2.826,,0,,,,False,,,False,,,1,,0,,24,,WAN W,,
,,,0.4348,,0.2174,,0.1739,,0.087,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,,6,,6,,9,,2,,,1,,,24,,,2.583,,0,,,,False,,,False,,,0,,0,,24,,WAN W,,
,,,0.25,,0.25,,0.375,,0.0833,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-508,,,17,,4,,1,,2,,,0,,,24,,,3.5,,0,,,,False,,,False,,,0,,0,,24,,WAN W,,
,,,0.7083,,0.1667,,0.0417,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,,9,,4,,6,,2,,,1,,,22,,,2.818,,0,,,,False,,,False,,,2,,0,,24,,WAN W,,
,,,0.4091,,0.1818,,0.2727,,0.0909,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,,6,,8,,4,,5,,,0,,,23,,,2.652,,0,,,,False,,,False,,,1,,0,,24,,WAN W,,
,,,0.2609,,0.3478,,0.1739,,0.2174,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,,3,,6,,6,,4,,,1,,,20,,,2.3,,0,,,,False,,,False,,,3,,0,,23,,KEMP W,,
,,,0.15,,0.3,,0.3,,0.2,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,,6,,8,,7,,2,,,1,,,24,,,2.666,,0,,,,False,,,False,,,0,,0,,24,,KEMP W,,
,,,0.25,,0.3333,,0.2917,,0.0833,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,,6,,8,,3,,2,,,3,,,22,,,2.545,,0,,,,False,,,False,,,2,,0,,24,,KEMP W,,
,,,0.2727,,0.3636,,0.1364,,0.0909,,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,,8,,5,,7,,3,,,1,,,24,,,2.666,,0,,,,False,,,False,,,0,,0,,24,,KEMP W,,
,,,0.3333,,0.2083,,0.2917,,0.125,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,,1,,8,,8,,2,,,1,,,20,,,2.3,,0,,,,False,,,False,,,2,,0,,22,,KEMP W,,
,,,0.05,,0.4,,0.4,,0.1,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,,6,,4,,9,,3,,,0,,,22,,,2.59,,0,,,,False,,,False,,,1,,0,,23,,KEMP W,,
,,,0.2727,,0.1818,,0.4091,,0.1364,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,,0,,11,,7,,1,,,2,,,21,,,2.285,,0,,,,False,,,False,,,2,,0,,23,,KEMP W,,
,,,0.0,,0.5238,,0.3333,,0.0476,,,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
BIOL-111-519,,,7,,8,,8,,1,,,0,,,24,,,2.875,,0,,,,False,,,False,,,0,,0,,24,,KEMP W,,
,,,0.2917,,0.3333,,0.3333,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,,5,,10,,6,,2,,,0,,,23,,,2.782,,0,,,,False,,,False,,,1,,0,,24,,KEMP W,,
,,,0.2174,,0.4348,,0.2609,,0.087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-521,,,3,,9,,5,,3,,,3,,,23,,,2.26,,0,,,,False,,,False,,,1,,0,,24,,RAO A,,
,,,0.1304,,0.3913,,0.2174,,0.1304,,,0.1304,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-522,,,3,,11,,4,,4,,,1,,,23,,,2.478,,0,,,,False,,,False,,,1,,0,,24,,RAO A,,
,,,0.1304,,0.4783,,0.1739,,0.1739,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-523,,,8,,6,,4,,4,,,1,,,23,,,2.695,,0,,,,False,,,False,,,1,,0,,24,,RAO A,,
,,,0.3478,,0.2609,,0.1739,,0.1739,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-526,,,5,,7,,7,,2,,,1,,,22,,,2.59,,0,,,,False,,,False,,,2,,0,,24,,RAO A,,
,,,0.2273,,0.3182,,0.3182,,0.0909,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-527,,,7,,5,,7,,3,,,0,,,22,,,2.727,,0,,,,False,,,False,,,2,,0,,24,,RAO A,,
,,,0.3182,,0.2273,,0.3182,,0.1364,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-528,,,4,,3,,5,,3,,,2,,,17,,,2.235,,0,,,,False,,,False,,,5,,0,,22,,RAO A,,
,,,0.2353,,0.1765,,0.2941,,0.1765,,,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-530,,,5,,3,,10,,2,,,1,,,21,,,2.428,,0,,,,False,,,False,,,3,,0,,24,,RAO A,,
,,,0.2381,,0.1429,,0.4762,,0.0952,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-531,,,3,,10,,5,,1,,,0,,,19,,,2.789,,0,,,,False,,,False,,,2,,0,,21,,TAG A,,
,,,0.1579,,0.5263,,0.2632,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-532,,,3,,10,,5,,2,,,1,,,21,,,2.571,,0,,,,False,,,False,,,2,,0,,23,,TAG A,,
,,,0.1429,,0.4762,,0.2381,,0.0952,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-533,,,3,,5,,11,,5,,,0,,,24,,,2.25,,0,,,,False,,,False,,,0,,0,,24,,TAG A,,
,,,0.125,,0.2083,,0.4583,,0.2083,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-534,,,4,,8,,6,,1,,,2,,,21,,,2.523,,0,,,,False,,,False,,,3,,0,,24,,TAG A,,
,,,0.1905,,0.381,,0.2857,,0.0476,,,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,,
