DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MFCM-800-33H,2,2,0,1,5,2.8,0,0,0,0,5,VIA R
,40.00%,40.00%,0.00%,20.00%,,,,,,,,
COURSE TOTAL:,13,27,0,1,41,3.162,23,0,0,2,66,
,31.71%,65.85%,0.00%,2.44%,,,,,,,,
MPED-800-30B,6,14,0,0,20,3.305,23,0,0,0,43,PARR J
,30.00%,70.00%,0.00%,0.00%,,,,,,,,
MPED-800-31D,2,3,0,0,5,3.4,2,0,0,0,7,PARR J
,40.00%,60.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,8,17,0,0,25,3.337,25,0,0,0,50,
,32.00%,68.00%,0.00%,0.00%,,,,,,,,
MPSY-800-31D,0,6,0,0,6,3,0,0,0,0,6,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-32D,0,6,0,0,6,3,0,0,0,0,6,ANTUNES P
,0.00%,100,0.00%,0.00%,,,,,,,,
MPSY-800-32H,3,2,0,0,5,3.6,0,0,0,2,7,ANTUNES P
,60.00%,40.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,3,14,0,0,17,3.176,0,0,0,2,19,
,17.65%,82.35%,0.00%,0.00%,,,,,,,,
OBGY-800-30B,4,17,0,0,21,3.193,22,0,0,0,43,HARMS K
,19.05%,80.95%,0.00%,0.00%,,,,,,,,
OBGY-800-31D,2,5,0,0,7,3.285,0,0,0,0,7,BROWNING A
,28.57%,71.43%,0.00%,0.00%,,,,,,,,
OBGY-800-31H,1,4,0,0,5,3.2,1,0,0,0,6,BROWNING A
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
COURSE TOTAL:,7,26,0,0,33,3.223,23,0,0,0,56,
,21.21%,78.79%,0.00%,0.00%,,,,,,,,
SURG-800-30B,11,11,0,0,22,3.523,21,0,0,0,43,LITTLE D
,50.00%,50.00%,0.00%,0.00%,,,,,,,,
SURG-800-31D,3,7,0,0,10,3.3,0,0,0,0,10,LITTLE D
,30.00%,70.00%,0.00%,0.00%,,,,,,,,
SURG-800-31H,3,4,0,0,7,3.428,3,0,0,0,10,LITTLE D
,42.86%,57.14%,0.00%,0.00%,,,,,,,,
SURG-800-31T,1,5,0,0,6,3.166,1,0,0,0,7,LITTLE D
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
SURG-800-32D,5,6,0,0,11,3.454,0,0,0,0,11,LITTLE D
,45.45%,54.55%,0.00%,0.00%,,,,,,,,
SURG-800-32H,5,4,0,0,9,3.555,0,0,0,0,9,LITTLE D
,55.56%,44.44%,0.00%,0.00%,,,,,,,,
SURG-800-32R,1,6,0,0,7,3.142,0,0,0,0,7,LITTLE D
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
SURG-800-32T,0,5,0,0,5,3,0,0,0,1,6,LITTLE D
,0.00%,100,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,29,48,0,0,77,3.358,25,0,0,1,103,
,37.66%,62.34%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,170,694,5,3,872,3.187,132,0,0,5,1009,
,19.50%,79.59%,0.57%,0.34%,,,,,,,,
COLLEGE TOTAL:,170,694,5,3,872,3.187,132,0,0,5,1009,
,19.50%,79.59%,0.57%,0.34%,,,,,,,,
