NURS-432-501,47,1,0,0,0,48 3.979,0,0,0,0,0,48,VAN S
,97.92%,2.08%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,47,1,0,0,0,48 3.979,0,0,0,0,0,48,
,97.92%,2.08%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-460-700,8,5,0,0,0,13 3.615,0,0,0,0,0,13,AUTHEMENT R
,61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,5,0,0,0,13 3.615,0,0,0,0,0,13,
,61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-461-700,8,3,2,0,0,13 3.462,0,0,0,0,0,13,PISHEK J
,61.54%,23.08%,15.38%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
COURSE TOTAL:,8,3,2,0,0,13 3.462,0,0,0,0,0,13,
,61.54%,23.08%,15.38%,0.00%,0.00%,,,,,,,,,
NURS-462-700,17,5,0,0,0,22 3.773,0,0,0,0,0,22,BRUCE R
,77.27%,22.73%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,5,0,0,0,22 3.773,0,0,0,0,0,22,
,77.27%,22.73%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-465-700,14,7,1,0,0,22 3.591,0,0,0,0,0,22,SEABACK W
,63.64%,31.82%,4.55%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,7,1,0,0,22 3.591,0,0,0,0,0,22,
,63.64%,31.82%,4.55%,0.00%,0.00%,,,,,,,,,
NURS-489-500,9,0,0,0,0,9 4.000,0,0,0,0,0,9,VAN S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9 4.000,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-501-700,9,1,0,0,0,10 3.900,0,0,0,0,0,10,HANSEN C
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,1,0,0,0,10 3.900,0,0,0,0,0,10,
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-516-700,16,12,1,1,0,30 3.433,0,0,0,0,1,31,WESTON C
,53.33%,40.00%,3.33%,3.33%,0.00%,,,,,,,,,
COURSE TOTAL:,16,12,1,1,0,30 3.433,0,0,0,0,1,31,
,53.33%,40.00%,3.33%,3.33%,0.00%,,,,,,,,,
NURS-522-700,13,8,0,0,0,21 3.619,2,0,0,0,0,23,PULLIUM C
,61.90%,38.10%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
COURSE TOTAL:,13,8,0,0,0,21 3.619,2,0,0,0,0,23,
,61.90%,38.10%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-525-700,9,2,0,0,0,11 3.818,1,0,0,0,0,12,JONES-SCHUBART K
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,2,0,0,0,11 3.818,1,0,0,0,0,12,
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-551-700,31,6,0,0,0,37 3.838,0,0,0,0,0,37,KOSAREK J
,83.78%,16.22%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,6,0,0,0,37 3.838,0,0,0,0,0,37,
,83.78%,16.22%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,333,218,21,2,0,574 3.537,3,0,0,0,1,578,
,58.01%,37.98%,3.66%,0.35%,0.00%,,,,,,,,,
COLLEGE TOTAL:,333,218,21,2,0,574 3.537,3,0,0,0,1,578,
,58.01%,37.98%,3.66%,0.35%,0.00%,,,,,,,,,
